   PIQUANT 0.0.0-main  ps__0567_0717304816_000rfs_shot_231.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0211728, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0133013, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00542986, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0024416, 0, 1.19879e-20, 0, 1.41421, -1.19879e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.67811e-25, 0, 9.68985e-24, 0, 1.19776e-20, 0, 0, 0
0.0103131, 0, 2.63795e-20, 0, 1.41421, -2.63795e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.2704e-24, 0, 2.16902e-23, 0, 2.63565e-20, 0, 0, 0
0.0181845, 0, 5.72627e-20, 0, 1.41421, -5.72627e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.804e-24, 0, 4.78815e-23, 0, 5.72121e-20, 0, 0, 0
0.026056, 0, 1.22699e-19, 0, 1.41421, -1.22699e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.1095e-24, 0, 1.04316e-22, 0, 1.22589e-19, 0, 0, 0
0.0339274, 0, 2.59673e-19, 0, 1.41421, -2.59673e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.31486e-23, 0, 2.24435e-22, 0, 2.59436e-19, 0, 0, 0
0.0417989, 0, 5.43059e-19, 0, 1.41421, -5.43059e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.79656e-23, 0, 4.77131e-22, 0, 5.42554e-19, 0, 0, 0
0.0496703, 0, 1.12279e-18, 0, 1.41421, -1.12279e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.88088e-23, 0, 1.0028e-21, 0, 1.12172e-18, 0, 0, 0
