   PIQUANT 0.0.0-main  ps__0567_0717304816_000rfs_shot_396.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0222488, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0143779, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00650694, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.001364, 0, 1.85537e-20, 0, 1.41421, -1.85537e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.89094e-24, 0, 6.25203e-24, 0, 1.85456e-20, 0, 0, 0
0.00923494, 0, 4.00309e-20, 0, 1.41421, -4.00309e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.14622e-24, 0, 1.37318e-23, 0, 4.0013e-20, 0, 0, 0
0.0171059, 0, 8.52984e-20, 0, 1.41421, -8.52984e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.97918e-24, 0, 2.97792e-23, 0, 8.52597e-20, 0, 0, 0
0.0249768, 0, 1.79591e-19, 0, 1.41421, -1.79591e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.92155e-23, 0, 6.3801e-23, 0, 1.79508e-19, 0, 0, 0
0.0328478, 0, 3.73785e-19, 0, 1.41421, -3.73785e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.06537e-23, 0, 1.35113e-22, 0, 3.73609e-19, 0, 0, 0
0.0407187, 0, 7.69351e-19, 0, 1.41421, -7.69351e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.50664e-23, 0, 2.82956e-22, 0, 7.68983e-19, 0, 0, 0
0.0485896, 0, 1.56657e-18, 0, 1.41421, -1.56657e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.76111e-22, 0, 5.86241e-22, 0, 1.56581e-18, 0, 0, 0
0.0564606, 0, 3.15673e-18, 0, 1.41421, -3.15673e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.60857e-22, 0, 1.20208e-21, 0, 3.15516e-18, 0, 0, 0
0.0643315, 0, 6.29674e-18, 0, 1.41421, -6.29674e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.32037e-22, 0, 2.44026e-21, 0, 6.29357e-18, 0, 0, 0
0.0722024, 0, 1.24366e-17, 0, 1.41421, -1.24366e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.47064e-21, 0, 4.90601e-21, 0, 1.24303e-17, 0, 0, 0
0.0800734, 0, 2.43277e-17, 0, 1.41421, -2.43277e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.92657e-21, 0, 9.7708e-21, 0, 2.4315e-17, 0, 0, 0
0.0879443, 0, 4.71423e-17, 0, 1.41421, -4.71423e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.77032e-21, 0, 1.92823e-20, 0, 4.71172e-17, 0, 0, 0
0.0958153, 0, 9.05144e-17, 0, 1.41421, -9.05144e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.12751e-20, 0, 3.77158e-20, 0, 9.04654e-17, 0, 0, 0
0.103686, 0, 1.74125e-16, 0, 1.41421, -1.74125e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.21614e-20, 0, 7.42583e-20, 0, 1.74029e-16, 0, 0, 0
0.111557, 0, 3.27999e-16, 0, 1.41421, -3.27999e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.24914e-20, 0, 1.42584e-19, 0, 3.27814e-16, 0, 0, 0
