   PIQUANT 0.0.0-main  ps__0567_0717304816_000rfs_shot_477.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.021026, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0131578, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00528956, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00257864, 0, 5.43462e-22, 0, 1.41421, -5.43462e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.01993e-26, 0, 3.99544e-25, 0, 5.43022e-22, 0, 0, 0
0.0104468, 0, 1.30977e-21, 0, 1.41421, -1.30977e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.84821e-26, 0, 9.83264e-25, 0, 1.30869e-21, 0, 0, 0
0.018315, 0, 3.10015e-21, 0, 1.41421, -3.10015e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.36951e-25, 0, 2.37412e-24, 0, 3.09754e-21, 0, 0, 0
0.0261832, 0, 7.21465e-21, 0, 1.41421, -7.21465e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.60551e-25, 0, 5.63166e-24, 0, 7.20846e-21, 0, 0, 0
0.0340514, 0, 1.65389e-20, 0, 1.41421, -1.65389e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.30717e-24, 0, 1.31588e-23, 0, 1.65244e-20, 0, 0, 0
0.0419196, 0, 3.91659e-20, 0, 1.41421, -3.91659e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.17508e-24, 0, 3.20085e-23, 0, 3.91307e-20, 0, 0, 0
0.0497878, 0, 8.67004e-20, 0, 1.41421, -8.67004e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.14569e-24, 0, 7.20973e-23, 0, 8.66212e-20, 0, 0, 0
0.057656, 0, 1.89394e-19, 0, 1.41421, -1.89394e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.58704e-23, 0, 1.60207e-22, 0, 1.89218e-19, 0, 0, 0
0.0655242, 0, 4.08481e-19, 0, 1.41421, -4.08481e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.48033e-23, 0, 3.51413e-22, 0, 4.08094e-19, 0, 0, 0
0.0733924, 0, 8.70232e-19, 0, 1.41421, -8.70232e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.53957e-23, 0, 7.61296e-22, 0, 8.69395e-19, 0, 0, 0
