   PIQUANT 0.0.0-main  ps__0567_0717304816_000rfs_shot_427.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.0230604, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0151901, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00731974, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00055059, 0, 1.60846e-20, 0, 1.41421, -1.60846e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.54851e-24, 0, 9.7968e-24, 0, 1.60733e-20, 0, 0
0.00842092, 0, 3.47977e-20, 0, 1.41421, -3.47977e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.40141e-24, 0, 2.1585e-23, 0, 3.47727e-20, 0, 0
0.0162913, 0, 7.43484e-20, 0, 1.41421, -7.43484e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.37947e-24, 0, 4.6955e-23, 0, 7.4294e-20, 0, 0
0.0241616, 0, 1.5696e-19, 0, 1.41421, -1.5696e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.5821e-23, 0, 1.00908e-22, 0, 1.56844e-19, 0, 0
0.0320319, 0, 3.27565e-19, 0, 1.41421, -3.27565e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.3534e-23, 0, 2.14339e-22, 0, 3.27317e-19, 0, 0
0.0399022, 0, 6.76039e-19, 0, 1.41421, -6.76039e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.03002e-23, 0, 4.50212e-22, 0, 6.75518e-19, 0, 0
0.0477726, 0, 1.38027e-18, 0, 1.41421, -1.38027e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.45816e-22, 0, 9.35511e-22, 0, 1.37919e-18, 0, 0
