   PIQUANT 0.0.0-main  ps__0567_0717304816_000rfs_shot_197.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.022037, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0141638, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00629069, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00158247, 0, 5.19876e-21, 0, 1.41421, -5.19876e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.2786e-25, 0, 3.70755e-24, 0, 5.19463e-21, 0, 0, 0
0.00945562, 0, 1.17206e-20, 0, 1.41421, -1.17206e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.80786e-25, 0, 8.51841e-24, 0, 1.17111e-20, 0, 0, 0
0.0173288, 0, 2.73913e-20, 0, 1.41421, -2.73913e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35256e-24, 0, 2.04738e-23, 0, 2.73684e-20, 0, 0, 0
0.0252019, 0, 5.97328e-20, 0, 1.41421, -5.97328e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.21656e-24, 0, 4.54535e-23, 0, 5.96821e-20, 0, 0, 0
0.0330751, 0, 1.28596e-19, 0, 1.41421, -1.28596e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.14197e-23, 0, 9.95934e-23, 0, 1.28485e-19, 0, 0, 0
0.0409482, 0, 2.73454e-19, 0, 1.41421, -2.73454e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.46938e-23, 0, 2.15503e-22, 0, 2.73214e-19, 0, 0, 0
0.0488214, 0, 5.7462e-19, 0, 1.41421, -5.7462e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.27698e-23, 0, 4.60748e-22, 0, 5.74106e-19, 0, 0, 0
