   PIQUANT 0.0.0-main  ps__0567_0717304816_000rfs_shot_70.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.0639127, 0, 2.43523e-17, 0, 1.41421, -2.43523e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.45822e-21, 0, 3.14963e-20, 2.43183e-17, 0, 0, 0
0.0717978, 0, 4.66389e-17, 0, 1.41421, -4.66389e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.79207e-21, 0, 6.13711e-20, 4.65727e-17, 0, 0, 0
0.079683, 0, 8.85301e-17, 0, 1.41421, -8.85301e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.2605e-21, 0, 1.18577e-19, 8.84023e-17, 0, 0, 0
0.0875682, 0, 1.66588e-16, 0, 1.41421, -1.66588e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.77433e-20, 0, 2.27225e-19, 1.66344e-16, 0, 0, 0
0.0954534, 0, 3.10801e-16, 0, 1.41421, -3.10801e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.37133e-20, 0, 4.31936e-19, 3.10336e-16, 0, 0, 0
0.103339, 0, 5.75002e-16, 0, 1.41421, -5.75002e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.35338e-20, 0, 8.14645e-19, 5.74124e-16, 0, 0, 0
0.111224, 0, 1.05503e-15, 0, 1.41421, -1.05503e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.18771e-19, 0, 1.52467e-18, 1.05339e-15, 0, 0, 0
0.119109, 0, 1.92013e-15, 0, 1.41421, -1.92013e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.20282e-19, 0, 2.83216e-18, 1.91708e-15, 0, 0, 0
0.126994, 0, 3.46667e-15, 0, 1.41421, -3.46667e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.05386e-19, 0, 5.22221e-18, 3.46105e-15, 0, 0, 0
0.134879, 0, 6.20957e-15, 0, 1.41421, -6.20957e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.40335e-19, 0, 9.55977e-18, 6.19927e-15, 0, 0, 0
