   PIQUANT 0.0.0-main  ps__0567_0717304816_000rfs_shot_349.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.128061, 0, 1.1326e-15, 0, 1.41421, -1.1326e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.34577e-18, 0, 0, 1.24094e-19, 1.31053e-18, 0, 1.12782e-15, 0, 0
0.13593, 0, 2.08435e-15, 0, 1.41421, -2.08435e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.15713e-18, 0, 0, 2.32648e-19, 2.46081e-18, 0, 2.0755e-15, 0, 0
0.143799, 0, 3.80445e-15, 0, 1.41421, -3.80445e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.12379e-17, 0, 0, 4.32698e-19, 4.58546e-18, 0, 3.78819e-15, 0, 0
0.151668, 0, 6.88783e-15, 0, 1.41421, -6.88783e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.03453e-17, 0, 0, 7.98468e-19, 8.48048e-18, 0, 6.8582e-15, 0, 0
0.159537, 0, 1.23705e-14, 0, 1.41421, -1.23705e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.65388e-17, 0, 0, 1.46206e-18, 1.55686e-17, 0, 1.23169e-14, 0, 0
0.167405, 0, 2.20415e-14, 0, 1.41421, -2.20415e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.51024e-17, 0, 0, 2.65684e-18, 2.83748e-17, 0, 2.19454e-14, 0, 0
0.175274, 0, 3.8966e-14, 0, 1.41421, -3.8966e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.15087e-16, 0, 0, 4.79184e-18, 5.13475e-17, 0, 3.87947e-14, 0, 0
0.183143, 0, 6.83522e-14, 0, 1.41421, -6.83522e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.01873e-16, 0, 0, 8.57874e-18, 9.22707e-17, 0, 6.80495e-14, 0, 0
0.191012, 0, 1.18979e-13, 0, 1.41421, -1.18979e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.51384e-16, 0, 0, 1.52465e-17, 1.64669e-16, 0, 1.18448e-13, 0, 0
0.198881, 0, 2.05528e-13, 0, 1.41421, -2.05528e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.0697e-16, 0, 0, 2.69021e-17, 2.91886e-16, 0, 2.04602e-13, 0, 0
0.20675, 0, 3.52355e-13, 0, 1.41421, -3.52355e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.04055e-15, 0, 0, 4.71327e-17, 5.13943e-16, 0, 3.50754e-13, 0, 0
0.214618, 0, 5.99547e-13, 0, 1.41421, -5.99547e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.77048e-15, 0, 0, 8.20017e-17, 8.99057e-16, 0, 5.96796e-13, 0, 0
0.222487, 0, 1.01257e-12, 0, 1.41421, -1.01257e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.99004e-15, 0, 0, 1.41691e-16, 1.56267e-15, 0, 1.00787e-12, 0, 0
0.230356, 0, 1.69747e-12, 0, 1.41421, -1.69747e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.01236e-15, 0, 0, 2.4318e-16, 2.69899e-15, 0, 1.68951e-12, 0, 0
0.238225, 0, 2.82475e-12, 0, 1.41421, -2.82475e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.34086e-15, 0, 0, 4.14618e-16, 4.63279e-15, 0, 2.81136e-12, 0, 0
0.246094, 0, 4.66633e-12, 0, 1.41421, -4.66633e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.37785e-14, 0, 0, 7.02366e-16, 7.90398e-15, 0, 4.64395e-12, 0, 0
0.253963, 0, 7.65262e-12, 0, 1.41421, -7.65262e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.25961e-14, 0, 0, 1.18238e-15, 1.34051e-14, 0, 7.61543e-12, 0, 0
0.261831, 0, 1.24594e-11, 0, 1.41421, -1.24594e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.67897e-14, 0, 0, 1.97835e-15, 2.26034e-14, 0, 1.23981e-11, 0, 0
0.2697, 0, 2.014e-11, 0, 1.41421, -2.014e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.94702e-14, 0, 0, 3.29077e-15, 3.78991e-14, 0, 2.00394e-11, 0, 0
0.277569, 0, 3.23228e-11, 0, 1.41421, -3.23228e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.54488e-14, 0, 0, 5.44299e-15, 6.31988e-14, 0, 3.21588e-11, 0, 0
0.285438, 0, 5.15066e-11, 0, 1.41421, -5.15066e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.5211e-13, 0, 0, 8.95446e-15, 1.04832e-13, 0, 5.12407e-11, 0, 0
0.293307, 0, 8.14962e-11, 0, 1.41421, -8.14962e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.40703e-13, 0, 0, 1.46565e-14, 1.7301e-13, 0, 8.10678e-11, 0, 0
0.301176, 0, 1.2804e-10, 2.08793e-43, 1.41421, -1.2804e-10, 0, 2.08793e-43, 2.08793e-43, 2.08793e-43, 2.08793e-43, 2.08793e-43, 2.08793e-43, 2.08793e-43, 2.08793e-43, 2.08793e-43, 2.08793e-43, 2.08793e-43, 2.08793e-43, 2.08793e-43, 3.78233e-13, 2.08793e-43, 2.08793e-43, 2.38756e-14, 2.84144e-13, 2.08793e-43, 1.27354e-10, 2.08793e-43, 2.08793e-43
0.309044, 0, 1.9976e-10, 3.60414e-42, 1.41421, -1.9976e-10, 0, 3.60414e-42, 3.60414e-42, 3.60414e-42, 3.60414e-42, 3.60414e-42, 3.60414e-42, 3.60414e-42, 3.60414e-42, 3.60414e-42, 3.60414e-42, 3.60414e-42, 3.60414e-42, 3.60414e-42, 5.90217e-13, 3.60414e-42, 3.60414e-42, 3.87224e-14, 4.64518e-13, 3.60414e-42, 1.98666e-10, 3.60414e-42, 3.60414e-42
0.316913, 0, 3.09481e-10, 5.19013e-41, 1.41421, -3.09481e-10, 0, 5.19013e-41, 5.19013e-41, 5.19013e-41, 5.19013e-41, 5.19013e-41, 5.19013e-41, 5.19013e-41, 5.19013e-41, 5.19013e-41, 5.19013e-41, 5.19013e-41, 5.19013e-41, 5.19013e-41, 9.14656e-13, 5.19013e-41, 5.19013e-41, 6.25494e-14, 7.56095e-13, 5.19013e-41, 3.07748e-10, 5.19013e-41, 5.19013e-41
0.324782, 0, 4.76151e-10, 6.61428e-40, 1.41421, -4.76151e-10, 0, 6.61428e-40, 6.61428e-40, 6.61428e-40, 6.61428e-40, 6.61428e-40, 6.61428e-40, 6.61428e-40, 6.61428e-40, 6.61428e-40, 6.61428e-40, 6.61428e-40, 6.61428e-40, 6.61428e-40, 1.40774e-12, 6.61428e-40, 6.61428e-40, 1.00674e-13, 1.2257e-12, 6.61428e-40, 4.73417e-10, 6.61428e-40, 6.61428e-40
0.332651, 0, 7.27535e-10, 7.55474e-39, 1.41421, -7.27535e-10, 0, 7.55474e-39, 7.55474e-39, 7.55474e-39, 7.55474e-39, 7.55474e-39, 7.55474e-39, 7.55474e-39, 7.55474e-39, 7.55474e-39, 7.55474e-39, 7.55474e-39, 7.55474e-39, 7.55474e-39, 2.15191e-12, 7.55474e-39, 7.55474e-39, 1.61525e-13, 1.97948e-12, 7.55474e-39, 7.23242e-10, 7.55474e-39, 7.55474e-39
0.34052, 0, 1.10402e-09, 7.79275e-38, 1.41421, -1.10402e-09, 0, 7.79275e-38, 7.79275e-38, 7.79275e-38, 7.79275e-38, 7.79275e-38, 7.79275e-38, 7.79275e-38, 7.79275e-38, 7.79275e-38, 7.79275e-38, 7.79275e-38, 7.79275e-38, 7.79275e-38, 3.2673e-12, 7.79275e-38, 7.79275e-38, 2.5845e-13, 3.18576e-12, 7.79275e-38, 1.09731e-09, 7.79275e-38, 7.79275e-38
0.348388, 0, 1.66392e-09, 7.29689e-37, 1.41421, -1.66392e-09, 0, 7.29689e-37, 7.29689e-37, 7.29689e-37, 7.29689e-37, 7.29689e-37, 7.29689e-37, 7.29689e-37, 7.29689e-37, 7.29689e-37, 7.29689e-37, 7.29689e-37, 7.29689e-37, 7.29689e-37, 4.92768e-12, 7.29689e-37, 7.29689e-37, 4.12605e-13, 5.11101e-12, 7.29689e-37, 1.65347e-09, 7.29689e-37, 7.29689e-37
0.356257, 0, 2.49081e-09, 6.23821e-36, 1.41421, -2.49081e-09, 0, 6.23821e-36, 6.23821e-36, 6.23821e-36, 6.23821e-36, 6.23821e-36, 6.23821e-36, 6.23821e-36, 6.23821e-36, 6.23821e-36, 6.23821e-36, 6.23821e-36, 6.23821e-36, 6.23821e-36, 7.38269e-12, 6.23821e-36, 6.23821e-36, 6.57512e-13, 8.17658e-12, 6.23821e-36, 2.4746e-09, 6.23821e-36, 6.23821e-36
0.364126, 0, 3.70355e-09, 4.89246e-35, 1.41421, -3.70355e-09, 0, 4.89246e-35, 4.89246e-35, 4.89246e-35, 4.89246e-35, 4.89246e-35, 4.89246e-35, 4.89246e-35, 4.89246e-35, 4.89246e-35, 4.89246e-35, 4.89246e-35, 4.89246e-35, 4.89246e-35, 1.09884e-11, 4.89246e-35, 4.89246e-35, 1.04632e-12, 1.30479e-11, 4.89246e-35, 3.67847e-09, 4.89246e-35, 4.89246e-35
0.371995, 0, 5.46996e-09, 3.53583e-34, 1.41421, -5.46996e-09, 0, 3.53583e-34, 3.53583e-34, 3.53583e-34, 3.53583e-34, 3.53583e-34, 3.53583e-34, 3.53583e-34, 3.53583e-34, 3.53583e-34, 3.53583e-34, 3.53583e-34, 3.53583e-34, 3.53583e-34, 1.62492e-11, 3.53583e-34, 3.53583e-34, 1.66334e-12, 2.07746e-11, 3.53583e-34, 5.43127e-09, 3.53583e-34, 3.53583e-34
0.379864, 0, 8.02531e-09, 2.42225e-33, 1.41421, -8.02531e-09, 0, 2.42225e-33, 2.42225e-33, 2.42225e-33, 2.42225e-33, 2.42225e-33, 2.42225e-33, 2.42225e-33, 2.42225e-33, 2.42225e-33, 2.42225e-33, 2.42225e-33, 2.42225e-33, 2.42225e-33, 2.3875e-11, 2.42225e-33, 2.42225e-33, 2.64235e-12, 3.30116e-11, 2.42225e-33, 7.96579e-09, 2.42225e-33, 2.42225e-33
0.387733, 0, 1.1697e-08, 1.51584e-32, 1.41421, -1.1697e-08, 0, 1.51584e-32, 1.51584e-32, 1.51584e-32, 1.51584e-32, 1.51584e-32, 1.51584e-32, 1.51584e-32, 1.51584e-32, 1.51584e-32, 1.51584e-32, 1.51584e-32, 1.51584e-32, 1.51584e-32, 3.48582e-11, 1.51584e-32, 1.51584e-32, 4.19557e-12, 5.23637e-11, 1.51584e-32, 1.16056e-08, 1.51584e-32, 1.51584e-32
0.395601, 0, 1.69372e-08, 9.30889e-32, 1.41421, -1.69372e-08, 0, 9.30889e-32, 9.30889e-32, 9.30889e-32, 9.30889e-32, 9.30889e-32, 9.30889e-32, 9.30889e-32, 9.30889e-32, 9.30889e-32, 9.30889e-32, 9.30889e-32, 9.30889e-32, 9.30889e-32, 5.05776e-11, 9.30889e-32, 9.30889e-32, 6.65959e-12, 8.29262e-11, 9.30889e-32, 1.6797e-08, 9.30889e-32, 9.30889e-32
0.40347, 0, 2.43666e-08, 5.18665e-31, 1.41421, -2.43666e-08, 0, 5.18665e-31, 5.18665e-31, 5.18665e-31, 5.18665e-31, 5.18665e-31, 5.18665e-31, 5.18665e-31, 5.18665e-31, 5.18665e-31, 5.18665e-31, 5.18665e-31, 5.18665e-31, 5.18665e-31, 7.29365e-11, 5.18665e-31, 5.18665e-31, 1.05677e-11, 1.31127e-10, 5.18665e-31, 2.41519e-08, 5.18665e-31, 5.18665e-31
0.411339, 0, 3.48304e-08, 2.77448e-30, 1.41421, -3.48304e-08, 0, 2.77448e-30, 2.77448e-30, 2.77448e-30, 2.77448e-30, 2.77448e-30, 2.77448e-30, 2.77448e-30, 2.77448e-30, 2.77448e-30, 2.77448e-30, 2.77448e-30, 2.77448e-30, 2.77448e-30, 1.04547e-10, 2.77448e-30, 2.77448e-30, 1.67633e-11, 2.07033e-10, 2.77448e-30, 3.4502e-08, 2.77448e-30, 2.77448e-30
0.419208, 0, 4.94722e-08, 1.4038e-29, 1.41421, -4.94722e-08, 0, 1.4038e-29, 1.4038e-29, 1.4038e-29, 1.4038e-29, 1.4038e-29, 1.4038e-29, 1.4038e-29, 1.4038e-29, 1.4038e-29, 1.4038e-29, 1.4038e-29, 1.4038e-29, 1.4038e-29, 1.4897e-10, 1.4038e-29, 1.4038e-29, 2.65778e-11, 3.26364e-10, 1.4038e-29, 4.89702e-08, 1.4038e-29, 1.4038e-29
0.427077, 0, 6.98291e-08, 6.69546e-29, 1.41421, -6.98291e-08, 0, 6.69546e-29, 6.69546e-29, 6.69546e-29, 6.69546e-29, 6.69546e-29, 6.69546e-29, 6.69546e-29, 6.69546e-29, 6.69546e-29, 6.69546e-29, 6.69546e-29, 6.69546e-29, 6.69546e-29, 2.1104e-10, 6.69546e-29, 6.69546e-29, 4.21067e-11, 5.13598e-10, 6.69546e-29, 6.90624e-08, 6.69546e-29, 6.69546e-29
0.434946, 0, 9.79528e-08, 3.05884e-28, 1.41421, -9.79528e-08, 0, 3.05884e-28, 3.05884e-28, 3.05884e-28, 3.05884e-28, 3.05884e-28, 3.05884e-28, 3.05884e-28, 3.05884e-28, 3.05884e-28, 3.05884e-28, 3.05884e-28, 3.05884e-28, 3.05884e-28, 2.97273e-10, 3.05884e-28, 3.05884e-28, 6.66361e-11, 8.06683e-10, 3.05884e-28, 9.67822e-08, 3.05884e-28, 3.05884e-28
0.442814, 0, 1.36564e-07, 1.33164e-27, 1.41421, -1.36564e-07, 0, 1.33164e-27, 1.33164e-27, 1.33164e-27, 1.33164e-27, 1.33164e-27, 1.33164e-27, 1.33164e-27, 1.33164e-27, 1.33164e-27, 1.33164e-27, 1.33164e-27, 1.33164e-27, 1.33164e-27, 4.16412e-10, 1.33164e-27, 1.33164e-27, 1.05299e-10, 1.2642e-09, 1.33164e-27, 1.34778e-07, 1.33164e-27, 1.33164e-27
0.450683, 0, 1.8925e-07, 5.51709e-27, 1.41421, -1.8925e-07, 0, 5.51709e-27, 5.51709e-27, 5.51709e-27, 5.51709e-27, 5.51709e-27, 5.51709e-27, 5.51709e-27, 5.51709e-27, 5.51709e-27, 5.51709e-27, 5.51709e-27, 5.51709e-27, 5.51709e-27, 5.80126e-10, 5.51709e-27, 5.51709e-27, 1.66075e-10, 1.97608e-09, 5.51709e-27, 1.86528e-07, 5.51709e-27, 5.51709e-27
0.458552, 0, 2.60712e-07, 3.65703e-26, 1.41421, -2.60712e-07, 0, 3.65703e-26, 3.65703e-26, 3.65703e-26, 3.65703e-26, 3.65703e-26, 3.65703e-26, 3.65703e-26, 3.65703e-26, 3.65703e-26, 3.83319e-12, 3.65703e-26, 3.65703e-26, 3.65703e-26, 8.03916e-10, 3.65703e-26, 3.65703e-26, 2.61423e-10, 3.08033e-09, 3.65703e-26, 2.56563e-07, 3.65703e-26, 3.65703e-26
0.466421, 0, 3.57063e-07, 1.3227e-25, 1.41421, -3.57063e-07, 0, 1.3227e-25, 1.3227e-25, 1.3227e-25, 1.3227e-25, 1.3227e-25, 1.3227e-25, 1.3227e-25, 1.3227e-25, 1.3227e-25, 1.27692e-11, 1.3227e-25, 1.3227e-25, 1.3227e-25, 1.10822e-09, 1.3227e-25, 1.3227e-25, 4.10124e-10, 4.78385e-09, 1.3227e-25, 3.50748e-07, 1.3227e-25, 1.3227e-25
0.47429, 0, 4.8622e-07, 4.62032e-25, 1.41421, -4.8622e-07, 0, 4.62032e-25, 4.62032e-25, 4.62032e-25, 4.62032e-25, 4.62032e-25, 4.62032e-25, 4.62032e-25, 4.62032e-25, 4.62032e-25, 3.30152e-11, 4.62032e-25, 4.62032e-25, 4.62032e-25, 1.51994e-09, 4.62032e-25, 4.62032e-25, 6.41264e-10, 7.40063e-09, 4.62032e-25, 4.76625e-07, 4.62032e-25, 4.62032e-25
0.482159, 0, 6.60487e-07, 1.37334e-10, 1.41421, -6.60487e-07, 1.37334e-10, 1.3734e-10, 1.37556e-10, 1.37603e-10, 3.34661e-10, 1.4034e-10, 1.38336e-10, 1.50925e-10, 3.3427e-10, 1.50991e-10, 3.92076e-10, 6.8824e-10, 2.17181e-10, 7.53882e-10, 2.21162e-09, 1.56113e-10, 1.37996e-10, 1.13622e-09, 1.15363e-08, 1.37335e-10, 6.44032e-07, 1.37334e-10, 1.7242e-10
0.490027, 0, 8.93574e-07, 4.51333e-10, 1.41421, -8.93574e-07, 4.51333e-10, 4.51352e-10, 4.52067e-10, 4.52225e-10, 1.1055e-09, 4.61296e-10, 4.54654e-10, 4.96389e-10, 1.1042e-09, 4.96608e-10, 1.21252e-09, 2.27765e-09, 7.16034e-10, 2.49527e-09, 3.26833e-09, 5.13585e-10, 4.53527e-10, 2.00085e-09, 1.79241e-08, 4.51336e-10, 8.65245e-07, 4.51333e-10, 5.67646e-10
0.497896, 0, 1.20562e-06, 1.15566e-09, 1.41421, -1.20562e-06, 1.15566e-09, 1.15571e-09, 1.15755e-09, 1.15796e-09, 2.83995e-09, 1.18131e-09, 1.16421e-09, 1.27167e-09, 2.83661e-09, 1.27223e-09, 3.04526e-09, 5.85793e-09, 1.83719e-09, 6.41822e-09, 4.963e-09, 1.31594e-09, 1.16131e-09, 3.54826e-09, 2.7797e-08, 1.15567e-09, 1.15614e-06, 1.15566e-09, 1.45514e-09
0.505765, 0, 1.62485e-06, 2.70235e-09, 1.41421, -1.62485e-06, 2.70235e-09, 2.70247e-09, 2.70679e-09, 2.70774e-09, 6.6556e-09, 2.76256e-09, 2.72242e-09, 2.97463e-09, 6.64778e-09, 2.97596e-09, 7.0502e-09, 1.37392e-08, 4.302e-09, 1.50543e-08, 7.824e-09, 3.07855e-09, 2.71561e-09, 6.37835e-09, 4.30909e-08, 2.70237e-09, 1.5367e-06, 2.70235e-09, 3.40526e-09
0.513634, 0, 2.19285e-06, 6.02952e-09, 1.41421, -2.19285e-06, 6.02952e-09, 6.02978e-09, 6.03944e-09, 6.04157e-09, 1.48706e-08, 6.16417e-09, 6.07441e-09, 6.63845e-09, 1.48531e-08, 6.64141e-09, 1.5614e-08, 3.07124e-08, 9.60699e-09, 3.36535e-08, 1.28872e-08, 6.87086e-09, 6.05917e-09, 1.16474e-08, 6.6883e-08, 6.02956e-09, 2.03252e-06, 6.02952e-09, 7.6015e-09
0.521503, 0, 2.97534e-06, 1.30361e-08, 1.41421, -2.97534e-06, 1.30361e-08, 1.30367e-08, 1.30576e-08, 1.30622e-08, 3.21811e-08, 1.33277e-08, 1.31333e-08, 1.43547e-08, 3.21432e-08, 1.43611e-08, 3.53234e-08, 6.64861e-08, 2.0783e-08, 7.28549e-08, 2.21763e-08, 1.4858e-08, 1.31003e-08, 2.15738e-08, 1.04224e-07, 1.30362e-08, 2.67654e-06, 1.30361e-08, 1.64402e-08
0.529372, 0, 4.0767e-06, 2.7481e-08, 1.41421, -4.0767e-06, 2.7481e-08, 2.74822e-08, 2.75263e-08, 2.75361e-08, 6.78889e-08, 2.80964e-08, 2.76862e-08, 3.02641e-08, 6.78089e-08, 3.02776e-08, 7.7961e-08, 1.40294e-07, 4.38317e-08, 1.53736e-07, 3.96083e-08, 3.13263e-08, 2.76165e-08, 4.03805e-08, 1.63116e-07, 2.74812e-08, 3.51173e-06, 2.7481e-08, 3.46657e-08
0.53724, 0, 5.70535e-06, 5.66381e-08, 1.41421, -5.70535e-06, 5.66381e-08, 5.66406e-08, 5.67317e-08, 5.67517e-08, 1.40004e-07, 5.79078e-08, 5.70614e-08, 6.238e-08, 1.39839e-07, 6.24079e-08, 2.00949e-07, 2.89384e-07, 9.03716e-08, 3.17116e-07, 7.26566e-08, 6.45715e-08, 5.69177e-08, 7.60101e-08, 2.56987e-07, 5.66385e-08, 4.59532e-06, 5.66381e-08, 7.1461e-08
0.545109, 0, 8.16768e-06, 1.14264e-07, 1.41421, -8.16768e-06, 1.14264e-07, 1.14269e-07, 1.14453e-07, 1.14494e-07, 2.82612e-07, 1.16828e-07, 1.15119e-07, 1.25859e-07, 2.82279e-07, 1.25916e-07, 4.58368e-07, 5.84265e-07, 1.82385e-07, 6.40268e-07, 1.35328e-07, 1.30285e-07, 1.14829e-07, 1.43177e-07, 4.08103e-07, 1.14265e-07, 6.00567e-06, 1.14264e-07, 1.44197e-07
0.552978, 0, 1.20291e-05, 2.2579e-07, 1.41421, -1.20291e-05, 2.2579e-07, 2.258e-07, 2.26164e-07, 2.26244e-07, 5.58763e-07, 2.30862e-07, 2.27481e-07, 2.48724e-07, 5.58103e-07, 2.48835e-07, 9.87534e-07, 1.1554e-06, 3.60525e-07, 1.26616e-06, 2.53367e-07, 2.57477e-07, 2.26907e-07, 2.68688e-07, 6.53638e-07, 2.25792e-07, 7.85344e-06, 2.2579e-07, 2.84994e-07
0.560847, 0, 1.82837e-05, 4.37162e-07, 1.41421, -1.82837e-05, 4.37162e-07, 4.37181e-07, 4.37886e-07, 4.38042e-07, 1.08245e-06, 4.4699e-07, 4.40438e-07, 4.81607e-07, 1.08118e-06, 4.81823e-07, 2.05314e-06, 2.23872e-06, 6.98274e-07, 2.45338e-06, 4.73107e-07, 4.9857e-07, 4.39326e-07, 5.00388e-07, 1.05563e-06, 4.37165e-07, 1.02997e-05, 4.37162e-07, 5.51898e-07
