   PIQUANT 0.0.0-main  ps__0567_0717304816_000rfs_shot_349.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.0214464, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0135776, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00570873, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0021601, 0, 1.78748e-20, 0, 1.41421, -1.78748e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.282e-23, 0, 0, 1.48144e-24, 1.55341e-23, 0, 1.7805e-20, 0, 0
0.0100289, 0, 3.86584e-20, 0, 1.41421, -3.86584e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.14234e-22, 0, 0, 3.25705e-24, 3.41822e-23, 0, 3.85068e-20, 0, 0
0.0178978, 0, 8.25694e-20, 0, 1.41421, -8.25694e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.43984e-22, 0, 0, 7.07227e-24, 7.42657e-23, 0, 8.22441e-20, 0, 0
0.0257666, 0, 1.74254e-19, 0, 1.41421, -1.74254e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.14894e-22, 0, 0, 1.51743e-23, 1.59404e-22, 0, 1.73565e-19, 0, 0
0.0336354, 0, 3.63522e-19, 0, 1.41421, -3.63522e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.07413e-21, 0, 0, 3.21865e-23, 3.38188e-22, 0, 3.62077e-19, 0, 0
0.0415042, 0, 7.49954e-19, 0, 1.41421, -7.49954e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.21592e-21, 0, 0, 6.75205e-23, 7.09519e-22, 0, 7.46961e-19, 0, 0
0.0493731, 0, 1.53057e-18, 0, 1.41421, -1.53057e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.52236e-21, 0, 0, 1.40138e-22, 1.47264e-21, 0, 1.52443e-18, 0, 0
0.0572419, 0, 3.09116e-18, 0, 1.41421, -3.09116e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.13327e-21, 0, 0, 2.87856e-22, 3.02497e-21, 0, 3.07872e-18, 0, 0
0.0651107, 0, 6.17984e-18, 0, 1.41421, -6.17984e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.82589e-20, 0, 0, 5.85376e-22, 6.15161e-21, 0, 6.15484e-18, 0, 0
0.0729795, 0, 1.22329e-17, 0, 1.41421, -1.22329e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.61424e-20, 0, 0, 1.17883e-21, 1.23889e-20, 0, 1.21832e-17, 0, 0
0.0808484, 0, 2.39819e-17, 0, 1.41421, -2.39819e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.08539e-20, 0, 0, 2.35148e-21, 2.47162e-20, 0, 2.3884e-17, 0, 0
0.0887172, 0, 4.65736e-17, 0, 1.41421, -4.65736e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.37597e-19, 0, 0, 4.6473e-21, 4.88593e-20, 0, 4.63825e-17, 0, 0
0.096586, 0, 8.9616e-17, 0, 1.41421, -8.9616e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.64757e-19, 0, 0, 9.10179e-21, 9.57284e-20, 0, 8.92464e-17, 0, 0
0.104455, 0, 1.70883e-16, 0, 1.41421, -1.70883e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.04837e-19, 0, 0, 1.76687e-20, 1.85934e-19, 0, 1.70175e-16, 0, 0
0.112324, 0, 3.22967e-16, 0, 1.41421, -3.22967e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.54114e-19, 0, 0, 3.40026e-20, 3.58091e-19, 0, 3.21621e-16, 0, 0
0.120193, 0, 6.05101e-16, 0, 1.41421, -6.05101e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.78756e-18, 0, 0, 6.48819e-20, 6.83959e-19, 0, 6.02565e-16, 0, 0
