   PIQUANT 0.0.0-main  ps__0246_0688790088_000rfs_shot_14.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.00154524, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00634314, 0, 2.47702e-18, 0, 1.41421, -2.47702e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.07901e-20, 0, 0, 4.37821e-23, 0, 1.76886e-21, 0, 2.46442e-18, 0, 0
0.0142315, 0, 4.87532e-18, 0, 1.41421, -4.87532e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.1237e-20, 0, 0, 8.75435e-23, 0, 3.54344e-21, 0, 4.85045e-18, 0, 0
0.0221199, 0, 9.50484e-18, 0, 1.41421, -9.50484e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.14028e-20, 0, 0, 1.73408e-22, 0, 7.03179e-21, 0, 9.45623e-18, 0, 0
0.0300083, 0, 1.83605e-17, 0, 1.41421, -1.83605e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.99769e-20, 0, 0, 3.40382e-22, 0, 1.38282e-20, 0, 1.82664e-17, 0, 0
0.0378967, 0, 3.51514e-17, 0, 1.41421, -3.51514e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.53114e-19, 0, 0, 6.62281e-22, 0, 2.69562e-20, 0, 3.49707e-17, 0, 0
0.0457851, 0, 6.6715e-17, 0, 1.41421, -6.6715e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.90596e-19, 0, 0, 1.27763e-21, 0, 5.21041e-20, 0, 6.6371e-17, 0, 0
0.0536735, 0, 1.25552e-16, 0, 1.41421, -1.25552e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.4687e-19, 0, 0, 2.44431e-21, 0, 9.98893e-20, 0, 1.24903e-16, 0, 0
0.0615618, 0, 2.34331e-16, 0, 1.41421, -2.34331e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.02066e-18, 0, 0, 4.6386e-21, 0, 1.89977e-19, 0, 2.33116e-16, 0, 0
0.0694502, 0, 4.33832e-16, 0, 1.41421, -4.33832e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.88959e-18, 0, 0, 8.73338e-21, 0, 3.58521e-19, 0, 4.31576e-16, 0, 0
