   PIQUANT 0.0.0-main  ps__0246_0688790088_000rfs_shot_59.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.0258013, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0177975, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0097936, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00178973, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00621413, 0, 2.28139e-16, 0, 1.41421, -2.28139e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.02437e-19, 0, 0, 1.21533e-21, 2.97187e-20, 0, 2.27306e-16, 0, 0
0.014218, 0, 4.3105e-16, 0, 1.41421, -4.3105e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.51613e-18, 0, 0, 2.33513e-21, 5.75108e-20, 0, 4.29474e-16, 0, 0
0.0222219, 0, 8.07281e-16, 0, 1.41421, -8.07281e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.83944e-18, 0, 0, 4.44835e-21, 1.10363e-19, 0, 8.04327e-16, 0, 0
0.0302257, 0, 1.4989e-15, 0, 1.41421, -1.4989e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.27206e-18, 0, 0, 8.40315e-21, 2.10064e-19, 0, 1.49341e-15, 0, 0
0.0382296, 0, 2.75961e-15, 0, 1.41421, -2.75961e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.70628e-18, 0, 0, 1.57441e-20, 3.96669e-19, 0, 2.74949e-15, 0, 0
0.0462335, 0, 5.03863e-15, 0, 1.41421, -5.03863e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.77221e-17, 0, 0, 2.92614e-20, 7.43241e-19, 0, 5.02014e-15, 0, 0
0.0542373, 0, 9.12497e-15, 0, 1.41421, -9.12497e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.20947e-17, 0, 0, 5.3956e-20, 1.3821e-18, 0, 9.09144e-15, 0, 0
0.0622412, 0, 1.63931e-14, 0, 1.41421, -1.63931e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.76581e-17, 0, 0, 9.87216e-20, 2.55108e-18, 0, 1.63328e-14, 0, 0
0.0702451, 0, 2.92182e-14, 0, 1.41421, -2.92182e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.02767e-16, 0, 0, 1.79254e-19, 4.67475e-18, 0, 2.91106e-14, 0, 0
0.0782489, 0, 5.16725e-14, 0, 1.41421, -5.16725e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.81742e-16, 0, 0, 3.23044e-19, 8.50549e-18, 0, 5.1482e-14, 0, 0
0.0862528, 0, 9.06826e-14, 0, 1.41421, -9.06826e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.18946e-16, 0, 0, 5.77882e-19, 1.53677e-17, 0, 9.03477e-14, 0, 0
0.0942567, 0, 1.57939e-13, 0, 1.41421, -1.57939e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.55494e-16, 0, 0, 1.02624e-18, 2.75766e-17, 0, 1.57355e-13, 0, 0
0.102261, 0, 2.7302e-13, 0, 1.41421, -2.7302e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.60245e-16, 0, 0, 1.80939e-18, 4.91527e-17, 0, 2.72009e-13, 0, 0
0.110264, 0, 4.68464e-13, 0, 1.41421, -4.68464e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.64764e-15, 0, 0, 3.16764e-18, 8.70316e-17, 0, 4.66727e-13, 0, 0
0.118268, 0, 7.97941e-13, 0, 1.41421, -7.97941e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.80644e-15, 0, 0, 5.50687e-18, 1.531e-16, 0, 7.94976e-13, 0, 0
0.126272, 0, 1.3493e-12, 0, 1.41421, -1.3493e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.74562e-15, 0, 0, 9.50781e-18, 2.676e-16, 0, 1.34428e-12, 0, 0
0.134276, 0, 2.26529e-12, 0, 1.41421, -2.26529e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.96722e-15, 0, 0, 1.63043e-17, 4.64782e-16, 0, 2.25684e-12, 0, 0
0.14228, 0, 3.77608e-12, 0, 1.41421, -3.77608e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.32808e-14, 0, 0, 2.77723e-17, 8.02237e-16, 0, 3.76197e-12, 0, 0
0.150284, 0, 6.25014e-12, 0, 1.41421, -6.25014e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.19824e-14, 0, 0, 4.69946e-17, 1.37621e-15, 0, 6.22674e-12, 0, 0
0.158288, 0, 1.0273e-11, 0, 1.41421, -1.0273e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.61314e-14, 0, 0, 7.90053e-17, 2.34653e-15, 0, 1.02344e-11, 0, 0
