   PIQUANT 0.0.0-main  ps__0246_0688790088_000rfs_shot_74.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.0230762, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0150877, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00709909, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.000889488, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00887806, 0, 5.74904e-18, 0, 1.41421, -5.74904e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.53537e-20, 0, 0, 2.23134e-23, 4.10673e-22, 0, 5.73325e-18, 0, 0
0.0168666, 0, 1.19572e-17, 0, 1.41421, -1.19572e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.19336e-20, 0, 0, 4.71163e-23, 8.7235e-22, 0, 1.19243e-17, 0, 0
0.0248552, 0, 2.45832e-17, 0, 1.41421, -2.45832e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.5653e-20, 0, 0, 9.83609e-23, 1.83162e-21, 0, 2.45156e-17, 0, 0
0.0328438, 0, 4.9977e-17, 0, 1.41421, -4.9977e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.33471e-19, 0, 0, 2.03085e-22, 3.80291e-21, 0, 4.98395e-17, 0, 0
0.0408324, 0, 1.00501e-16, 0, 1.41421, -1.00501e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.68402e-19, 0, 0, 4.14846e-22, 7.81102e-21, 0, 1.00224e-16, 0, 0
0.0488209, 0, 1.99969e-16, 0, 1.41421, -1.99969e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.34044e-19, 0, 0, 8.38651e-22, 1.58769e-20, 0, 1.99418e-16, 0, 0
0.0568095, 0, 3.93793e-16, 0, 1.41421, -3.93793e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.05168e-18, 0, 0, 1.67837e-21, 3.19476e-20, 0, 3.92708e-16, 0, 0
0.0647981, 0, 7.67704e-16, 0, 1.41421, -7.67704e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.05025e-18, 0, 0, 3.326e-21, 6.36592e-20, 0, 7.65587e-16, 0, 0
0.0727867, 0, 1.49952e-15, 0, 1.41421, -1.49952e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.00465e-18, 0, 0, 6.63e-21, 1.27802e-19, 0, 1.49538e-15, 0, 0
0.0807752, 0, 2.86335e-15, 0, 1.41421, -2.86335e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.64691e-18, 0, 0, 1.28733e-20, 2.49576e-19, 0, 2.85544e-15, 0, 0
