   PIQUANT 0.0.0-main  ps__0246_0688790088_000rfs_shot_60.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.0154328, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0232202, 0, 1.38463e-28, 0, 1.41421, -1.38463e-28, 0, 0, 0, 0, 0, 0, 0, 5.13354e-31, 0, 0, 8.81855e-34, 2.56843e-34, 0, 1.37949e-28, 0, 0
0.0310077, 0, 1.41842e-27, 0, 1.41421, -1.41842e-27, 0, 0, 0, 0, 0, 0, 0, 5.25866e-30, 0, 0, 9.0335e-33, 3.92981e-32, 0, 1.41311e-27, 0, 0
0.0387951, 0, 9.10705e-27, 0, 1.41421, -9.10705e-27, 0, 0, 0, 0, 0, 0, 0, 3.37631e-29, 0, 0, 5.79993e-32, 4.02386e-31, 0, 9.07283e-27, 0, 0
0.0465825, 0, 4.67174e-26, 0, 1.41421, -4.67174e-26, 0, 0, 0, 0, 0, 0, 0, 1.73196e-28, 0, 0, 2.97521e-31, 2.60167e-30, 0, 4.65413e-26, 0, 0
0.0543699, 0, 2.08774e-25, 0, 1.41421, -2.08774e-25, 0, 0, 0, 0, 0, 0, 0, 7.73983e-28, 0, 0, 1.33174e-30, 1.34281e-29, 0, 2.07985e-25, 0, 0
0.0621574, 0, 8.47329e-25, 0, 1.41421, -8.47329e-25, 0, 0, 0, 0, 0, 0, 0, 3.14127e-27, 0, 0, 5.42324e-30, 6.02956e-29, 0, 8.44122e-25, 0, 0
0.0699448, 0, 3.19719e-24, 0, 1.41421, -3.19719e-24, 0, 0, 0, 0, 0, 0, 0, 1.18528e-26, 0, 0, 2.056e-29, 2.45614e-28, 0, 3.18508e-24, 0, 0
0.0777322, 0, 1.138e-23, 0, 1.41421, -1.138e-23, 0, 0, 0, 0, 0, 0, 0, 4.21883e-26, 0, 0, 7.35966e-29, 9.29403e-28, 0, 1.13368e-23, 0, 0
0.0855197, 0, 3.8583e-23, 0, 1.41421, -3.8583e-23, 0, 0, 0, 0, 0, 0, 0, 1.43035e-25, 0, 0, 2.5111e-28, 3.316e-27, 0, 3.84364e-23, 0, 0
0.0933071, 0, 1.2546e-22, 0, 1.41421, -1.2546e-22, 0, 0, 0, 0, 0, 0, 0, 4.65105e-25, 0, 0, 8.22145e-28, 1.12662e-26, 0, 1.24983e-22, 0, 0
0.101095, 0, 3.93252e-22, 0, 1.41421, -3.93252e-22, 0, 0, 0, 0, 0, 0, 0, 1.45785e-24, 0, 0, 2.59583e-27, 3.67042e-26, 0, 3.91755e-22, 0, 0
0.108882, 0, 1.3315e-21, 0, 1.41421, -1.3315e-21, 0, 0, 0, 0, 0, 0, 0, 4.93607e-24, 0, 0, 8.90433e-27, 1.31129e-25, 0, 1.32642e-21, 0, 0
0.116669, 0, 3.86767e-21, 0, 1.41421, -3.86767e-21, 0, 0, 0, 0, 0, 0, 0, 1.4338e-23, 0, 0, 2.60701e-26, 3.92105e-25, 0, 3.85291e-21, 0, 0
0.124457, 0, 1.09521e-20, 0, 1.41421, -1.09521e-20, 0, 0, 0, 0, 0, 0, 0, 4.06008e-23, 0, 0, 7.44317e-26, 1.14067e-24, 0, 1.09103e-20, 0, 0
0.132244, 0, 3.02844e-20, 0, 1.41421, -3.02844e-20, 0, 0, 0, 0, 0, 0, 0, 1.12268e-22, 0, 0, 2.07578e-25, 3.23496e-24, 0, 3.01687e-20, 0, 0
0.140032, 0, 8.18916e-20, 0, 1.41421, -8.18916e-20, 0, 0, 0, 0, 0, 0, 0, 3.03581e-22, 0, 0, 5.66289e-25, 8.95929e-24, 0, 8.15785e-20, 0, 0
0.147819, 0, 2.16819e-19, 0, 1.41421, -2.16819e-19, 0, 0, 0, 0, 0, 0, 0, 8.03769e-22, 0, 0, 1.5131e-24, 2.42668e-23, 0, 2.15989e-19, 0, 0
0.155607, 0, 5.62664e-19, 0, 1.41421, -5.62664e-19, 0, 0, 0, 0, 0, 0, 0, 2.08585e-21, 0, 0, 3.96398e-24, 6.43615e-23, 0, 5.60509e-19, 0, 0
0.163394, 0, 1.43252e-18, 0, 1.41421, -1.43252e-18, 0, 0, 0, 0, 0, 0, 0, 5.31048e-21, 0, 0, 1.01915e-23, 1.67335e-22, 0, 1.42703e-18, 0, 0
0.171181, 0, 3.58104e-18, 0, 1.41421, -3.58104e-18, 0, 0, 0, 0, 0, 0, 0, 1.32752e-20, 0, 0, 2.57361e-23, 4.26883e-22, 0, 3.56731e-18, 0, 0
0.178969, 0, 8.79597e-18, 0, 1.41421, -8.79597e-18, 0, 0, 0, 0, 0, 0, 0, 3.26072e-20, 0, 0, 6.388e-23, 1.06943e-21, 0, 8.76223e-18, 0, 0
0.186756, 0, 2.12439e-17, 0, 1.41421, -2.12439e-17, 0, 0, 0, 0, 0, 0, 0, 7.87523e-20, 0, 0, 1.55975e-22, 2.63338e-21, 0, 2.11624e-17, 0, 0
0.194544, 0, 5.04745e-17, 0, 1.41421, -5.04745e-17, 0, 0, 0, 0, 0, 0, 0, 1.87111e-19, 0, 0, 3.74793e-22, 6.37676e-21, 0, 5.02806e-17, 0, 0
0.202331, 0, 1.18037e-16, 0, 1.41421, -1.18037e-16, 0, 0, 0, 0, 0, 0, 0, 4.37567e-19, 0, 0, 8.86749e-22, 1.51939e-20, 0, 1.17583e-16, 0, 0
0.210119, 0, 2.71815e-16, 0, 1.41421, -2.71815e-16, 0, 0, 0, 0, 0, 0, 0, 1.00762e-18, 0, 0, 2.06677e-21, 3.56412e-20, 0, 2.70769e-16, 0, 0
0.217906, 0, 6.16618e-16, 0, 1.41421, -6.16618e-16, 0, 0, 0, 0, 0, 0, 0, 2.28581e-18, 0, 0, 4.74735e-21, 8.235e-20, 0, 6.14245e-16, 0, 0
0.225693, 0, 1.37852e-15, 0, 1.41421, -1.37852e-15, 0, 0, 0, 0, 0, 0, 0, 5.11016e-18, 0, 0, 1.0751e-20, 1.87496e-19, 0, 1.37321e-15, 0, 0
0.233481, 0, 3.03812e-15, 0, 1.41421, -3.03812e-15, 0, 0, 0, 0, 0, 0, 0, 1.12623e-17, 0, 0, 2.40124e-20, 4.20835e-19, 0, 3.02641e-15, 0, 0
0.241268, 0, 6.60281e-15, 0, 1.41421, -6.60281e-15, 0, 0, 0, 0, 0, 0, 0, 2.44764e-17, 0, 0, 5.29119e-20, 9.31494e-19, 0, 6.57735e-15, 0, 0
0.249056, 0, 1.41549e-14, 0, 1.41421, -1.41549e-14, 0, 0, 0, 0, 0, 0, 0, 5.24715e-17, 0, 0, 1.15063e-19, 2.03399e-18, 0, 1.41003e-14, 0, 0
0.256843, 0, 2.99398e-14, 0, 1.41421, -2.99398e-14, 0, 0, 0, 0, 0, 0, 0, 1.10984e-16, 0, 0, 2.46997e-19, 4.38276e-18, 0, 2.98242e-14, 0, 0
0.264631, 0, 6.24969e-14, 0, 1.41421, -6.24969e-14, 0, 0, 0, 0, 0, 0, 0, 2.31669e-16, 0, 0, 5.23529e-19, 9.32203e-18, 0, 6.22554e-14, 0, 0
0.272418, 0, 1.29343e-13, 0, 1.41421, -1.29343e-13, 0, 0, 0, 0, 0, 0, 0, 4.79454e-16, 0, 0, 1.10257e-18, 1.97006e-17, 0, 1.28843e-13, 0, 0
0.280205, 0, 2.62957e-13, 0, 1.41421, -2.62957e-13, 0, 0, 0, 0, 0, 0, 0, 9.7473e-16, 0, 0, 2.27838e-18, 4.08311e-17, 0, 2.6194e-13, 0, 0
0.287993, 0, 5.27948e-13, 0, 1.41421, -5.27948e-13, 0, 0, 0, 0, 0, 0, 0, 1.95697e-15, 0, 0, 4.65252e-18, 8.36087e-17, 0, 5.25903e-13, 0, 0
0.29578, 0, 1.04697e-12, 0, 1.41421, -1.04697e-12, 0, 0, 0, 0, 0, 0, 0, 3.88079e-15, 0, 0, 9.39047e-18, 1.69185e-16, 0, 1.04291e-12, 0, 0
0.303568, 0, 2.05104e-12, 0, 1.41421, -2.05104e-12, 0, 0, 0, 0, 0, 0, 0, 7.60251e-15, 0, 0, 1.87378e-17, 3.38393e-16, 0, 2.04308e-12, 0, 0
0.311355, 0, 3.96988e-12, 0, 1.41421, -3.96988e-12, 0, 0, 0, 0, 0, 0, 0, 1.47149e-14, 0, 0, 3.69725e-17, 6.69152e-16, 0, 3.95446e-12, 0, 0
