   PIQUANT 0.0.0-main  ps__0246_0688790088_000rfs_shot_61.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.211615, 0, 3.69091e-09, 0, 1.41421, -3.69091e-09, 0, 0, 0, 0, 0, 0, 4.80707e-11, 0, 0, 1.92536e-13, 1.30992e-11, 0, 3.62955e-09, 0, 0
0.219637, 0, 5.37079e-09, 0, 1.41421, -5.37079e-09, 0, 0, 0, 0, 0, 0, 6.99707e-11, 0, 0, 2.9333e-13, 2.0116e-11, 0, 5.28041e-09, 0, 0
0.22766, 0, 7.76575e-09, 0, 1.41421, -7.76575e-09, 0, 0, 0, 0, 0, 0, 1.01211e-10, 0, 0, 4.45449e-13, 3.07291e-11, 0, 7.63337e-09, 0, 0
0.235682, 0, 1.11584e-08, 0, 1.41421, -1.11584e-08, 0, 0, 0, 0, 0, 0, 1.45499e-10, 0, 0, 6.74552e-13, 4.67025e-11, 0, 1.09655e-08, 0, 0
0.243704, 0, 1.59341e-08, 1.59328e-42, 1.41421, -1.59341e-08, 0, 1.59328e-42, 1.59328e-42, 1.59328e-42, 1.59328e-42, 1.59328e-42, 2.07897e-10, 1.59328e-42, 1.59328e-42, 1.01904e-12, 7.06304e-11, 1.59328e-42, 1.56545e-08, 1.59328e-42, 1.59328e-42
0.251726, 0, 2.26159e-08, 2.12248e-40, 1.41421, -2.26159e-08, 0, 2.12248e-40, 2.12248e-40, 2.12248e-40, 2.12248e-40, 2.12248e-40, 2.95301e-10, 2.12248e-40, 2.12248e-40, 1.53861e-12, 1.06385e-10, 2.12248e-40, 2.22127e-08, 2.12248e-40, 2.12248e-40
0.259748, 0, 3.19042e-08, 2.92412e-39, 1.41421, -3.19042e-08, 0, 2.92412e-39, 2.92412e-39, 2.92412e-39, 2.92412e-39, 2.92412e-39, 4.16954e-10, 2.92412e-39, 2.92412e-39, 2.31609e-12, 1.59398e-10, 2.92412e-39, 3.13255e-08, 2.92412e-39, 2.92412e-39
0.26777, 0, 4.47391e-08, 3.60091e-38, 1.41421, -4.47391e-08, 0, 3.60091e-38, 3.60091e-38, 3.60091e-38, 3.60091e-38, 3.60091e-38, 5.85324e-10, 3.60091e-38, 3.60091e-38, 3.4821e-12, 2.37786e-10, 3.60091e-38, 4.39125e-08, 3.60091e-38, 3.60091e-38
0.275792, 0, 6.23685e-08, 3.98794e-37, 1.41421, -6.23685e-08, 0, 3.98794e-37, 3.98794e-37, 3.98794e-37, 3.98794e-37, 3.98794e-37, 8.17019e-10, 3.98794e-37, 3.98794e-37, 5.23021e-12, 3.53239e-10, 3.98794e-37, 6.1193e-08, 3.98794e-37, 3.98794e-37
0.283814, 0, 8.64403e-08, 3.99496e-36, 1.41421, -8.64403e-08, 0, 3.99496e-36, 3.99496e-36, 3.99496e-36, 3.99496e-36, 3.99496e-36, 1.13407e-09, 3.99496e-36, 3.99496e-36, 7.85054e-12, 5.22645e-10, 3.99496e-36, 8.47757e-08, 3.99496e-36, 3.99496e-36
