   PIQUANT 0.0.0-main  ps__0567_0717304816_000rfs_shot_479.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0001427, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00772178, 0, 1.64965e-18, 0, 1.41421, -1.64965e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.71934e-22, 0, 1.61441e-21, 0, 1.64787e-18, 0, 0, 0
0.0155863, 0, 3.21295e-18, 0, 1.41421, -3.21295e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.40363e-22, 0, 3.2022e-21, 0, 3.20941e-18, 0, 0, 0
0.0234507, 0, 6.20011e-18, 0, 1.41421, -6.20011e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.67672e-22, 0, 6.29415e-21, 0, 6.19314e-18, 0, 0, 0
0.0313152, 0, 1.18573e-17, 0, 1.41421, -1.18573e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.29818e-21, 0, 1.22633e-20, 0, 1.18437e-17, 0, 0, 0
0.0391797, 0, 2.24779e-17, 0, 1.41421, -2.24779e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.50242e-21, 0, 2.36905e-20, 0, 2.24517e-17, 0, 0, 0
0.0470442, 0, 4.28543e-17, 0, 1.41421, -4.28543e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.87342e-21, 0, 4.62841e-20, 0, 4.28031e-17, 0, 0, 0
0.0549086, 0, 7.97544e-17, 0, 1.41421, -7.97544e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.22354e-21, 0, 8.78205e-20, 0, 7.96574e-17, 0, 0, 0
0.0627731, 0, 1.47231e-16, 0, 1.41421, -1.47231e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.73193e-20, 0, 1.65353e-19, 0, 1.47049e-16, 0, 0, 0
0.0706376, 0, 2.69643e-16, 0, 1.41421, -2.69643e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.22696e-20, 0, 3.08997e-19, 0, 2.69302e-16, 0, 0, 0
0.0785021, 0, 4.89987e-16, 0, 1.41421, -4.89987e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.96697e-20, 0, 5.73195e-19, 0, 4.89354e-16, 0, 0, 0
0.0863665, 0, 8.83561e-16, 0, 1.41421, -8.83561e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.09513e-19, 0, 1.05565e-18, 0, 8.82395e-16, 0, 0, 0
0.094231, 0, 1.58123e-15, 0, 1.41421, -1.58123e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.99521e-19, 0, 1.93054e-18, 0, 1.5791e-15, 0, 0, 0
0.102095, 0, 2.80872e-15, 0, 1.41421, -2.80872e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.60884e-19, 0, 3.50618e-18, 0, 2.80485e-15, 0, 0, 0
0.10996, 0, 4.95237e-15, 0, 1.41421, -4.95237e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.4811e-19, 0, 6.32475e-18, 0, 4.9454e-15, 0, 0, 0
0.117824, 0, 8.6687e-15, 0, 1.41421, -8.6687e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.15578e-18, 0, 1.13335e-17, 0, 8.65621e-15, 0, 0, 0
0.125689, 0, 1.50649e-14, 0, 1.41421, -1.50649e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.04688e-18, 0, 2.01763e-17, 0, 1.50426e-14, 0, 0, 0
0.133553, 0, 2.59945e-14, 0, 1.41421, -2.59945e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.60037e-18, 0, 3.56886e-17, 0, 2.59552e-14, 0, 0, 0
0.141418, 0, 4.45381e-14, 0, 1.41421, -4.45381e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.29036e-18, 0, 6.27292e-17, 0, 4.44691e-14, 0, 0, 0
0.149282, 0, 7.57787e-14, 0, 1.41421, -7.57787e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.09174e-17, 0, 1.09574e-16, 0, 7.56582e-14, 0, 0, 0
0.157147, 0, 1.28042e-13, 0, 1.41421, -1.28042e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.88241e-17, 0, 1.90231e-16, 0, 1.27833e-13, 0, 0, 0
0.165011, 0, 2.14871e-13, 0, 1.41421, -2.14871e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.22478e-17, 0, 3.28273e-16, 0, 2.1451e-13, 0, 0, 0
0.172876, 0, 3.5813e-13, 0, 1.41421, -3.5813e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.48927e-17, 0, 5.63124e-16, 0, 3.57512e-13, 0, 0, 0
0.18074, 0, 5.9288e-13, 0, 1.41421, -5.9288e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.28536e-17, 0, 9.60358e-16, 0, 5.91827e-13, 0, 0, 0
0.188605, 0, 9.74934e-13, 0, 1.41421, -9.74934e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.56098e-16, 0, 1.62845e-15, 0, 9.73149e-13, 0, 0, 0
0.196469, 0, 1.59252e-12, 0, 1.41421, -1.59252e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.60826e-16, 0, 2.74571e-15, 0, 1.58951e-12, 0, 0, 0
0.204334, 0, 2.58414e-12, 0, 1.41421, -2.58414e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.33224e-16, 0, 4.6038e-15, 0, 2.5791e-12, 0, 0, 0
0.212198, 0, 4.16565e-12, 0, 1.41421, -4.16565e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.15372e-16, 0, 7.67715e-15, 0, 4.15725e-12, 0, 0, 0
0.220063, 0, 6.67119e-12, 0, 1.41421, -6.67119e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.17459e-15, 0, 1.27336e-14, 0, 6.65728e-12, 0, 0, 0
0.227927, 0, 1.06143e-11, 0, 1.41421, -1.06143e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.91793e-15, 0, 2.10094e-14, 0, 1.05914e-11, 0, 0, 0
0.235792, 0, 1.6779e-11, 0, 1.41421, -1.6779e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.11491e-15, 0, 3.44859e-14, 0, 1.67414e-11, 0, 0, 0
0.243656, 0, 2.63536e-11, 0, 1.41421, -2.63536e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.03277e-15, 0, 5.63228e-14, 0, 2.62922e-11, 0, 0, 0
0.25152, 0, 4.11267e-11, 0, 1.41421, -4.11267e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.09118e-15, 0, 9.1538e-14, 0, 4.10271e-11, 0, 0, 0
0.259385, 0, 6.37729e-11, 0, 1.41421, -6.37729e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.29469e-14, 0, 1.48066e-13, 0, 6.36119e-11, 0, 0, 0
0.267249, 0, 9.82623e-11, 0, 1.41421, -9.82623e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.06243e-14, 0, 2.38404e-13, 0, 9.80033e-11, 0, 0, 0
0.275114, 0, 1.50449e-10, 0, 1.41421, -1.50449e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.27176e-14, 0, 3.82162e-13, 0, 1.50034e-10, 0, 0, 0
0.282978, 0, 2.28907e-10, 9.24857e-44, 1.41421, -2.28907e-10, 0, 9.24857e-44, 9.24857e-44, 9.24857e-44, 9.24857e-44, 9.24857e-44, 9.24857e-44, 9.24857e-44, 9.24857e-44, 9.24857e-44, 9.24857e-44, 9.24857e-44, 9.24857e-44, 9.24857e-44, 9.24857e-44, 5.17027e-14, 9.24857e-44, 6.10009e-13, 9.24857e-44, 2.28246e-10, 9.24857e-44, 9.24857e-44, 9.24857e-44
0.290843, 0, 3.46106e-10, 1.63391e-42, 1.41421, -3.46106e-10, 0, 1.63391e-42, 1.63391e-42, 1.63391e-42, 1.63391e-42, 1.63391e-42, 1.63391e-42, 1.63391e-42, 1.63391e-42, 1.63391e-42, 1.63391e-42, 1.63391e-42, 1.63391e-42, 1.63391e-42, 1.63391e-42, 8.1419e-14, 1.63391e-42, 9.69759e-13, 1.63391e-42, 3.45055e-10, 1.63391e-42, 1.63391e-42, 1.63391e-42
0.298707, 0, 5.20058e-10, 2.43392e-41, 1.41421, -5.20058e-10, 0, 2.43392e-41, 2.43392e-41, 2.43392e-41, 2.43392e-41, 2.43392e-41, 2.43392e-41, 2.43392e-41, 2.43392e-41, 2.43392e-41, 2.43392e-41, 2.43392e-41, 2.43392e-41, 2.43392e-41, 2.43392e-41, 1.27814e-13, 2.43392e-41, 1.53574e-12, 2.43392e-41, 5.18394e-10, 2.43392e-41, 2.43392e-41, 2.43392e-41
0.306572, 0, 7.76607e-10, 3.20375e-40, 1.41421, -7.76607e-10, 0, 3.20375e-40, 3.20375e-40, 3.20375e-40, 3.20375e-40, 3.20375e-40, 3.20375e-40, 3.20375e-40, 3.20375e-40, 3.20375e-40, 3.20375e-40, 3.20375e-40, 3.20375e-40, 3.20375e-40, 3.20375e-40, 2.00101e-13, 3.20375e-40, 2.42323e-12, 3.20375e-40, 7.73984e-10, 3.20375e-40, 3.20375e-40, 3.20375e-40
0.314436, 0, 1.15258e-09, 3.77403e-39, 1.41421, -1.15258e-09, 0, 3.77403e-39, 3.77403e-39, 3.77403e-39, 3.77403e-39, 3.77403e-39, 3.77403e-39, 3.77403e-39, 3.77403e-39, 3.77403e-39, 3.77403e-39, 3.77403e-39, 3.77403e-39, 3.77403e-39, 3.77403e-39, 3.12541e-13, 3.77403e-39, 3.81056e-12, 3.77403e-39, 1.14846e-09, 3.77403e-39, 3.77403e-39, 3.77403e-39
0.322301, 0, 1.70012e-09, 4.00841e-38, 1.41421, -1.70012e-09, 0, 4.00841e-38, 4.00841e-38, 4.00841e-38, 4.00841e-38, 4.00841e-38, 4.00841e-38, 4.00841e-38, 4.00841e-38, 4.00841e-38, 4.00841e-38, 4.00841e-38, 4.00841e-38, 4.00841e-38, 4.00841e-38, 4.87235e-13, 4.00841e-38, 5.97312e-12, 4.00841e-38, 1.69366e-09, 4.00841e-38, 4.00841e-38, 4.00841e-38
