,PMC,Na ox%,Na peak area,Na abs error,Mg ox%,Mg peak area,Mg abs error,Al ox%,Al peak area,Al abs error,Si ox%,Si peak area,Si abs error,P ox%,P peak area,P abs error,S ox%,S peak area,S abs error,Cl ox%,Cl peak area,Cl abs error,K ox%,K peak area,K abs error,Ca ox%,Ca peak area,Ca error,Ti ox%,Ti peak area,Ti abs error,Cr ox%,Cr peak area,Cr abs error,Mn ox%,Mn peak area,Mn abs error,Fe ox%,Fe peak area,Fe abs error,Ni ox%,Ni peak,Ni abs error,Zn ox%,Zn peak area%,Zn abs error,Br ox%,Br peak area,Br abs error
0,229,1.82,111.6,0.62%,7.58,2968,0.41%,14,15656.3,0.71%,52.63,126766.4,2.64%,0.53,1656.3,0.19%,0.39,2407.1,0.23%,0.138,1760.4,0.15%,0.55,5572,0.20%,12.07,152820.8,0.61%,3.03,42038.5,0.56%,0.02,532.1,0.05%,0.16,3824.6,0.17%,12.1,286072.8,0.61%,0.0092,206.9,0.02%,0.0208,370.5,0.03%,0.0206,142.3,0.04%
1,230,2.53,155.7,0.68%,7.5,2923.2,0.41%,14.05,15661.7,0.71%,52.96,127392.9,2.66%,0.54,1689.9,0.19%,0.42,2549.5,0.22%,0.1127,1437.6,0.13%,0.54,5522.2,0.19%,12.03,152555.8,0.60%,3.04,42320,0.56%,0.03,638.1,0.06%,0.16,3767.1,0.17%,12.05,286268.8,0.60%,0.006,135.7,0.02%,0.0284,510.4,0.03%,0.0064,44.8,0.02%
2,231,3.26,201.8,0.69%,8.01,3118.1,0.43%,14.15,15676.3,0.72%,53.09,127181.1,2.66%,0.52,1626.9,0.19%,0.44,2717.7,0.21%,0.1309,1672.7,0.14%,0.55,5641,0.20%,12.04,152934.5,0.60%,3.04,42490,0.56%,0.03,607.4,0.06%,0.17,3997.2,0.17%,12.01,287145.8,0.60%,0.0074,168.3,0.02%,0.0142,256.9,0.03%,0.0106,74.6,0.03%
3,232,3.05,188.6,0.69%,7.78,3028.4,0.42%,14,15545.9,0.71%,53.09,127409.4,2.66%,0.53,1662.2,0.19%,0.41,2523.6,0.22%,0.1311,1674.1,0.14%,0.54,5549,0.19%,11.98,152023.4,0.60%,3.04,42469.8,0.56%,0.03,711.9,0.06%,0.16,3925,0.17%,11.99,286287.2,0.60%,0.0094,215.5,0.02%,0.0276,499.5,0.03%,0.0192,134.4,0.04%
4,233,2.75,169.2,0.69%,7.75,3014.1,0.42%,14.05,15596.6,0.71%,52.76,126496.8,2.65%,0.52,1637.5,0.19%,0.41,2521.6,0.22%,0.1259,1607,0.14%,0.54,5490.2,0.19%,12.04,152765.6,0.60%,3.02,42155,0.56%,0.02,541.9,0.05%,0.16,3785.4,0.17%,12.2,289993.2,0.61%,0.0076,173.1,0.02%,0.0138,247.4,0.03%,0.0118,82.1,0.03%
5,234,3.56,220.7,0.67%,7.52,2918.3,0.41%,14.09,15648.9,0.72%,53.25,127777.4,2.67%,0.47,1475.6,0.20%,0.4,2475,0.22%,0.1118,1428.7,0.13%,0.53,5417.2,0.19%,11.98,152349,0.60%,3.03,42449.2,0.56%,0.03,597.1,0.06%,0.16,3917,0.17%,11.97,286526.9,0.60%,0.0099,226.1,0.02%,0.018,326.9,0.03%,0.0092,64.7,0.02%
6,235,3.45,214,0.68%,7.96,3089.2,0.43%,14.01,15501.9,0.71%,52.84,126525.7,2.65%,0.53,1660,0.19%,0.46,2853.8,0.20%,0.1367,1747.6,0.15%,0.56,5705.2,0.20%,12.04,152961.1,0.60%,3.03,42385.4,0.56%,0.03,746.8,0.06%,0.17,3958.8,0.17%,12.03,287609.6,0.60%,0.0085,193.8,0.02%,0.017,307.4,0.03%,0.0121,85.2,0.03%
7,236,3.25,200.6,0.69%,7.38,2861.5,0.40%,13.88,15430.6,0.71%,53.15,127796.1,2.67%,0.51,1607.2,0.18%,0.46,2819,0.20%,0.1279,1632.4,0.14%,0.54,5556.3,0.19%,12.02,152596,0.60%,3.05,42494.9,0.56%,0.02,553.9,0.05%,0.16,3711.9,0.16%,12.05,287038,0.60%,0.009,205.9,0.02%,0.017,306.3,0.03%,0.0142,99.1,0.03%
8,237,3.18,195.9,0.69%,7.79,3016.6,0.42%,13.86,15328.7,0.70%,52.81,126539.9,2.65%,0.51,1611.8,0.19%,0.43,2647.3,0.22%,0.111,1418.7,0.13%,0.55,5590.3,0.20%,12.07,153298,0.61%,3.04,42478,0.56%,0.03,681.7,0.06%,0.17,3994.9,0.17%,12.28,291875,0.61%,0.0053,119.7,0.01%,0.0143,256.3,0.03%,0.0097,67.4,0.02%
9,238,2.64,161.9,0.68%,7.66,2977.2,0.42%,13.83,15353.9,0.70%,52.8,126843.2,2.65%,0.56,1745,0.20%,0.42,2599.1,0.22%,0.1342,1714.1,0.15%,0.54,5480.9,0.19%,12.07,153146.7,0.61%,3.05,42531.6,0.56%,0.03,627.5,0.06%,0.16,3833.2,0.17%,12.3,291361.6,0.62%,0.004,90.5,0.01%,0.0179,320.1,0.03%,0.0128,88.9,0.03%
10,239,3.23,199.4,0.69%,7.56,2937.8,0.41%,14.05,15612.7,0.71%,53.17,127658.4,2.67%,0.51,1598.8,0.18%,0.44,2694.2,0.21%,0.1283,1638.9,0.14%,0.54,5479.9,0.19%,12.08,153379,0.61%,3.06,42649.8,0.56%,0.03,582.1,0.05%,0.17,3939.4,0.17%,12.05,287167.2,0.60%,0.0027,62.2,0.01%,0.0197,356.6,0.03%,0.0061,43.1,0.02%
11,240,3.21,199.1,0.69%,7.7,2998.1,0.42%,14.09,15650,0.72%,53.06,127311.6,2.66%,0.49,1533.8,0.19%,0.42,2598.5,0.22%,0.1213,1548.7,0.14%,0.54,5484.7,0.19%,11.99,152291.7,0.60%,3.02,42221.7,0.56%,0.02,554.9,0.05%,0.16,3775.1,0.17%,11.93,285337,0.60%,0.0055,125.6,0.01%,0.0127,229.9,0.03%,0.0118,82.8,0.03%
12,241,3.28,202.2,0.68%,7.59,2938,0.41%,13.81,15285.9,0.70%,52.87,126788.6,2.65%,0.53,1657.1,0.19%,0.5,3090.4,0.18%,0.1475,1884,0.16%,0.54,5503,0.19%,12.06,153059.6,0.60%,3.03,42234.5,0.56%,0.03,716.1,0.06%,0.16,3683.2,0.16%,12.34,293409.7,0.62%,0.0048,109.2,0.01%,0.0184,330.4,0.03%,0.0233,161.9,0.04%
13,242,2.7,166.6,0.69%,7.86,3060.5,0.43%,14.06,15614.2,0.71%,52.96,127014.9,2.66%,0.51,1613.6,0.19%,0.41,2549.2,0.22%,0.1219,1556,0.14%,0.54,5524.1,0.19%,12.04,152759.1,0.60%,3.03,42217.8,0.56%,0.03,672.9,0.06%,0.16,3838.1,0.17%,12.18,289782.8,0.61%,0.0061,138.1,0.02%,0.0157,282.1,0.03%,0.015,104.5,0.03%
14,243,3.37,208.5,0.68%,7.63,2964.1,0.41%,14.13,15689.1,0.72%,53.12,127358.8,2.67%,0.52,1632.1,0.19%,0.43,2613.3,0.22%,0.1211,1546.3,0.14%,0.53,5455.8,0.19%,11.98,152292.1,0.60%,3.06,42779.3,0.56%,0.03,610.3,0.06%,0.16,3809.9,0.17%,12.01,287079.3,0.60%,0,1.1,0.00%,0.0225,406.8,0.03%,0.0113,79.2,0.03%
15,244,2.42,148.9,0.67%,7.76,3027.7,0.42%,13.78,15341.8,0.70%,53.12,127866.1,2.67%,0.52,1633.2,0.19%,0.39,2366.7,0.23%,0.1422,1814.9,0.15%,0.55,5646.2,0.20%,12.09,153097.1,0.61%,3.08,42848.9,0.56%,0.03,629,0.06%,0.16,3812.2,0.17%,12.11,287023.1,0.61%,0.0073,164.4,0.02%,0.0141,251.8,0.03%,0.0151,105.2,0.03%
16,245,3.03,187.1,0.69%,7.7,2994.3,0.42%,13.99,15536.3,0.71%,53.27,127855.4,2.67%,0.48,1514.2,0.19%,0.37,2283.7,0.23%,0.1174,1498.4,0.13%,0.54,5474.9,0.19%,12.05,152985.4,0.60%,3.04,42442.9,0.56%,0.03,605.3,0.06%,0.17,4035,0.17%,12.07,287665.2,0.60%,0.006,136.9,0.02%,0.0142,256.2,0.03%,0.0198,138.3,0.04%
17,246,3.1,191.5,0.69%,7.84,3051.3,0.42%,14.02,15560.4,0.71%,53.17,127548.5,2.67%,0.51,1597,0.18%,0.42,2556.4,0.22%,0.14,1787.4,0.15%,0.53,5394.5,0.19%,12.04,152833.2,0.60%,3.04,42471.6,0.56%,0.03,583.4,0.05%,0.16,3838.9,0.17%,11.98,286027.3,0.60%,0.0123,279.9,0.03%,0.0189,341.2,0.03%,0.0101,70.8,0.03%
18,247,4.1,255.1,0.63%,7.82,3026.7,0.42%,13.96,15424.2,0.71%,53.17,127332.2,2.67%,0.49,1537.7,0.19%,0.36,2187.8,0.23%,0.1201,1535.9,0.13%,0.56,5703.9,0.20%,11.95,152145.6,0.60%,3.04,42630.6,0.56%,0.03,604.5,0.06%,0.16,3943.7,0.17%,11.88,285576.3,0.59%,0.0081,186.6,0.02%,0.015,273.5,0.03%,0.0038,27.3,0.01%
19,248,3.55,220.3,0.68%,7.89,3063.3,0.43%,14.13,15653.4,0.72%,53.26,127549.8,2.67%,0.5,1563.7,0.18%,0.38,2346.9,0.23%,0.1288,1645.4,0.14%,0.54,5561.7,0.19%,11.97,152214.9,0.60%,3.03,42406.6,0.56%,0.03,706.3,0.06%,0.17,3977.9,0.17%,11.95,286364.8,0.60%,0.0076,173.4,0.02%,0.0163,296.9,0.03%,0.0116,82.2,0.03%
20,249,3.01,185.4,0.69%,7.69,2987.1,0.42%,13.86,15372.9,0.70%,52.91,127005.5,2.66%,0.51,1588,0.18%,0.43,2664.7,0.21%,0.1272,1624.2,0.14%,0.55,5644.7,0.20%,12.04,152853.4,0.60%,3,41844,0.56%,0.02,517.3,0.05%,0.16,3910.6,0.17%,12.16,289308.6,0.61%,0.0044,100.4,0.01%,0.0187,336.5,0.03%,0.0112,77.9,0.03%
21,250,3.05,188.8,0.69%,7.65,2977,0.42%,14.09,15666.9,0.72%,53.05,127322,2.66%,0.51,1613.8,0.19%,0.35,2160.7,0.23%,0.1253,1600.2,0.14%,0.54,5530.1,0.19%,11.99,152200.1,0.60%,3.01,42048.3,0.56%,0.03,739.6,0.06%,0.16,3833.8,0.17%,11.99,286223.2,0.60%,0.0007,16.8,0.00%,0.0128,231.8,0.03%,0.0215,150.7,0.04%
22,251,2.45,151,0.68%,7.73,3018.1,0.42%,13.88,15454.5,0.71%,52.89,127178.8,2.65%,0.5,1570.4,0.18%,0.42,2577.9,0.22%,0.1219,1555.4,0.14%,0.55,5566.5,0.20%,11.97,151770,0.60%,3.02,42124.5,0.56%,0.03,725.1,0.06%,0.16,3825,0.17%,12.08,287046.6,0.60%,0.002,46.1,0.01%,0.0184,330.3,0.03%,0.0163,113.5,0.04%
23,252,2.32,142.6,0.67%,7.3,2848.2,0.40%,14.04,15693.6,0.71%,52.74,127039.9,2.65%,0.5,1584.5,0.18%,0.41,2531.4,0.22%,0.1214,1549.7,0.14%,0.54,5556.2,0.19%,12.09,153239.3,0.61%,3.05,42345.6,0.56%,0.03,675.3,0.06%,0.16,3697.1,0.16%,12.08,285984.3,0.60%,0.009,203.2,0.02%,0.0138,246.5,0.03%,0.018,125.3,0.04%
24,253,2.6,160.1,0.68%,7.64,2980.5,0.41%,14.18,15784.8,0.72%,52.83,126840.6,2.65%,0.51,1601.1,0.18%,0.42,2567.5,0.22%,0.1301,1660.6,0.14%,0.54,5531.1,0.19%,12.01,152279.3,0.60%,3.05,42550.8,0.56%,0.03,594.7,0.06%,0.16,3701,0.16%,12.08,287150,0.60%,0.0071,160.2,0.02%,0.0161,288.9,0.03%,0.0143,100.2,0.03%
