,PMC,Na ox%,Na peak area,Na abs error,Mg ox%,Mg peak area,Mg abs error,Al ox%,Al peak area,Al abs error,Si ox%,Si peak area,Si abs error,P ox%,P peak area,P abs error,S ox%,S peak area,S abs error,Cl ox%,Cl peak area,Cl abs error,K ox%,K peak area,K abs error,Ca ox%,Ca peak area,Ca error,Ti ox%,Ti peak area,Ti abs error,Cr ox%,Cr peak area,Cr abs error,Mn ox%,Mn peak area,Mn abs error,Fe ox%,Fe peak area,Fe abs error,Ni ox%,Ni peak,Ni abs error,Zn ox%,Zn peak area%,Zn abs error,Br ox%,Br peak area,Br abs error
0,242,2.14,127.7,0.66%,7.6,2895,0.41%,14.02,15220.9,0.71%,52.7,123350.8,2.64%,0.42,1272.1,0.22%,0.26,1529,0.22%,0.1124,1395.1,0.13%,0.55,5452.4,0.20%,12.05,148430.4,0.60%,3.03,40823.2,0.56%,0.02,511.3,0.05%,0.16,3639.3,0.17%,11.87,273654.3,0.59%,0.0032,70.3,0.01%,0.0182,317.5,0.03%,0.0095,64.4,0.02%
1,243,2.97,179,0.70%,7.61,2888.6,0.42%,14.33,15518.7,0.73%,52.84,123203.1,2.65%,0.42,1291.4,0.22%,0.32,1924,0.23%,0.1214,1506.2,0.14%,0.53,5237.7,0.19%,11.96,147617.2,0.60%,2.99,40528.3,0.56%,0.03,592.8,0.06%,0.15,3461.5,0.16%,11.73,272694.5,0.59%,0.005,112.5,0.01%,0.0145,255.8,0.03%,0.0158,108.7,0.03%
2,244,3.15,187.8,0.70%,7.86,2948.7,0.43%,14.06,15038,0.72%,53.37,123291.5,2.68%,0.46,1379.5,0.20%,0.3,1772.4,0.23%,0.1041,1279.1,0.12%,0.55,5443.9,0.20%,12.04,147184.1,0.60%,3.03,40761.2,0.56%,0.03,587.2,0.06%,0.17,3801.7,0.17%,11.87,273255.7,0.59%,0.0036,80.4,0.01%,0.0163,284.6,0.03%,0.0131,89,0.03%
3,245,2.67,160.1,0.70%,7.81,2961.3,0.43%,13.96,15062.2,0.71%,52.8,123186.7,2.65%,0.46,1409.2,0.20%,0.32,1931.2,0.23%,0.1091,1354,0.13%,0.54,5332.4,0.19%,11.93,147281.2,0.60%,3.02,40944.4,0.56%,0.02,513.1,0.05%,0.17,3845.2,0.17%,12.04,278819.2,0.60%,0.0043,94.3,0.01%,0.0149,260.5,0.03%,0.0158,107.1,0.03%
4,246,3.16,190.2,0.70%,7.51,2842.7,0.41%,14.03,15159.8,0.71%,52.77,123175.8,2.65%,0.42,1281.4,0.22%,0.3,1770.4,0.23%,0.1332,1654.1,0.15%,0.53,5231.8,0.19%,11.92,147177.5,0.60%,2.98,40510.5,0.56%,0.03,716.7,0.06%,0.16,3629.5,0.16%,11.84,275069.8,0.59%,0.0027,59.1,0.01%,0.0195,342.8,0.03%,0.0113,77.4,0.03%
5,247,3.1,186.9,0.70%,7.74,2933.1,0.42%,14.09,15216.7,0.72%,52.89,123354.6,2.65%,0.45,1379.1,0.21%,0.3,1788.2,0.23%,0.1186,1471.7,0.13%,0.53,5311.6,0.19%,11.96,147631.3,0.60%,3.02,40950.4,0.56%,0.03,553.7,0.05%,0.16,3688.4,0.17%,11.77,273606.1,0.59%,0.005,111.1,0.01%,0.019,335.9,0.03%,0.017,116.6,0.04%
6,248,3.1,184.8,0.70%,7.73,2904,0.42%,14.19,15194.1,0.72%,53.62,123984,2.69%,0.43,1303.6,0.22%,0.28,1677.8,0.23%,0.1163,1429,0.13%,0.54,5309.7,0.19%,12.08,147611.5,0.61%,3.03,40719.5,0.56%,0.03,616.3,0.06%,0.15,3491.1,0.16%,11.84,272661.1,0.59%,0.0039,87,0.01%,0.018,314.6,0.03%,0.0174,118.2,0.04%
7,249,3.41,206,0.69%,7.59,2868.4,0.41%,14,15105.8,0.71%,52.75,123048.2,2.65%,0.47,1421.2,0.20%,0.32,1926.8,0.23%,0.1264,1570,0.14%,0.53,5260.7,0.19%,12,148120.1,0.60%,2.99,40605.1,0.56%,0.03,656.8,0.06%,0.16,3761,0.17%,11.71,272224.2,0.59%,0.004,90,0.01%,0.0164,290,0.03%,0.0188,129.3,0.04%
8,250,2.96,178.5,0.70%,7.69,2918.8,0.42%,13.85,14972.8,0.70%,52.92,123734.4,2.66%,0.45,1363.7,0.21%,0.29,1729.2,0.23%,0.1101,1367.2,0.13%,0.53,5262.2,0.19%,11.95,147511.2,0.60%,2.98,40482.4,0.56%,0.03,665.2,0.06%,0.15,3470.1,0.16%,11.73,272498.7,0.59%,0.005,111.9,0.01%,0.0181,319.3,0.03%,0.0096,65.6,0.02%
9,251,2.74,162.9,0.70%,7.97,2992.9,0.43%,14.07,15038.1,0.72%,53.01,122397,2.66%,0.48,1454.9,0.19%,0.34,2040.6,0.23%,0.1413,1736.7,0.15%,0.54,5325.6,0.19%,12.09,147650.5,0.61%,3.07,41141.1,0.56%,0.03,572.9,0.06%,0.16,3603.2,0.16%,12.03,275683.1,0.60%,0.0053,116.6,0.01%,0.0244,423.1,0.03%,0.0273,183.8,0.04%
10,252,3.35,202.1,0.69%,7.67,2904.7,0.42%,14.22,15374.3,0.72%,53.14,123883.2,2.67%,0.45,1357.3,0.21%,0.28,1666.7,0.22%,0.1176,1458.9,0.13%,0.55,5487.4,0.20%,11.89,146838.5,0.60%,3,40770.6,0.56%,0.03,545.5,0.05%,0.15,3515.9,0.16%,11.7,272950.9,0.59%,0.0076,170.2,0.02%,0.0172,304.5,0.03%,0.0141,97.2,0.03%
11,253,3.16,188.9,0.70%,7.94,2987.4,0.43%,14.15,15145.6,0.72%,53.49,123737.8,2.68%,0.49,1473,0.19%,0.3,1788.6,0.23%,0.1246,1533.7,0.14%,0.54,5297.4,0.19%,12.08,147884.2,0.61%,3,40481,0.56%,0.03,629.1,0.06%,0.16,3610.2,0.16%,11.87,274049.1,0.59%,0.0026,58.6,0.01%,0.0126,221.3,0.03%,0.0253,172.1,0.04%
12,254,2.99,179.3,0.70%,7.45,2815.9,0.41%,13.91,15020.4,0.71%,52.44,122414.9,2.63%,0.45,1385.5,0.21%,0.35,2098.1,0.23%,0.1107,1374.5,0.13%,0.54,5408.9,0.19%,11.91,146933.1,0.60%,3.02,40949.3,0.56%,0.03,606.5,0.06%,0.15,3435.4,0.16%,11.94,276255.3,0.60%,0.002,43.6,0.01%,0.0146,255.8,0.03%,0.0084,57.1,0.02%
