,PMC,Na ox%,Na peak area,Na abs error,Mg ox%,Mg peak area,Mg abs error,Al ox%,Al peak area,Al abs error,Si ox%,Si peak area,Si abs error,P ox%,P peak area,P abs error,S ox%,S peak area,S abs error,Cl ox%,Cl peak area,Cl abs error,K ox%,K peak area,K abs error,Ca ox%,Ca peak area,Ca error,Ti ox%,Ti peak area,Ti abs error,Cr ox%,Cr peak area,Cr abs error,Mn ox%,Mn peak area,Mn abs error,Fe ox%,Fe peak area,Fe abs error,Ni ox%,Ni peak,Ni abs error,Zn ox%,Zn peak area%,Zn abs error,Br ox%,Br peak area,Br abs error
0,227,2.65,160.6,0.69%,7.6,2916.3,0.41%,14.42,15793.5,0.73%,53.23,125439.8,2.67%,0.53,1626.6,0.19%,0.32,1908,0.23%,0.1348,1687.7,0.15%,0.56,5564,0.20%,11.99,149174.9,0.60%,3.01,41211,0.56%,0.03,646.9,0.06%,0.17,3933.9,0.17%,11.92,279168.6,0.60%,0.0047,105.2,0.01%,0.0161,286.5,0.03%,0.0127,87.8,0.03%
1,228,2.22,134.5,0.66%,7.87,3028.1,0.43%,14.34,15712.5,0.73%,53.13,125255.9,2.67%,0.49,1517.4,0.19%,0.34,2022.4,0.23%,0.1058,1324.3,0.12%,0.56,5655.4,0.20%,11.96,148821.4,0.60%,3.04,41561,0.56%,0.03,630.7,0.06%,0.16,3732.1,0.17%,11.9,278204.2,0.60%,0.0057,128.3,0.02%,0.022,389.5,0.03%,0.0093,63.8,0.02%
2,229,2.78,168.3,0.69%,7.68,2938,0.42%,13.94,15228.3,0.71%,53.14,125366.1,2.67%,0.53,1630.5,0.19%,0.35,2095.7,0.23%,0.1004,1257,0.12%,0.54,5413,0.19%,11.99,149359.4,0.60%,3.02,41327.1,0.56%,0.03,702.6,0.06%,0.16,3675.2,0.16%,11.93,279079.7,0.60%,0,0.2,,0.0121,214.4,0.03%,0.0222,153.1,0.04%
3,230,3.12,189.4,0.69%,7.93,3033.7,0.43%,14.34,15611.9,0.73%,53.14,124808.7,2.67%,0.51,1555.8,0.18%,0.34,2055.9,0.23%,0.1438,1801.8,0.15%,0.54,5435.8,0.19%,11.94,148885.8,0.60%,3.02,41499.5,0.56%,0.02,489.6,0.05%,0.16,3705.1,0.17%,12.02,282332.7,0.60%,0.008,180.2,0.02%,0.0179,318.5,0.03%,0.0187,129.4,0.04%
4,231,2.67,161.9,0.69%,7.8,2989.1,0.42%,14.03,15328.3,0.71%,53.11,125203.6,2.67%,0.51,1571.1,0.18%,0.36,2180.1,0.23%,0.1182,1479.9,0.13%,0.55,5527.8,0.20%,12.01,149484,0.60%,3.01,41145.2,0.56%,0.02,505.3,0.05%,0.16,3771.2,0.17%,11.95,279660,0.60%,0.0041,91.4,0.01%,0.0161,284.6,0.03%,0.0163,112.1,0.04%
5,232,2.7,163.8,0.69%,7.89,3030,0.43%,14.24,15563.1,0.72%,53.39,125790.2,2.68%,0.47,1453.9,0.20%,0.34,2048.6,0.23%,0.1209,1513.2,0.14%,0.54,5411,0.19%,11.96,148961.8,0.60%,3.01,41296.1,0.56%,0.03,666.1,0.06%,0.16,3797.8,0.17%,11.92,279724.8,0.60%,0.0069,154,0.02%,0.0141,251.8,0.03%,0.0122,84.5,0.03%
6,233,3.22,196,0.69%,7.93,3037.2,0.43%,14.49,15801.6,0.74%,53.21,124998.8,2.67%,0.46,1427.8,0.20%,0.28,1682.8,0.22%,0.1007,1262.9,0.12%,0.55,5514.5,0.20%,12.01,149850.2,0.60%,3.02,41440.4,0.56%,0.03,574,0.05%,0.16,3744.8,0.17%,11.85,278883.7,0.59%,0.004,89.3,0.01%,0.0117,208.9,0.03%,0.0059,41,0.02%
7,234,2.53,153.4,0.68%,7.72,2960.2,0.42%,13.96,15270.3,0.71%,53.34,125927.2,2.68%,0.47,1435.9,0.20%,0.3,1814.8,0.23%,0.1202,1504.4,0.13%,0.55,5508.1,0.20%,12.06,149977.3,0.60%,3.04,41531.5,0.56%,0.03,568.6,0.05%,0.15,3545.8,0.16%,11.97,279467.3,0.60%,0.0104,232,0.02%,0.0144,254.6,0.03%,0.0145,99.4,0.03%
8,235,3.21,195,0.69%,7.6,2902.2,0.41%,14.03,15315.7,0.71%,53.27,125565.7,2.67%,0.51,1570.9,0.18%,0.31,1846.6,0.23%,0.1266,1585.7,0.14%,0.53,5333,0.19%,11.98,149274.9,0.60%,3.01,41324.3,0.56%,0.03,626.3,0.06%,0.16,3710.6,0.17%,11.87,278511.8,0.59%,0.0055,123.9,0.01%,0.0162,287.9,0.03%,0.012,83.3,0.03%
9,236,3.33,202,0.69%,7.76,2955.7,0.42%,14.12,15357.9,0.72%,53.14,124894,2.67%,0.49,1523.2,0.18%,0.33,1979.8,0.23%,0.1042,1305.7,0.12%,0.55,5479.5,0.20%,11.99,149513.1,0.60%,3.01,41301.2,0.56%,0.03,690.7,0.06%,0.16,3663.2,0.16%,12.03,282277.9,0.60%,0.0104,232.2,0.02%,0.0198,352,0.03%,0.0122,84,0.03%
