,PMC,Na ox%,Na peak area,Na abs error,Mg ox%,Mg peak area,Mg abs error,Al ox%,Al peak area,Al abs error,Si ox%,Si peak area,Si abs error,P ox%,P peak area,P abs error,S ox%,S peak area,S abs error,Cl ox%,Cl peak area,Cl abs error,K ox%,K peak area,K abs error,Ca ox%,Ca peak area,Ca error,Ti ox%,Ti peak area,Ti abs error,Cr ox%,Cr peak area,Cr abs error,Mn ox%,Mn peak area,Mn abs error,Fe ox%,Fe peak area,Fe abs error,Ni ox%,Ni peak,Ni abs error,Zn ox%,Zn peak area%,Zn abs error,Br ox%,Br peak area,Br abs error
0,335,3.3,194.6,0.71%,7.37,2728.4,0.41%,13.92,14734,0.71%,52.24,119457.3,2.62%,0.46,1380.9,0.20%,0.19,1114.4,0.19%,0.0842,1025.7,0.10%,0.53,5169.9,0.19%,11.89,144125.5,0.60%,3.01,39991.9,0.56%,0.03,577.8,0.06%,0.15,3512.2,0.16%,11.76,267577.7,0.59%,0.0076,165.2,0.02%,0.0217,374.3,0.03%,0.0182,121.6,0.04%
1,336,2.37,138.4,0.69%,7.37,2734.8,0.40%,13.82,14645.5,0.70%,52.28,119629.9,2.62%,0.44,1321.2,0.21%,0.21,1235.8,0.20%,0.0974,1182.5,0.11%,0.55,5299,0.20%,11.97,144154.6,0.60%,3.03,39944.9,0.56%,0.03,621,0.06%,0.15,3339,0.16%,11.82,266245.4,0.59%,0.009,194.7,0.02%,0.018,306.1,0.03%,0.0131,86.7,0.03%
2,337,2.84,167.2,0.71%,7.49,2779.6,0.41%,13.9,14727.9,0.71%,52.19,119417.5,2.62%,0.41,1237.8,0.22%,0.2,1189.6,0.19%,0.0841,1023.8,0.10%,0.55,5321.7,0.20%,11.96,144737.1,0.60%,3,39832.6,0.56%,0.03,540.1,0.05%,0.16,3523.1,0.16%,11.81,267610.8,0.59%,0.0001,1.2,0.00%,0.0188,323.3,0.03%,0.0168,111.8,0.04%
3,338,2.6,152.3,0.71%,7.39,2739.2,0.41%,13.67,14478.9,0.70%,52.02,119191.7,2.61%,0.47,1405.6,0.20%,0.23,1318.5,0.21%,0.0746,908.6,0.09%,0.52,5075,0.19%,12.03,145600.1,0.60%,3,39743.2,0.56%,0.03,591.4,0.06%,0.16,3613.3,0.17%,12.01,270982.8,0.60%,0.0019,41.4,0.01%,0.019,322.9,0.03%,0.0163,107.9,0.04%
4,339,2.47,144.7,0.70%,7.29,2704.9,0.40%,13.9,14745.2,0.71%,52.35,119762.7,2.63%,0.43,1279,0.22%,0.22,1279.5,0.20%,0.0892,1082.4,0.11%,0.52,5093.8,0.19%,11.99,144506.9,0.60%,3.02,39802.8,0.56%,0.03,611,0.06%,0.16,3514.8,0.16%,11.81,266216.1,0.59%,0,0.1,,0.015,256.8,0.03%,0.0133,88.1,0.03%
5,340,3.01,177.3,0.71%,7.19,2661.9,0.40%,14.02,14872,0.71%,52.09,119189.7,2.61%,0.43,1273,0.22%,0.22,1279.1,0.20%,0.0826,1006.3,0.10%,0.53,5137.9,0.19%,11.91,144243.8,0.60%,2.99,39729.3,0.56%,0.03,586.9,0.06%,0.15,3395.1,0.16%,11.82,268217.9,0.59%,0.0022,46.8,0.01%,0.0138,236.5,0.03%,0.025,166.6,0.04%
6,341,2.94,173.1,0.71%,7.14,2643.8,0.39%,14.03,14888.5,0.71%,51.95,118918.8,2.61%,0.44,1318.6,0.21%,0.22,1309.5,0.20%,0.1001,1219.7,0.12%,0.53,5204.2,0.19%,11.89,143861.9,0.60%,3.04,40363.9,0.56%,0.02,499.3,0.05%,0.16,3612.4,0.17%,11.77,266738.5,0.59%,0.0054,115.9,0.01%,0.0148,254.1,0.03%,0.0112,74.5,0.03%
7,342,1.9,111,0.65%,7.22,2682.4,0.40%,13.96,14850.7,0.71%,52.05,119214.3,2.61%,0.42,1241.4,0.22%,0.25,1464.2,0.22%,0.1111,1348.4,0.13%,0.54,5281.9,0.20%,12.04,144908,0.60%,3.02,39721.1,0.56%,0.03,611.3,0.06%,0.16,3626.6,0.17%,11.88,266405.8,0.59%,0.0036,76.6,0.01%,0.0156,264.8,0.03%,0.0088,57.8,0.02%
8,343,2.78,163.5,0.71%,7.42,2756.2,0.41%,14.02,14882.3,0.71%,52.15,119425.3,2.62%,0.45,1358.3,0.21%,0.26,1522.4,0.22%,0.0936,1140.4,0.11%,0.54,5213.8,0.19%,11.96,144732.4,0.60%,3.02,40014.9,0.56%,0.03,641.3,0.06%,0.16,3528,0.16%,11.76,266557.7,0.59%,0.003,64.3,0.01%,0.016,275.8,0.03%,0.0065,43.1,0.02%
9,344,2.04,118.5,0.67%,7.23,2676.8,0.40%,13.67,14489.8,0.70%,52.07,119229.2,2.61%,0.42,1243.2,0.22%,0.21,1226.7,0.20%,0.063,765.2,0.08%,0.55,5313.7,0.20%,12.13,146020.6,0.61%,3.03,39769.3,0.56%,0.02,489.6,0.05%,0.16,3591.9,0.17%,12.08,270149.5,0.60%,0.0013,28.1,0.00%,0.0174,293.2,0.03%,0.0224,146.3,0.04%
10,345,2.86,167.7,0.71%,7.29,2696.7,0.40%,13.92,14740.1,0.71%,51.91,118692.6,2.61%,0.43,1289.5,0.22%,0.24,1429.3,0.21%,0.1194,1454,0.13%,0.51,4980.9,0.18%,11.96,144697,0.60%,2.98,39467.1,0.56%,0.02,520,0.05%,0.15,3308.9,0.16%,12,271416.6,0.60%,0,0.5,,0.0145,246.9,0.03%,0.0133,88.2,0.03%
11,346,2.8,164.1,0.71%,7.47,2761,0.41%,13.97,14754.3,0.71%,52.07,118728.4,2.61%,0.45,1337.6,0.21%,0.22,1266.7,0.20%,0.1091,1325.8,0.13%,0.54,5287.3,0.19%,12.03,145002.7,0.60%,3.01,39810.8,0.56%,0.03,550.6,0.05%,0.16,3515.9,0.16%,11.89,268135,0.60%,0.0073,157.1,0.02%,0.0195,332.7,0.03%,0.0149,99,0.03%
12,347,2.3,134.4,0.69%,7.61,2824.5,0.42%,13.82,14620.4,0.70%,52.16,119123.7,2.62%,0.41,1225.3,0.22%,0.19,1098.6,0.19%,0.0978,1187.1,0.11%,0.54,5216.6,0.19%,11.98,144293.3,0.60%,3.04,40156.3,0.56%,0.02,483.5,0.05%,0.16,3529.3,0.16%,11.87,267196.1,0.59%,0.0096,206.5,0.02%,0.0143,243.4,0.03%,0.0179,118.2,0.04%
13,348,2.93,171.7,0.71%,7.42,2746.2,0.41%,13.8,14588.5,0.70%,51.96,118823.3,2.61%,0.43,1298.6,0.21%,0.22,1292.2,0.20%,0.0768,936,0.09%,0.54,5245.8,0.19%,11.94,144617.2,0.60%,3.02,40138.9,0.56%,0.03,641.2,0.06%,0.16,3637.9,0.17%,11.96,270552.4,0.60%,0.013,279.4,0.03%,0.0124,212.1,0.03%,0.0066,43.5,0.02%
14,349,2.57,150.3,0.71%,7.36,2722.9,0.40%,13.88,14688.9,0.71%,52.13,119083.5,2.62%,0.42,1265.1,0.22%,0.2,1160.6,0.19%,0.1005,1220.8,0.12%,0.55,5375.3,0.20%,12,144550,0.60%,3.01,39674.2,0.56%,0.03,597.4,0.06%,0.15,3459.4,0.16%,11.89,267859.2,0.60%,0.0031,65.6,0.01%,0.0146,248.6,0.03%,0.026,171.7,0.04%
15,350,2.57,150.8,0.70%,7.52,2797.1,0.41%,13.81,14647.3,0.70%,52.07,119317.3,2.61%,0.4,1203.2,0.22%,0.26,1505.4,0.22%,0.089,1083.6,0.11%,0.53,5178.4,0.19%,11.94,144464.2,0.60%,3.03,40137,0.56%,0.03,597.9,0.06%,0.15,3396.5,0.16%,11.79,266814.6,0.59%,0.005,108.2,0.01%,0.0124,212.4,0.03%,0.0086,57.2,0.02%
16,351,3.08,181.4,0.71%,7.34,2717.6,0.40%,13.72,14525.1,0.70%,51.93,118919.4,2.61%,0.43,1278.5,0.22%,0.24,1397.1,0.21%,0.0777,947.8,0.09%,0.54,5268.8,0.19%,11.9,144150.5,0.60%,3,39762.8,0.56%,0.02,524.1,0.05%,0.16,3626.5,0.17%,11.75,266542.2,0.59%,0.0072,156.9,0.02%,0.0107,183.4,0.02%,0.0168,112,0.04%
17,352,2.55,149.6,0.70%,7.56,2805,0.41%,13.64,14440.5,0.69%,52.01,119160,2.61%,0.39,1162.5,0.23%,0.2,1179.2,0.19%,0.0904,1102,0.11%,0.54,5293.3,0.19%,11.96,144614.5,0.60%,3.05,40317.9,0.56%,0.02,411.2,0.05%,0.16,3590.4,0.17%,11.88,268316.9,0.59%,0.0037,78.9,0.01%,0.0211,359.6,0.03%,0.0109,72.4,0.03%
18,353,2.27,132.8,0.68%,7.34,2721.6,0.40%,13.88,14714.9,0.71%,52.23,119436.6,2.62%,0.39,1154.4,0.23%,0.22,1287.2,0.20%,0.1007,1221.9,0.12%,0.55,5301.2,0.20%,12.03,144809.8,0.60%,3.03,39896.9,0.56%,0.02,402.5,0.04%,0.15,3386.4,0.16%,11.87,266766.8,0.59%,0.0072,154.3,0.02%,0.0206,351,0.03%,0.0142,93.8,0.03%
19,354,2.88,169,0.71%,7.31,2703.1,0.40%,13.81,14618,0.70%,52,118976.8,2.61%,0.43,1292.9,0.22%,0.22,1293.5,0.20%,0.0921,1122.1,0.11%,0.55,5316.5,0.20%,11.98,145014.7,0.60%,3.03,40156.3,0.56%,0.02,514.5,0.05%,0.15,3394.9,0.16%,12.03,271796.1,0.60%,0.002,42.5,0.01%,0.0131,223.5,0.03%,0.0114,75.6,0.03%
20,355,2.54,148.7,0.70%,7.79,2891,0.43%,13.72,14491.5,0.70%,52.36,119628,2.63%,0.42,1250.9,0.22%,0.22,1309.7,0.20%,0.0936,1137.2,0.11%,0.55,5301.3,0.20%,11.96,144258.4,0.60%,3.01,39856.5,0.56%,0.03,622.9,0.06%,0.15,3375.2,0.16%,11.84,267580.1,0.59%,0.0017,35.8,0.01%,0.0096,163.5,0.02%,0.0127,84.3,0.03%
21,356,2.85,167.6,0.71%,7.26,2686.4,0.40%,13.96,14790.2,0.71%,51.89,118688.7,2.60%,0.43,1291.8,0.22%,0.22,1273.8,0.20%,0.0894,1089.7,0.11%,0.53,5200.5,0.19%,11.99,145118.1,0.60%,2.98,39501.1,0.56%,0.03,562,0.06%,0.16,3565.1,0.17%,11.94,269959.5,0.60%,0.0002,4,0.00%,0.0192,328.9,0.03%,0.0212,140.9,0.04%
22,357,2.88,169.3,0.71%,7.37,2729.5,0.40%,13.69,14489.9,0.70%,51.91,118927.5,2.61%,0.48,1449.7,0.19%,0.3,1747,0.23%,0.1239,1510.4,0.14%,0.54,5284.7,0.19%,12.01,145212.8,0.60%,3.01,39786.3,0.56%,0.03,694.9,0.06%,0.15,3489.2,0.16%,11.86,267910.5,0.59%,0.0051,110.7,0.01%,0.0179,305.6,0.03%,0.0095,62.8,0.02%
23,358,2.96,173.6,0.71%,7.45,2755.5,0.41%,13.83,14620.2,0.70%,52.25,119309.9,2.62%,0.43,1284.3,0.22%,0.22,1278,0.20%,0.0737,895.4,0.09%,0.55,5334.7,0.20%,11.99,144749.8,0.60%,3,39692.3,0.56%,0.02,342,0.04%,0.16,3575.3,0.17%,11.81,267066.9,0.59%,0.0046,98.6,0.01%,0.0227,389.8,0.03%,0.0118,78.2,0.03%
24,359,1.88,110,0.64%,7.35,2740.5,0.40%,13.74,14628,0.70%,52,119487.9,2.61%,0.45,1340.7,0.21%,0.21,1252,0.20%,0.0805,980,0.10%,0.54,5281.8,0.19%,11.95,144271.3,0.60%,3.02,39919.2,0.56%,0.02,471.4,0.05%,0.16,3538.1,0.16%,11.86,267033.4,0.59%,0,2.7,,0.0129,219.4,0.03%,0.0158,104.2,0.03%
