PMC,x,y,z
125,-0.128082,0.135148,0.242617
126,-0.12779300000000002,0.135148,0.242616
127,-0.127504,0.135148,0.242616
128,-0.12721500000000002,0.135148,0.242615
129,-0.126925,0.135148,0.242615
130,-0.126926,0.13485899999999998,0.242615
131,-0.12721500000000002,0.13485899999999998,0.242615
132,-0.127504,0.13485999999999998,0.242616
133,-0.12779300000000002,0.13485999999999998,0.242617
134,-0.128082,0.13485999999999998,0.242617
135,-0.128083,0.134571,0.242617
136,-0.12779300000000002,0.134571,0.242617
137,-0.127504,0.134571,0.242616
138,-0.12721500000000002,0.134571,0.242615
139,-0.126926,0.134571,0.242615
140,-0.126926,0.13428199999999998,0.242615
141,-0.12721500000000002,0.13428199999999998,0.242615
142,-0.127504,0.13428299999999999,0.242616
143,-0.12779400000000002,0.13428299999999999,0.242617
144,-0.128083,0.13428299999999999,0.242617
145,-0.128083,0.133994,0.242617
146,-0.12779400000000002,0.133994,0.242617
147,-0.127505,0.133994,0.242616
148,-0.12721500000000002,0.133994,0.242615
149,-0.126926,0.133994,0.242615
152,-0.13385899999999998,0.131701,0.24263
153,-0.13384000000000001,0.131691,0.24263
154,-0.133821,0.131672,0.24263
155,-0.133801,0.131653,0.24263
156,-0.13378199999999998,0.131643,0.24263
157,-0.13376300000000002,0.131623,0.24263
158,-0.133744,0.131614,0.24263
159,-0.133724,0.13159500000000002,0.24263
160,-0.133705,0.131576,0.24263
161,-0.133686,0.13156600000000002,0.24263
162,-0.133676,0.131547,0.24263
163,-0.133657,0.131528,0.24263
164,-0.133638,0.131518,0.24263
165,-0.133618,0.131499,0.24263
166,-0.133599,0.13148900000000002,0.24263
167,-0.13358,0.13147,0.24263
168,-0.133561,0.13145,0.242629
169,-0.13354100000000002,0.131441,0.242629
170,-0.133522,0.131422,0.242629
171,-0.133502,0.131403,0.242629
172,-0.133493,0.131393,0.242629
173,-0.133474,0.131373,0.242629
174,-0.133454,0.131364,0.242629
175,-0.133435,0.13134500000000002,0.242629
176,-0.133416,0.131325,0.242629
177,-0.13339700000000002,0.13131500000000002,0.242629
178,-0.133377,0.131296,0.242629
179,-0.133358,0.131277,0.242629
180,-0.133339,0.131268,0.242629
181,-0.133319,0.131249,0.242629
182,-0.13330999999999998,0.13123900000000002,0.242629
183,-0.13329000000000002,0.13122,0.242629
184,-0.133271,0.1312,0.242629
185,-0.133252,0.13119,0.242629
186,-0.133233,0.131171,0.242629
187,-0.133214,0.131152,0.242629
188,-0.133194,0.131143,0.242629
189,-0.133175,0.131123,0.242629
190,-0.133156,0.131114,0.242629
191,-0.13313599999999998,0.13109500000000002,0.242629
192,-0.133127,0.131075,0.242628
193,-0.133108,0.131065,0.242628
194,-0.133089,0.131046,0.242628
195,-0.133069,0.131027,0.242628
196,-0.13305,0.131017,0.242628
197,-0.13302999999999998,0.130998,0.242628
198,-0.133011,0.13098900000000002,0.242628
199,-0.132992,0.130969,0.242628
200,-0.132973,0.13095,0.242628
201,-0.132954,0.13094,0.242628
202,-0.132944,0.130921,0.242628
203,-0.133253,0.130556,0.242629
204,-0.133272,0.130575,0.242629
205,-0.13329100000000002,0.13058499999999998,0.242629
206,-0.133311,0.130604,0.242629
207,-0.13333,0.130624,0.242629
208,-0.133339,0.130633,0.242629
209,-0.133358,0.130653,0.242629
210,-0.133378,0.130662,0.242629
211,-0.13339700000000002,0.130681,0.242629
212,-0.133416,0.130701,0.242629
213,-0.133436,0.13071,0.242629
214,-0.133455,0.13072899999999998,0.242629
215,-0.133474,0.130749,0.242629
216,-0.133493,0.130758,0.242629
217,-0.133512,0.130778,0.242629
