   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_25.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.118871, 0, 9.40191e-16, 0, 1.41421, -9.40191e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.47543e-21, 0, 6.91296e-20, 0, 9.4012e-16, 0, 0, 0
0.126772, 0, 1.74914e-15, 0, 1.41421, -1.74914e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.78772e-21, 0, 1.31492e-19, 0, 1.749e-15, 0, 0, 0
0.134673, 0, 3.22612e-15, 0, 1.41421, -3.22612e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.2238e-21, 0, 2.48091e-19, 0, 3.22587e-15, 0, 0, 0
0.142574, 0, 5.89984e-15, 0, 1.41421, -5.89984e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.70937e-21, 0, 4.64382e-19, 0, 5.89937e-15, 0, 0, 0
0.150474, 0, 1.06993e-14, 0, 1.41421, -1.06993e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.79027e-20, 0, 8.62506e-19, 0, 1.06984e-14, 0, 0, 0
0.158375, 0, 1.9243e-14, 0, 1.41421, -1.9243e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.27506e-20, 0, 1.58979e-18, 0, 1.92414e-14, 0, 0, 0
0.166276, 0, 3.43269e-14, 0, 1.41421, -3.43269e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.9449e-20, 0, 2.9085e-18, 0, 3.43239e-14, 0, 0, 0
0.174176, 0, 6.07408e-14, 0, 1.41421, -6.07408e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0709e-19, 0, 5.28217e-18, 0, 6.07354e-14, 0, 0, 0
0.182077, 0, 1.06623e-13, 0, 1.41421, -1.06623e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.91465e-19, 0, 9.52429e-18, 0, 1.06613e-13, 0, 0, 0
0.189978, 0, 1.85684e-13, 0, 1.41421, -1.85684e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.39785e-19, 0, 1.70522e-17, 0, 1.85666e-13, 0, 0, 0
0.197878, 0, 3.20839e-13, 0, 1.41421, -3.20839e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.98612e-19, 0, 3.03186e-17, 0, 3.20808e-13, 0, 0, 0
0.205779, 0, 5.50965e-13, 0, 1.41421, -5.50965e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.05014e-18, 0, 5.37415e-17, 0, 5.50911e-13, 0, 0, 0
0.21368, 0, 9.37141e-13, 0, 1.41421, -9.37141e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.82334e-18, 0, 9.42392e-17, 0, 9.37045e-13, 0, 0, 0
0.221581, 0, 1.58187e-12, 0, 1.41421, -1.58187e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.14398e-18, 0, 1.64178e-16, 0, 1.5817e-12, 0, 0, 0
0.229481, 0, 2.64998e-12, 0, 1.41421, -2.64998e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.38447e-18, 0, 2.84194e-16, 0, 2.64969e-12, 0, 0, 0
0.237382, 0, 4.40598e-12, 0, 1.41421, -4.40598e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.16039e-18, 0, 4.88859e-16, 0, 4.40548e-12, 0, 0, 0
0.245283, 0, 7.27096e-12, 0, 1.41421, -7.27096e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.54834e-17, 0, 8.35754e-16, 0, 7.27011e-12, 0, 0, 0
0.253183, 0, 1.19099e-11, 0, 1.41421, -1.19099e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.60058e-17, 0, 1.42023e-15, 0, 1.19085e-11, 0, 0, 0
0.261084, 0, 1.93649e-11, 0, 1.41421, -1.93649e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.34124e-17, 0, 2.39932e-15, 0, 1.93624e-11, 0, 0, 0
0.268985, 0, 3.12554e-11, 0, 1.41421, -3.12554e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.20421e-17, 0, 4.0303e-15, 0, 3.12513e-11, 0, 0, 0
0.276886, 0, 5.00794e-11, 0, 1.41421, -5.00794e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.18876e-16, 0, 6.73252e-15, 0, 5.00725e-11, 0, 0, 0
0.284786, 0, 7.96584e-11, 0, 1.41421, -7.96584e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.95099e-16, 0, 1.11864e-14, 0, 7.9647e-11, 0, 0, 0
0.292687, 0, 1.25794e-10, 0, 1.41421, -1.25794e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.18567e-16, 0, 1.84912e-14, 0, 1.25776e-10, 0, 0, 0
0.300588, 0, 1.97226e-10, 1.73761e-43, 1.41421, -1.97226e-10, 0, 1.73761e-43, 1.73761e-43, 1.73761e-43, 1.73761e-43, 1.73761e-43, 1.73761e-43, 1.73761e-43, 1.73761e-43, 1.73761e-43, 1.73761e-43, 5.17699e-16, 1.73761e-43, 3.04157e-14, 1.73761e-43, 1.97195e-10, 1.73761e-43, 1.73761e-43, 1.73761e-43
0.308488, 0, 3.07011e-10, 3.00999e-42, 1.41421, -3.07011e-10, 0, 3.00999e-42, 3.00999e-42, 3.00999e-42, 3.00999e-42, 3.00999e-42, 3.00999e-42, 3.00999e-42, 3.00999e-42, 3.00999e-42, 3.00999e-42, 8.37614e-16, 3.00999e-42, 4.97953e-14, 3.00999e-42, 3.06961e-10, 3.00999e-42, 3.00999e-42, 3.00999e-42
0.316389, 0, 4.74516e-10, 4.33828e-41, 1.41421, -4.74516e-10, 0, 4.33828e-41, 4.33828e-41, 4.33828e-41, 4.33828e-41, 4.33828e-41, 4.33828e-41, 4.33828e-41, 4.33828e-41, 4.33828e-41, 4.33828e-41, 1.34983e-15, 4.33828e-41, 8.1162e-14, 4.33828e-41, 4.74433e-10, 4.33828e-41, 4.33828e-41, 4.33828e-41
0.32429, 0, 7.28232e-10, 5.54024e-40, 1.41421, -7.28232e-10, 0, 5.54024e-40, 5.54024e-40, 5.54024e-40, 5.54024e-40, 5.54024e-40, 5.54024e-40, 5.54024e-40, 5.54024e-40, 5.54024e-40, 5.54024e-40, 2.16755e-15, 5.54024e-40, 1.31738e-13, 5.54024e-40, 7.28098e-10, 5.54024e-40, 5.54024e-40, 5.54024e-40
0.33219, 0, 1.10975e-09, 6.33151e-39, 1.41421, -1.10975e-09, 0, 6.33151e-39, 6.33151e-39, 6.33151e-39, 6.33151e-39, 6.33151e-39, 6.33151e-39, 6.33151e-39, 6.33151e-39, 6.33151e-39, 6.33151e-39, 3.4699e-15, 6.33151e-39, 2.13005e-13, 6.33151e-39, 1.10954e-09, 6.33151e-39, 6.33151e-39, 6.33151e-39
0.340091, 0, 1.67934e-09, 6.53417e-38, 1.41421, -1.67934e-09, 0, 6.53417e-38, 6.53417e-38, 6.53417e-38, 6.53417e-38, 6.53417e-38, 6.53417e-38, 6.53417e-38, 6.53417e-38, 6.53417e-38, 6.53417e-38, 5.54026e-15, 6.53417e-38, 3.43182e-13, 6.53417e-38, 1.679e-09, 6.53417e-38, 6.53417e-38, 6.53417e-38
0.347992, 0, 2.52364e-09, 6.12161e-37, 1.41421, -2.52364e-09, 0, 6.12161e-37, 6.12161e-37, 6.12161e-37, 6.12161e-37, 6.12161e-37, 6.12161e-37, 6.12161e-37, 6.12161e-37, 6.12161e-37, 6.12161e-37, 8.82709e-15, 6.12161e-37, 5.51128e-13, 6.12161e-37, 2.52308e-09, 6.12161e-37, 6.12161e-37, 6.12161e-37
0.355893, 0, 3.76622e-09, 5.23857e-36, 1.41421, -3.76622e-09, 0, 5.23857e-36, 5.23857e-36, 5.23857e-36, 5.23857e-36, 5.23857e-36, 5.23857e-36, 5.23857e-36, 5.23857e-36, 5.23857e-36, 5.23857e-36, 1.40406e-14, 5.23857e-36, 8.82491e-13, 5.23857e-36, 3.76532e-09, 5.23857e-36, 5.23857e-36, 5.23857e-36
0.363793, 0, 5.58205e-09, 4.11235e-35, 1.41421, -5.58205e-09, 0, 4.11235e-35, 4.11235e-35, 4.11235e-35, 4.11235e-35, 4.11235e-35, 4.11235e-35, 4.11235e-35, 4.11235e-35, 4.11235e-35, 4.11235e-35, 2.23062e-14, 4.11235e-35, 1.4094e-12, 4.11235e-35, 5.58062e-09, 4.11235e-35, 4.11235e-35, 4.11235e-35
0.371694, 0, 8.217e-09, 2.97503e-34, 1.41421, -8.217e-09, 0, 2.97503e-34, 2.97503e-34, 2.97503e-34, 2.97503e-34, 2.97503e-34, 2.97503e-34, 2.97503e-34, 2.97503e-34, 2.97503e-34, 2.97503e-34, 3.54092e-14, 2.97503e-34, 2.24572e-12, 2.97503e-34, 8.21472e-09, 2.97503e-34, 2.97503e-34, 2.97503e-34
0.379595, 0, 1.20139e-08, 2.05919e-33, 1.41421, -1.20139e-08, 0, 2.05919e-33, 2.05919e-33, 2.05919e-33, 2.05919e-33, 2.05919e-33, 2.05919e-33, 2.05919e-33, 2.05919e-33, 2.05919e-33, 2.05919e-33, 5.61824e-14, 2.05919e-33, 3.57099e-12, 2.05919e-33, 1.20102e-08, 2.05919e-33, 2.05919e-33, 2.05919e-33
0.387495, 0, 1.74471e-08, 1.278e-32, 1.41421, -1.74471e-08, 0, 1.278e-32, 1.278e-32, 1.278e-32, 1.278e-32, 1.278e-32, 1.278e-32, 1.278e-32, 1.278e-32, 1.278e-32, 1.278e-32, 8.91225e-14, 1.278e-32, 5.668e-12, 1.278e-32, 1.74414e-08, 1.278e-32, 1.278e-32, 1.278e-32
0.395396, 0, 2.51686e-08, 7.80953e-32, 1.41421, -2.51686e-08, 0, 7.80953e-32, 7.80953e-32, 7.80953e-32, 7.80953e-32, 7.80953e-32, 7.80953e-32, 7.80953e-32, 7.80953e-32, 7.80953e-32, 7.80953e-32, 1.41366e-13, 7.80953e-32, 8.98168e-12, 7.80953e-32, 2.51595e-08, 7.80953e-32, 7.80953e-32, 7.80953e-32
0.403297, 0, 3.60674e-08, 4.3124e-31, 1.41421, -3.60674e-08, 0, 4.3124e-31, 4.3124e-31, 4.3124e-31, 4.3124e-31, 4.3124e-31, 4.3124e-31, 4.3124e-31, 4.3124e-31, 4.3124e-31, 4.3124e-31, 2.24229e-13, 4.3124e-31, 1.42109e-11, 4.3124e-31, 3.60529e-08, 4.3124e-31, 4.3124e-31, 4.3124e-31
0.411198, 0, 5.13464e-08, 2.29349e-30, 1.41421, -5.13464e-08, 0, 2.29349e-30, 2.29349e-30, 2.29349e-30, 2.29349e-30, 2.29349e-30, 2.29349e-30, 2.29349e-30, 2.29349e-30, 2.29349e-30, 2.29349e-30, 3.55629e-13, 2.29349e-30, 2.24507e-11, 2.29349e-30, 5.13236e-08, 2.29349e-30, 2.29349e-30, 2.29349e-30
0.419098, 0, 7.26231e-08, 1.15539e-29, 1.41421, -7.26231e-08, 0, 1.15539e-29, 1.15539e-29, 1.15539e-29, 1.15539e-29, 1.15539e-29, 1.15539e-29, 1.15539e-29, 1.15539e-29, 1.15539e-29, 1.15539e-29, 5.63881e-13, 1.15539e-29, 3.54136e-11, 1.15539e-29, 7.25871e-08, 1.15539e-29, 1.15539e-29, 1.15539e-29
0.426999, 0, 1.02055e-07, 5.50141e-29, 1.41421, -1.02055e-07, 0, 5.50141e-29, 5.50141e-29, 5.50141e-29, 5.50141e-29, 5.50141e-29, 5.50141e-29, 5.50141e-29, 5.50141e-29, 5.50141e-29, 5.50141e-29, 8.93598e-13, 5.50141e-29, 5.5768e-11, 5.50141e-29, 1.01998e-07, 5.50141e-29, 5.50141e-29, 5.50141e-29
0.4349, 0, 1.425e-07, 2.51261e-28, 1.41421, -1.425e-07, 0, 2.51261e-28, 2.51261e-28, 2.51261e-28, 2.51261e-28, 2.51261e-28, 2.51261e-28, 2.51261e-28, 2.51261e-28, 2.51261e-28, 2.51261e-28, 1.41483e-12, 2.51261e-28, 8.76562e-11, 2.51261e-28, 1.42411e-07, 2.51261e-28, 2.51261e-28, 2.51261e-28
0.4428, 0, 1.97718e-07, 1.09371e-27, 1.41421, -1.97718e-07, 0, 1.09371e-27, 1.09371e-27, 1.09371e-27, 1.09371e-27, 1.09371e-27, 1.09371e-27, 1.09371e-27, 1.09371e-27, 1.09371e-27, 1.09371e-27, 2.23711e-12, 1.09371e-27, 1.37481e-10, 1.09371e-27, 1.97578e-07, 1.09371e-27, 1.09371e-27, 1.09371e-27
0.450701, 0, 2.72621e-07, 4.52993e-27, 1.41421, -2.72621e-07, 0, 4.52993e-27, 4.52993e-27, 4.52993e-27, 4.52993e-27, 4.52993e-27, 4.52993e-27, 4.52993e-27, 4.52993e-27, 4.52993e-27, 4.52993e-27, 3.5309e-12, 4.52993e-27, 2.15085e-10, 4.52993e-27, 2.72402e-07, 4.52993e-27, 4.52993e-27, 4.52993e-27
0.458602, 0, 3.73579e-07, 1.78822e-26, 1.41421, -3.73579e-07, 0, 1.78822e-26, 1.78822e-26, 1.78822e-26, 1.78822e-26, 1.78822e-26, 1.78822e-26, 1.78822e-26, 1.78822e-26, 1.78822e-26, 1.78822e-26, 5.56008e-12, 1.78822e-26, 3.35514e-10, 1.78822e-26, 3.73238e-07, 1.78822e-26, 1.78822e-26, 1.78822e-26
0.466502, 0, 5.08802e-07, 6.73938e-26, 1.41421, -5.08802e-07, 0, 6.73938e-26, 6.73938e-26, 6.73938e-26, 6.73938e-26, 6.73938e-26, 6.73938e-26, 2.96534e-12, 6.73938e-26, 6.73938e-26, 6.73938e-26, 8.73071e-12, 6.73938e-26, 5.21617e-10, 6.73938e-26, 5.08269e-07, 6.73938e-26, 6.73938e-26, 6.73938e-26
0.474403, 0, 6.88794e-07, 2.42986e-25, 1.41421, -6.88794e-07, 0, 2.42986e-25, 2.42986e-25, 2.42986e-25, 2.42986e-25, 2.42986e-25, 2.42986e-25, 9.79191e-12, 2.42986e-25, 2.42986e-25, 2.42986e-25, 1.36638e-11, 2.42986e-25, 8.07846e-10, 2.42986e-25, 6.87963e-07, 2.42986e-25, 2.42986e-25, 2.42986e-25
0.482304, 0, 9.31105e-07, 8.48107e-25, 1.41421, -9.31105e-07, 0, 9.00323e-15, 6.21726e-14, 6.13004e-10, 2.1328e-11, 2.21763e-14, 2.29005e-11, 1.60497e-10, 1.20819e-09, 2.01651e-09, 3.22695e-12, 2.13026e-11, 5.40894e-14, 1.24575e-09, 8.39277e-16, 9.25757e-07, 8.48107e-25, 8.48107e-25, 3.45553e-11
0.490205, 0, 1.25393e-06, 1.32193e-10, 1.41421, -1.25393e-06, 1.32193e-10, 1.32223e-10, 1.32398e-10, 2.14758e-09, 2.02314e-10, 1.32266e-10, 2.07484e-10, 6.35823e-10, 4.10438e-09, 6.76192e-09, 1.42803e-10, 1.65265e-10, 1.3275e-10, 2.04403e-09, 1.32196e-10, 1.23859e-06, 1.32193e-10, 1.32193e-10, 2.45802e-10
0.498105, 0, 1.687e-06, 4.90233e-10, 1.41421, -1.687e-06, 4.90233e-10, 4.90312e-10, 4.90782e-10, 5.91064e-09, 6.78822e-10, 4.90429e-10, 6.92728e-10, 1.81858e-09, 1.11735e-08, 1.83209e-08, 5.18767e-10, 5.41348e-10, 4.93092e-10, 3.40903e-09, 4.9024e-10, 1.64804e-06, 4.90233e-10, 4.90233e-10, 7.95783e-10
0.506006, 0, 2.26626e-06, 1.1563e-09, 1.41421, -2.26626e-06, 1.1563e-09, 1.15648e-09, 1.15754e-09, 1.33683e-08, 1.58119e-09, 1.15675e-09, 1.61252e-09, 4.133e-09, 2.52253e-08, 4.13284e-08, 1.22059e-09, 1.23489e-09, 1.16348e-09, 5.58669e-09, 1.15632e-09, 2.18067e-06, 1.1563e-09, 1.1563e-09, 1.8447e-09
0.513907, 0, 3.05411e-06, 2.59984e-09, 1.41421, -3.05411e-06, 2.59984e-09, 2.60023e-09, 2.60254e-09, 2.92341e-08, 3.52651e-09, 2.6008e-09, 3.59483e-09, 9.06265e-09, 5.5094e-08, 9.02146e-08, 2.74004e-09, 2.71999e-09, 2.61664e-09, 9.28349e-09, 2.59987e-09, 2.87052e-06, 2.59984e-09, 2.59984e-09, 4.10122e-09
0.521807, 0, 4.14697e-06, 5.66031e-09, 1.41421, -4.14697e-06, 5.66031e-09, 5.66114e-09, 5.66605e-09, 6.22611e-08, 7.62959e-09, 5.66235e-09, 7.77479e-09, 1.99784e-08, 1.17216e-07, 1.91851e-07, 5.95826e-09, 5.84298e-09, 5.69796e-09, 1.56868e-08, 5.66038e-09, 3.76047e-06, 5.66031e-09, 5.66031e-09, 8.85091e-09
0.529708, 0, 5.70315e-06, 1.20104e-08, 1.41421, -5.70315e-06, 1.20104e-08, 1.20121e-08, 1.20223e-08, 1.29547e-07, 1.60998e-08, 1.20147e-08, 1.64013e-08, 4.30418e-08, 2.43667e-07, 3.98654e-07, 1.26291e-08, 1.22865e-08, 1.20921e-08, 2.69416e-08, 1.20106e-08, 4.90525e-06, 1.20104e-08, 1.20104e-08, 1.8636e-08
0.537609, 0, 8.00459e-06, 2.49053e-08, 1.41421, -8.00459e-06, 2.49053e-08, 2.49088e-08, 2.49295e-08, 2.63724e-07, 3.32144e-08, 2.4914e-08, 3.38271e-08, 1.03966e-07, 4.956e-07, 8.10512e-07, 2.61625e-08, 2.532e-08, 2.50778e-08, 4.69853e-08, 2.49057e-08, 6.37575e-06, 2.49053e-08, 2.49053e-08, 3.83676e-08
0.54551, 0, 1.15165e-05, 5.05362e-08, 1.41421, -1.15165e-05, 5.05362e-08, 5.05432e-08, 5.05844e-08, 5.25655e-07, 6.70668e-08, 5.05534e-08, 6.82856e-08, 2.2971e-07, 9.86959e-07, 1.61346e-06, 5.30373e-08, 5.11552e-08, 5.0892e-08, 8.29541e-08, 5.05369e-08, 8.26578e-06, 5.05362e-08, 5.05362e-08, 7.73188e-08
0.55341, 0, 1.70559e-05, 1.00406e-07, 1.41421, -1.70559e-05, 1.00406e-07, 1.0042e-07, 1.005e-07, 1.02623e-06, 1.32618e-07, 1.0044e-07, 1.34993e-07, 4.84534e-07, 1.92514e-06, 3.14595e-06, 1.0528e-07, 1.01324e-07, 1.01125e-07, 1.47656e-07, 1.00408e-07, 1.07028e-05, 1.00406e-07, 1.00406e-07, 1.52595e-07
0.561311, 0, 2.60343e-05, 1.95403e-07, 1.41421, -2.60343e-05, 1.95403e-07, 1.95429e-07, 1.95582e-07, 1.96291e-06, 2.56899e-07, 1.95467e-07, 2.61433e-07, 9.9159e-07, 3.67903e-06, 6.00971e-06, 2.04707e-07, 1.96755e-07, 1.96823e-07, 2.63765e-07, 1.95405e-07, 1.38647e-05, 1.95403e-07, 1.95403e-07, 2.95038e-07
0.569212, 0, 4.08525e-05, 3.72571e-07, 1.41421, -4.08525e-05, 3.72571e-07, 3.7262e-07, 3.72907e-07, 3.67912e-06, 4.87615e-07, 3.72691e-07, 4.96097e-07, 1.97044e-06, 6.88954e-06, 1.12496e-05, 3.89978e-07, 3.74551e-07, 3.75324e-07, 4.70761e-07, 3.72576e-07, 1.80083e-05, 3.72571e-07, 3.72571e-07, 5.58963e-07
0.577112, 0, 6.55839e-05, 6.96111e-07, 1.41421, -6.55839e-05, 6.96111e-07, 6.962e-07, 6.96725e-07, 6.75844e-06, 9.07034e-07, 6.9633e-07, 9.22586e-07, 3.85527e-06, 1.26445e-05, 2.06384e-05, 7.28024e-07, 6.9899e-07, 7.0134e-07, 8.36135e-07, 6.96119e-07, 2.35116e-05, 6.96111e-07, 6.96111e-07, 1.03785e-06
0.585013, 0, 0.000106973, 1.27468e-06, 1.41421, -0.000106973, 1.27468e-06, 1.27484e-06, 1.27578e-06, 1.21694e-05, 1.65373e-06, 1.27507e-06, 1.68168e-06, 7.42782e-06, 2.27473e-05, 3.71133e-05, 1.33203e-06, 1.27884e-06, 1.28442e-06, 1.47298e-06, 1.27469e-06, 3.09423e-05, 1.27468e-06, 1.27468e-06, 1.88882e-06
0.592914, 0, 0.000176002, 2.28793e-06, 1.41421, -0.000176002, 2.28793e-06, 2.28821e-06, 2.28987e-06, 2.14819e-05, 2.95573e-06, 2.28862e-06, 3.00497e-06, 1.40933e-05, 4.01179e-05, 6.54275e-05, 2.38897e-06, 2.2939e-06, 2.30573e-06, 2.56692e-06, 2.28795e-06, 4.11595e-05, 2.28793e-06, 2.28793e-06, 3.3699e-06
0.600815, 0, 0.000290215, 4.02585e-06, 1.41421, -0.000290215, 4.02585e-06, 4.02634e-06, 4.02922e-06, 3.71807e-05, 5.17939e-06, 4.02705e-06, 5.26445e-06, 2.63334e-05, 6.93716e-05, 0.00011309, 4.20039e-06, 4.03438e-06, 4.05778e-06, 4.41595e-06, 4.0259e-06, 5.54713e-05, 4.02585e-06, 4.02585e-06, 5.8948e-06
0.608715, 0, 0.000477068, 6.94558e-06, 1.41421, -0.000477068, 6.94558e-06, 6.94641e-06, 6.95128e-06, 6.31049e-05, 8.8995e-06, 6.94761e-06, 9.04357e-06, 4.84537e-05, 0.000117631, 0.000191684, 7.24121e-06, 6.95768e-06, 7.00176e-06, 7.48797e-06, 6.94566e-06, 7.58435e-05, 6.94558e-06, 6.94558e-06, 1.01113e-05
0.616616, 0, 0.000778681, 1.17505e-05, 1.41421, -0.000778681, 1.17505e-05, 1.17519e-05, 1.176e-05, 0.000105045, 1.49965e-05, 1.17539e-05, 1.52358e-05, 8.7788e-05, 0.000195626, 0.000318646, 1.22417e-05, 1.17676e-05, 1.18476e-05, 1.25009e-05, 1.17507e-05, 0.000105219, 1.17505e-05, 1.17505e-05, 1.70096e-05
0.624517, 0, 0.00125834, 1.94969e-05, 1.41421, -0.00125834, 1.94969e-05, 1.94991e-05, 1.95123e-05, 0.000171519, 2.47861e-05, 1.95024e-05, 2.51761e-05, 0.000156593, 0.00031912, 0.00051958, 2.02972e-05, 1.95209e-05, 1.96614e-05, 2.05303e-05, 1.94971e-05, 0.000147934, 1.94969e-05, 1.94969e-05, 2.80664e-05
0.632417, 0, 0.00200922, 3.17321e-05, 1.41421, -0.00200922, 3.17321e-05, 3.17356e-05, 3.17567e-05, 0.000274755, 4.01875e-05, 3.17409e-05, 4.08109e-05, 0.000274963, 0.000510712, 0.000831169, 3.30114e-05, 3.17655e-05, 3.20058e-05, 3.31498e-05, 3.17324e-05, 0.000210276, 3.17321e-05, 3.17321e-05, 4.54314e-05
0.640318, 0, 0.00316564, 5.06665e-05, 1.41421, -0.00316564, 5.06665e-05, 5.06721e-05, 5.07052e-05, 0.00043186, 6.39292e-05, 5.06803e-05, 6.49071e-05, 0.000475177, 0.000801968, 0.00130462, 5.26733e-05, 5.0713e-05, 5.1114e-05, 5.26052e-05, 5.0667e-05, 0.000301194, 5.06665e-05, 5.06665e-05, 7.21547e-05
