   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_25.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.031242, 50, 0, 0, 7.2111, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0233413, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0154406, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00753985, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00036085, 0, 2.63038e-20, 0, 1.41421, -2.63038e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.39575e-26, 0, 1.42969e-24, 0, 2.63023e-20, 0, 0, 0
0.00826156, 0, 5.72551e-20, 0, 1.41421, -5.72551e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.47455e-26, 0, 3.17576e-24, 0, 5.72518e-20, 0, 0, 0
0.0161623, 0, 1.23002e-19, 0, 1.41421, -1.23002e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.62418e-25, 0, 6.96016e-24, 0, 1.22995e-19, 0, 0, 0
0.024063, 0, 2.60955e-19, 0, 1.41421, -2.60955e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.4861e-25, 0, 1.50608e-23, 0, 2.6094e-19, 0, 0, 0
0.0319637, 0, 5.47013e-19, 0, 1.41421, -5.47013e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.39485e-25, 0, 3.21951e-23, 0, 5.4698e-19, 0, 0, 0
0.0398644, 0, 1.13345e-18, 0, 1.41421, -1.13345e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.55096e-24, 0, 6.80255e-23, 0, 1.13338e-18, 0, 0, 0
0.0477651, 0, 2.32252e-18, 0, 1.41421, -2.32252e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.21764e-24, 0, 1.42134e-22, 0, 2.32238e-18, 0, 0, 0
0.0556658, 0, 4.70788e-18, 0, 1.41421, -4.70788e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.6054e-24, 0, 2.93798e-22, 0, 4.70758e-18, 0, 0, 0
0.0635665, 0, 9.44365e-18, 0, 1.41421, -9.44365e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.34224e-23, 0, 6.01026e-22, 0, 9.44304e-18, 0, 0, 0
0.0714672, 0, 1.87513e-17, 0, 1.41421, -1.87513e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.70061e-23, 0, 1.21725e-21, 0, 1.875e-17, 0, 0, 0
0.0793679, 0, 3.68651e-17, 0, 1.41421, -3.68651e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.38163e-23, 0, 2.44142e-21, 0, 3.68626e-17, 0, 0, 0
0.0872686, 0, 7.17784e-17, 0, 1.41421, -7.17784e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.06241e-22, 0, 4.85076e-21, 0, 7.17734e-17, 0, 0, 0
0.0951693, 0, 1.3844e-16, 0, 1.41421, -1.3844e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.07824e-22, 0, 9.54976e-21, 0, 1.3843e-16, 0, 0, 0
0.10307, 0, 2.64548e-16, 0, 1.41421, -2.64548e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.02916e-22, 0, 1.86337e-20, 0, 2.64528e-16, 0, 0, 0
0.110971, 0, 5.00954e-16, 0, 1.41421, -5.00954e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.74336e-22, 0, 3.60434e-20, 0, 5.00917e-16, 0, 0, 0
