   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_180.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0303567, 360, 0, 0, 19.0263, 360, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0224842, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0146118, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0067394, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00113303, 0, 3.20713e-26, 0, 1.41421, -3.20713e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.46026e-27, 0, 0, 1.4519e-29, 0, 3.05965e-26, 0, 0, 0
0.00900545, 0, 1.10886e-25, 0, 1.41421, -1.10886e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.04866e-27, 0, 0, 5.36453e-29, 0, 1.05784e-25, 0, 0, 0
0.0168779, 0, 3.6275e-25, 0, 1.41421, -3.6275e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.65156e-26, 0, 0, 1.85058e-28, 0, 3.46049e-25, 0, 0, 0
0.0247503, 0, 1.13371e-24, 0, 1.41421, -1.13371e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.16155e-26, 0, 0, 6.04545e-28, 0, 1.08149e-24, 0, 0, 0
0.0326227, 0, 3.40814e-24, 0, 1.41421, -3.40814e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.55162e-25, 0, 0, 1.88795e-27, 0, 3.25109e-24, 0, 0, 0
0.0404951, 0, 9.90401e-24, 0, 1.41421, -9.90401e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.50891e-25, 0, 0, 5.67376e-27, 0, 9.44744e-24, 0, 0, 0
0.0483676, 0, 2.79272e-23, 0, 1.41421, -2.79272e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.27139e-24, 0, 0, 1.64888e-26, 0, 2.66393e-23, 0, 0, 0
0.05624, 0, 7.66398e-23, 0, 1.41421, -7.66398e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.48899e-24, 0, 0, 4.65121e-26, 0, 7.31043e-23, 0, 0, 0
0.0641124, 0, 2.05175e-22, 0, 1.41421, -2.05175e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.34034e-24, 0, 0, 1.27724e-25, 0, 1.95707e-22, 0, 0, 0
0.0719848, 0, 5.3688e-22, 0, 1.41421, -5.3688e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.44404e-23, 0, 0, 3.42243e-25, 0, 5.12097e-22, 0, 0, 0
0.0798572, 0, 1.37538e-21, 0, 1.41421, -1.37538e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.26105e-23, 0, 0, 8.96598e-25, 0, 1.31187e-21, 0, 0, 0
0.0877297, 0, 3.45418e-21, 0, 1.41421, -3.45418e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.57241e-22, 0, 0, 2.30018e-24, 0, 3.29464e-21, 0, 0, 0
0.0956021, 0, 8.51446e-21, 0, 1.41421, -8.51446e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.87589e-22, 0, 0, 5.78657e-24, 0, 8.12109e-21, 0, 0, 0
