   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_290.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0312453, 580, 0, 0, 24.1247, 580, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0233769, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0155085, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00764006, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.000228344, 0, 2.0959e-22, 0, 1.41421, -2.0959e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.79667e-27, 0, 9.49005e-27, 0, 2.09574e-22, 0, 0, 0
0.00809674, 0, 5.08809e-22, 0, 1.41421, -5.08809e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.42627e-26, 0, 2.35747e-26, 0, 5.08771e-22, 0, 0, 0
0.0159651, 0, 1.21306e-21, 0, 1.41421, -1.21306e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.44682e-26, 0, 5.74471e-26, 0, 1.21297e-21, 0, 0, 0
0.0238335, 0, 2.84342e-21, 0, 1.41421, -2.84342e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.19068e-26, 0, 1.37505e-25, 0, 2.84321e-21, 0, 0, 0
0.0317019, 0, 6.55918e-21, 0, 1.41421, -6.55918e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.9157e-25, 0, 3.23658e-25, 0, 6.55866e-21, 0, 0, 0
0.0395703, 0, 1.4903e-20, 0, 1.41421, -1.4903e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.41382e-25, 0, 7.49896e-25, 0, 1.49018e-20, 0, 0, 0
0.0474387, 0, 3.33756e-20, 0, 1.41421, -3.33756e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.00253e-24, 0, 1.71172e-24, 0, 3.33729e-20, 0, 0, 0
0.0553071, 0, 7.37222e-20, 0, 1.41421, -7.37222e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.24629e-24, 0, 3.85215e-24, 0, 7.37161e-20, 0, 0, 0
0.0631755, 0, 1.60705e-19, 0, 1.41421, -1.60705e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.96786e-24, 0, 8.55267e-24, 0, 1.60691e-19, 0, 0, 0
0.0710439, 0, 3.45895e-19, 0, 1.41421, -3.45895e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.08501e-23, 0, 1.8745e-23, 0, 3.45865e-19, 0, 0, 0
0.0789123, 0, 7.35425e-19, 0, 1.41421, -7.35425e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.34131e-23, 0, 4.05772e-23, 0, 7.35361e-19, 0, 0, 0
0.0867807, 0, 1.54522e-18, 0, 1.41421, -1.54522e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.99377e-23, 0, 8.67957e-23, 0, 1.54508e-18, 0, 0, 0
0.0946491, 0, 3.27954e-18, 0, 1.41421, -3.27954e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.08139e-22, 0, 1.88568e-22, 0, 3.27924e-18, 0, 0, 0
0.102518, 0, 6.72101e-18, 0, 1.41421, -6.72101e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.25023e-22, 0, 3.93338e-22, 0, 6.72039e-18, 0, 0, 0
0.110386, 0, 1.36285e-17, 0, 1.41421, -1.36285e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.6341e-22, 0, 8.11903e-22, 0, 1.36272e-17, 0, 0, 0
0.118254, 0, 2.73503e-17, 0, 1.41421, -2.73503e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.44744e-22, 0, 1.65888e-21, 0, 2.73477e-17, 0, 0, 0
0.126123, 0, 5.43344e-17, 0, 1.41421, -5.43344e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.90711e-21, 0, 3.35594e-21, 0, 5.43291e-17, 0, 0, 0
0.133991, 0, 1.06875e-16, 0, 1.41421, -1.06875e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.81284e-21, 0, 6.72383e-21, 0, 1.06865e-16, 0, 0, 0
0.14186, 0, 2.08186e-16, 0, 1.41421, -2.08186e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.55123e-21, 0, 1.33451e-20, 0, 2.08165e-16, 0, 0, 0
