   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_125.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.176245, 0, 9.98804e-15, 0, 1.41421, -9.98804e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.264e-17, 0, 0, 3.00512e-19, 0, 0, 9.9051e-15, 0, 0, 0
0.184118, 0, 1.86903e-14, 0, 1.41421, -1.86903e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.54642e-16, 0, 0, 5.72314e-19, 0, 0, 1.85351e-14, 0, 0, 0
0.19199, 0, 3.44806e-14, 0, 1.41421, -3.44806e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.85288e-16, 0, 0, 1.07287e-18, 0, 0, 3.41942e-14, 0, 0, 0
0.199863, 0, 6.3053e-14, 0, 1.41421, -6.3053e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.21694e-16, 0, 0, 1.99453e-18, 0, 0, 6.25294e-14, 0, 0, 0
0.207736, 0, 1.14301e-13, 0, 1.41421, -1.14301e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.45716e-16, 0, 0, 3.67764e-18, 0, 0, 1.13352e-13, 0, 0, 0
0.215609, 0, 2.05421e-13, 0, 1.41421, -2.05421e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.69963e-15, 0, 0, 6.7264e-18, 0, 0, 2.03714e-13, 0, 0, 0
0.223482, 0, 3.66032e-13, 0, 1.41421, -3.66032e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.02853e-15, 0, 0, 1.22048e-17, 0, 0, 3.62991e-13, 0, 0, 0
0.231355, 0, 6.46708e-13, 0, 1.41421, -6.46708e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.35088e-15, 0, 0, 2.19719e-17, 0, 0, 6.41335e-13, 0, 0, 0
0.239227, 0, 1.13303e-12, 0, 1.41421, -1.13303e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.37479e-15, 0, 0, 3.92504e-17, 0, 0, 1.12361e-12, 0, 0, 0
0.2471, 0, 1.96852e-12, 0, 1.41421, -1.96852e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.62881e-14, 0, 0, 6.95856e-17, 0, 0, 1.95216e-12, 0, 0, 0
0.254973, 0, 3.39184e-12, 0, 1.41421, -3.39184e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.80657e-14, 0, 0, 1.22448e-16, 0, 0, 3.36365e-12, 0, 0, 0
0.262846, 0, 5.79627e-12, 0, 1.41421, -5.79627e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.79628e-14, 0, 0, 2.13901e-16, 0, 0, 5.74809e-12, 0, 0, 0
0.270719, 0, 9.82433e-12, 0, 1.41421, -9.82433e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.1298e-14, 0, 0, 3.70997e-16, 0, 0, 9.74266e-12, 0, 0, 0
0.278592, 0, 1.65165e-11, 0, 1.41421, -1.65165e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.36686e-13, 0, 0, 6.39016e-16, 0, 0, 1.63792e-11, 0, 0, 0
0.286464, 0, 2.75434e-11, 0, 1.41421, -2.75434e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.27961e-13, 0, 0, 1.09328e-15, 0, 0, 2.73144e-11, 0, 0, 0
0.294337, 0, 4.55637e-11, 0, 1.41421, -4.55637e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.77147e-13, 0, 0, 1.85836e-15, 0, 0, 4.51847e-11, 0, 0, 0
