   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_330.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.028048, 660, 0, 0, 25.7294, 660, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0201835, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0123189, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00445439, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00341016, 0, 6.00597e-23, 0, 1.41421, -6.00597e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.30098e-25, 0, 0, 2.22365e-28, 0, 0, 5.97294e-23, 0, 0, 0
0.0112747, 0, 1.58704e-22, 0, 1.41421, -1.58704e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.72266e-25, 0, 0, 5.96824e-28, 0, 0, 1.57831e-22, 0, 0, 0
0.0191393, 0, 4.09628e-22, 0, 1.41421, -4.09628e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.25138e-24, 0, 0, 1.56465e-27, 0, 0, 4.07375e-22, 0, 0, 0
0.0270038, 0, 1.0347e-21, 0, 1.41421, -1.0347e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.68689e-24, 0, 0, 4.01438e-27, 0, 0, 1.02901e-21, 0, 0, 0
0.0348683, 0, 2.56185e-21, 0, 1.41421, -2.56185e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.40804e-23, 0, 0, 1.00959e-26, 0, 0, 2.54776e-21, 0, 0, 0
0.0427329, 0, 6.22562e-21, 0, 1.41421, -6.22562e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.42171e-23, 0, 0, 2.49216e-26, 0, 0, 6.19138e-21, 0, 0, 0
0.0505974, 0, 1.48661e-20, 0, 1.41421, -1.48661e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.17065e-23, 0, 0, 6.04532e-26, 0, 0, 1.47843e-20, 0, 0, 0
0.058462, 0, 3.49157e-20, 0, 1.41421, -3.49157e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.91902e-22, 0, 0, 1.44246e-25, 0, 0, 3.47236e-20, 0, 0, 0
0.0663265, 0, 8.07278e-20, 0, 1.41421, -8.07278e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.43693e-22, 0, 0, 3.38849e-25, 0, 0, 8.02837e-20, 0, 0, 0
0.0741911, 0, 1.83877e-19, 0, 1.41421, -1.83877e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.01062e-21, 0, 0, 7.84252e-25, 0, 0, 1.82866e-19, 0, 0, 0
0.0820556, 0, 4.12877e-19, 0, 1.41421, -4.12877e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.26924e-21, 0, 0, 1.78955e-24, 0, 0, 4.10606e-19, 0, 0, 0
0.0899202, 0, 9.14434e-19, 0, 1.41421, -9.14434e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.02588e-21, 0, 0, 4.02834e-24, 0, 0, 9.09405e-19, 0, 0, 0
0.0977847, 0, 1.99869e-18, 0, 1.41421, -1.99869e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.09852e-20, 0, 0, 8.95022e-24, 0, 0, 1.9877e-18, 0, 0, 0
0.105649, 0, 4.31325e-18, 0, 1.41421, -4.31325e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.37063e-20, 0, 0, 1.96369e-23, 0, 0, 4.28952e-18, 0, 0, 0
0.113514, 0, 9.19466e-18, 0, 1.41421, -9.19466e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.05354e-20, 0, 0, 4.25707e-23, 0, 0, 9.14408e-18, 0, 0, 0
0.121378, 0, 1.93672e-17, 0, 1.41421, -1.93672e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.06445e-19, 0, 0, 9.12062e-23, 0, 0, 1.92607e-17, 0, 0, 0
0.129243, 0, 4.10399e-17, 0, 1.41421, -4.10399e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.25562e-19, 0, 0, 1.97544e-22, 0, 0, 4.08141e-17, 0, 0, 0
0.137107, 0, 8.43121e-17, 0, 1.41421, -8.43121e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.63393e-19, 0, 0, 4.12835e-22, 0, 0, 8.38483e-17, 0, 0, 0
0.144972, 0, 1.71343e-16, 0, 1.41421, -1.71343e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.41728e-19, 0, 0, 8.53659e-22, 0, 0, 1.704e-16, 0, 0, 0
