   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_248.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.310815, 0, 2.73104e-11, 0, 1.41421, -2.73104e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.02194e-13, 0, 1.20873e-15, 2.73371e-15, 0, 2.71042e-11, 0, 0, 0
0.318682, 0, 4.53511e-11, 0, 1.41421, -4.53511e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.35812e-13, 0, 2.06946e-15, 4.71615e-15, 0, 4.50085e-11, 0, 0, 0
0.32655, 0, 7.46734e-11, 2.84464e-43, 1.41421, -7.46734e-11, 0, 2.84464e-43, 2.84464e-43, 2.84464e-43, 2.84464e-43, 2.84464e-43, 2.84464e-43, 2.84464e-43, 2.84464e-43, 2.84464e-43, 2.84464e-43, 5.53046e-13, 2.84464e-43, 3.52182e-15, 8.08493e-15, 2.84464e-43, 7.41088e-11, 2.84464e-43, 2.84464e-43, 2.84464e-43
0.334417, 0, 1.21922e-10, 4.87091e-42, 1.41421, -1.21922e-10, 0, 4.87091e-42, 4.87091e-42, 4.87091e-42, 4.87091e-42, 4.87091e-42, 4.87091e-42, 4.87091e-42, 4.87091e-42, 4.87091e-42, 4.87091e-42, 9.0321e-13, 4.87091e-42, 5.95997e-15, 1.37768e-14, 4.87091e-42, 1.20999e-10, 4.87091e-42, 4.87091e-42, 4.87091e-42
0.342284, 0, 1.97405e-10, 6.89425e-41, 1.41421, -1.97405e-10, 0, 6.89425e-41, 6.89425e-41, 6.89425e-41, 6.89425e-41, 6.89425e-41, 6.89425e-41, 6.89425e-41, 6.89425e-41, 6.89425e-41, 6.89425e-41, 1.46287e-12, 6.89425e-41, 1.00344e-14, 2.33424e-14, 6.89425e-41, 1.95909e-10, 6.89425e-41, 6.89425e-41, 6.89425e-41
0.350151, 0, 3.16968e-10, 8.64629e-40, 1.41421, -3.16968e-10, 0, 8.64629e-40, 8.64629e-40, 8.64629e-40, 8.64629e-40, 8.64629e-40, 8.64629e-40, 8.64629e-40, 8.64629e-40, 8.64629e-40, 8.64629e-40, 2.34985e-12, 8.64629e-40, 1.68162e-14, 3.93392e-14, 8.64629e-40, 3.14562e-10, 8.64629e-40, 8.64629e-40, 8.64629e-40
0.358018, 0, 5.04744e-10, 9.71686e-39, 1.41421, -5.04744e-10, 0, 9.71686e-39, 9.71686e-39, 9.71686e-39, 9.71686e-39, 9.71686e-39, 9.71686e-39, 9.71686e-39, 9.71686e-39, 9.71686e-39, 9.71686e-39, 3.74386e-12, 9.71686e-39, 2.80666e-14, 6.59727e-14, 9.71686e-39, 5.00906e-10, 9.71686e-39, 9.71686e-39, 9.71686e-39
0.365885, 0, 7.9717e-10, 9.87642e-38, 1.41421, -7.9717e-10, 0, 9.87642e-38, 9.87642e-38, 9.87642e-38, 9.87642e-38, 9.87642e-38, 9.87642e-38, 9.87642e-38, 9.87642e-38, 9.87642e-38, 9.87642e-38, 5.91664e-12, 9.87642e-38, 4.668e-14, 1.10142e-13, 9.87642e-38, 7.91096e-10, 9.87642e-38, 9.87642e-38, 9.87642e-38
0.373753, 0, 1.24874e-09, 9.1289e-37, 1.41421, -1.24874e-09, 0, 9.1289e-37, 9.1289e-37, 9.1289e-37, 9.1289e-37, 9.1289e-37, 9.1289e-37, 9.1289e-37, 9.1289e-37, 9.1289e-37, 9.1289e-37, 9.27551e-12, 9.1289e-37, 7.74113e-14, 1.83143e-13, 9.1289e-37, 1.2392e-09, 9.1289e-37, 9.1289e-37, 9.1289e-37
0.38162, 0, 1.94026e-09, 7.7185e-36, 1.41421, -1.94026e-09, 0, 7.7185e-36, 7.7185e-36, 7.7185e-36, 7.7185e-36, 7.7185e-36, 7.7185e-36, 7.7185e-36, 7.7185e-36, 7.7185e-36, 7.7185e-36, 1.44259e-11, 7.7185e-36, 1.28076e-13, 3.03455e-13, 7.7185e-36, 1.9254e-09, 7.7185e-36, 7.7185e-36, 7.7185e-36
0.389487, 0, 2.99046e-09, 5.99438e-35, 1.41421, -2.99046e-09, 0, 5.99438e-35, 5.99438e-35, 5.99438e-35, 5.99438e-35, 5.99438e-35, 5.99438e-35, 5.99438e-35, 5.99438e-35, 5.99438e-35, 5.99438e-35, 2.22603e-11, 5.99438e-35, 2.11524e-13, 5.01288e-13, 5.99438e-35, 2.96749e-09, 5.99438e-35, 5.99438e-35, 5.99438e-35
0.397354, 0, 4.57223e-09, 4.29506e-34, 1.41421, -4.57223e-09, 0, 4.29506e-34, 4.29506e-34, 4.29506e-34, 4.29506e-34, 4.29506e-34, 4.29506e-34, 4.29506e-34, 4.29506e-34, 4.29506e-34, 4.29506e-34, 3.40831e-11, 4.29506e-34, 3.48902e-13, 8.26016e-13, 4.29506e-34, 4.53697e-09, 4.29506e-34, 4.29506e-34, 4.29506e-34
0.405221, 0, 6.93515e-09, 2.96076e-33, 1.41421, -6.93515e-09, 0, 2.96076e-33, 2.96076e-33, 2.96076e-33, 2.96076e-33, 2.96076e-33, 2.96076e-33, 2.96076e-33, 2.96076e-33, 2.96076e-33, 2.96076e-33, 5.17858e-11, 2.96076e-33, 5.7502e-13, 1.35835e-12, 2.96076e-33, 6.88143e-09, 2.96076e-33, 2.96076e-33, 2.96076e-33
0.413089, 0, 1.04364e-08, 1.79846e-32, 1.41421, -1.04364e-08, 0, 1.79846e-32, 1.79846e-32, 1.79846e-32, 1.79846e-32, 1.79846e-32, 1.79846e-32, 1.79846e-32, 1.79846e-32, 1.79846e-32, 1.79846e-32, 7.80898e-11, 1.79846e-32, 9.4719e-13, 2.23023e-12, 1.79846e-32, 1.03551e-08, 1.79846e-32, 1.79846e-32, 1.79846e-32
0.420956, 0, 1.55824e-08, 1.02644e-31, 1.41421, -1.55824e-08, 0, 1.02644e-31, 1.02644e-31, 1.02644e-31, 1.02644e-31, 1.02644e-31, 1.02644e-31, 1.02644e-31, 1.02644e-31, 1.02644e-31, 1.02644e-31, 1.1688e-10, 1.02644e-31, 1.55972e-12, 3.65739e-12, 1.02644e-31, 1.54603e-08, 1.02644e-31, 1.02644e-31, 1.02644e-31
