   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_142.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Mg_K, Zn_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0282289, 284, 0, 0, 16.9115, 284, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0203577, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0124865, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0046152, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00325605, 0, 4.53406e-22, 0, 1.41421, -4.53406e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.62588e-25, 0, 4.09751e-27, 0, 4.5304e-22, 0, 0, 0
0.0111273, 0, 1.11624e-21, 0, 1.41421, -1.11624e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.92658e-25, 0, 1.01755e-26, 0, 1.11534e-21, 0, 0, 0
0.0189986, 0, 2.69585e-21, 0, 1.41421, -2.69585e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.15587e-24, 0, 2.47938e-26, 0, 2.69367e-21, 0, 0, 0
0.0268698, 0, 6.39544e-21, 0, 1.41421, -6.39544e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.11442e-24, 0, 5.93555e-26, 0, 6.39027e-21, 0, 0, 0
0.0347411, 0, 1.49199e-20, 0, 1.41421, -1.49199e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.19314e-23, 0, 1.39765e-25, 0, 1.49078e-20, 0, 0, 0
0.0426123, 0, 3.42608e-20, 0, 1.41421, -3.42608e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.73983e-23, 0, 3.2402e-25, 0, 3.42331e-20, 0, 0, 0
0.0504836, 0, 7.75043e-20, 0, 1.41421, -7.75043e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.198e-23, 0, 7.40198e-25, 0, 7.74415e-20, 0, 0, 0
