   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_175.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0289645, 350, 0, 0, 18.7617, 350, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0210937, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.013223, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00535227, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00251846, 0, 3.2613e-22, 0, 1.41421, -3.2613e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.46574e-24, 0, 0, 0, 1.70538e-25, 0, 3.21494e-22, 0, 0, 0
0.0103892, 0, 7.84187e-22, 0, 1.41421, -7.84187e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.07379e-23, 0, 0, 0, 4.18614e-25, 0, 7.7303e-22, 0, 0, 0
0.0182599, 0, 1.85206e-21, 0, 1.41421, -1.85206e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.53599e-23, 0, 0, 0, 1.00828e-24, 0, 1.82569e-21, 0, 0, 0
0.0261306, 0, 4.56758e-21, 0, 1.41421, -4.56758e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.25422e-23, 0, 0, 0, 2.55771e-24, 0, 4.50248e-21, 0, 0, 0
0.0340014, 0, 1.03806e-20, 0, 1.41421, -1.03806e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.42136e-22, 0, 0, 0, 5.91809e-24, 0, 1.02326e-20, 0, 0, 0
0.0418721, 0, 2.32535e-20, 0, 1.41421, -2.32535e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.18395e-22, 0, 0, 0, 1.34907e-23, 0, 2.29217e-20, 0, 0, 0
0.0497428, 0, 5.13777e-20, 0, 1.41421, -5.13777e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.03474e-22, 0, 0, 0, 3.03211e-23, 0, 5.06439e-20, 0, 0, 0
0.0576136, 0, 1.12031e-19, 0, 1.41421, -1.12031e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.53393e-21, 0, 0, 0, 6.72375e-23, 0, 1.10429e-19, 0, 0, 0
0.0654843, 0, 2.41214e-19, 0, 1.41421, -2.41214e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.30268e-21, 0, 0, 0, 1.47196e-22, 0, 2.37764e-19, 0, 0, 0
