   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_217.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0281339, 434, 0, 0, 20.8806, 434, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0202657, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0123975, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00452929, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0033389, 0, 3.28283e-23, 0, 1.41421, -3.28283e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.85495e-25, 0, 0, 4.29057e-29, 2.42078e-27, 0, 3.26404e-23, 0, 0, 0
0.0112071, 0, 8.72501e-23, 0, 1.41421, -8.72501e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.93002e-25, 0, 0, 1.15823e-28, 6.5965e-27, 0, 8.67504e-23, 0, 0, 0
0.0190753, 0, 2.265e-22, 0, 1.41421, -2.265e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.27982e-24, 0, 0, 3.05385e-28, 1.75227e-26, 0, 2.25202e-22, 0, 0, 0
0.0269435, 0, 5.75416e-22, 0, 1.41421, -5.75416e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.25135e-24, 0, 0, 7.87972e-28, 4.54792e-26, 0, 5.72118e-22, 0, 0, 0
0.0348117, 0, 1.43283e-21, 0, 1.41421, -1.43283e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.09609e-24, 0, 0, 1.99287e-27, 1.15549e-25, 0, 1.42461e-21, 0, 0, 0
0.0426799, 0, 3.50175e-21, 0, 1.41421, -3.50175e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.97863e-23, 0, 0, 4.947e-27, 2.87842e-25, 0, 3.48167e-21, 0, 0, 0
