   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_243.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.185753, 0, 1.31149e-17, 0, 1.41421, -1.31149e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.6286e-20, 0, 0, 7.86596e-23, 0, 0, 1.30585e-17, 0, 0, 0
0.193629, 0, 3.05307e-17, 0, 1.41421, -3.05307e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.3103e-19, 0, 0, 1.85087e-22, 0, 0, 3.03995e-17, 0, 0, 0
0.201505, 0, 7.00182e-17, 0, 1.41421, -7.00182e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.00501e-19, 0, 0, 4.29229e-22, 0, 0, 6.97173e-17, 0, 0, 0
0.209381, 0, 1.58252e-16, 0, 1.41421, -1.58252e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.79179e-19, 0, 0, 9.81391e-22, 0, 0, 1.57572e-16, 0, 0, 0
0.217257, 0, 3.52622e-16, 0, 1.41421, -3.52622e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.51337e-18, 0, 0, 2.2131e-21, 0, 0, 3.51107e-16, 0, 0, 0
0.225133, 0, 7.7488e-16, 0, 1.41421, -7.7488e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.3256e-18, 0, 0, 4.92396e-21, 0, 0, 7.7155e-16, 0, 0, 0
0.233009, 0, 1.67978e-15, 0, 1.41421, -1.67978e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.2092e-18, 0, 0, 1.08124e-20, 0, 0, 1.67256e-15, 0, 0, 0
0.240884, 0, 3.5932e-15, 0, 1.41421, -3.5932e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.54211e-17, 0, 0, 2.34395e-20, 0, 0, 3.57776e-15, 0, 0, 0
0.24876, 0, 7.58624e-15, 0, 1.41421, -7.58624e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.25582e-17, 0, 0, 5.01773e-20, 0, 0, 7.55363e-15, 0, 0, 0
0.256636, 0, 1.58988e-14, 0, 1.41421, -1.58988e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.82335e-17, 0, 0, 1.06868e-19, 0, 0, 1.58305e-14, 0, 0, 0
0.264512, 0, 3.26955e-14, 0, 1.41421, -3.26955e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.4032e-16, 0, 0, 2.23047e-19, 0, 0, 3.2555e-14, 0, 0, 0
0.272388, 0, 6.64115e-14, 0, 1.41421, -6.64115e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.85019e-16, 0, 0, 4.60082e-19, 0, 0, 6.6126e-14, 0, 0, 0
0.280264, 0, 1.3326e-13, 0, 1.41421, -1.3326e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.71911e-16, 0, 0, 9.38107e-19, 0, 0, 1.32687e-13, 0, 0, 0
0.28814, 0, 2.64193e-13, 0, 1.41421, -2.64193e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.13384e-15, 0, 0, 1.8912e-18, 0, 0, 2.63057e-13, 0, 0, 0
0.296016, 0, 5.17568e-13, 0, 1.41421, -5.17568e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.22125e-15, 0, 0, 3.77027e-18, 0, 0, 5.15343e-13, 0, 0, 0
0.303892, 0, 1.00207e-12, 0, 1.41421, -1.00207e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.30059e-15, 0, 0, 7.43453e-18, 0, 0, 9.97758e-13, 0, 0, 0
0.311768, 0, 1.9176e-12, 0, 1.41421, -1.9176e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.22986e-15, 0, 0, 1.45035e-17, 0, 0, 1.90936e-12, 0, 0, 0
0.319644, 0, 3.62745e-12, 0, 1.41421, -3.62745e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.55683e-14, 0, 0, 2.79987e-17, 0, 0, 3.61186e-12, 0, 0, 0
0.32752, 0, 6.78379e-12, 0, 1.41421, -6.78379e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.91154e-14, 0, 0, 5.35008e-17, 0, 0, 6.75462e-12, 0, 0, 0
0.335396, 0, 1.25434e-11, 0, 1.41421, -1.25434e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.38371e-14, 0, 0, 1.01221e-16, 0, 0, 1.24895e-11, 0, 0, 0
0.343272, 0, 2.29336e-11, 0, 1.41421, -2.29336e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.84374e-14, 0, 0, 1.89678e-16, 0, 0, 2.2835e-11, 0, 0, 0
0.351148, 0, 4.14649e-11, 4.76441e-44, 1.41421, -4.14649e-11, 0, 4.76441e-44, 4.76441e-44, 4.76441e-44, 4.76441e-44, 4.76441e-44, 4.76441e-44, 4.76441e-44, 4.76441e-44, 1.77992e-13, 4.76441e-44, 4.76441e-44, 3.52179e-16, 4.76441e-44, 4.76441e-44, 4.12866e-11, 4.76441e-44, 4.76441e-44, 4.76441e-44
0.359024, 0, 7.41448e-11, 9.92119e-43, 1.41421, -7.41448e-11, 0, 9.92119e-43, 9.92119e-43, 9.92119e-43, 9.92119e-43, 9.92119e-43, 9.92119e-43, 9.92119e-43, 9.92119e-43, 3.18307e-13, 9.92119e-43, 9.92119e-43, 6.48196e-16, 9.92119e-43, 9.92119e-43, 7.38258e-11, 9.92119e-43, 9.92119e-43, 9.92119e-43
0.3669, 0, 1.31132e-10, 1.52279e-41, 1.41421, -1.31132e-10, 0, 1.52279e-41, 1.52279e-41, 1.52279e-41, 1.52279e-41, 1.52279e-41, 1.52279e-41, 1.52279e-41, 1.52279e-41, 5.63037e-13, 1.52279e-41, 1.52279e-41, 1.18321e-15, 1.52279e-41, 1.52279e-41, 1.30568e-10, 1.52279e-41, 1.52279e-41, 1.52279e-41
0.374776, 0, 2.29403e-10, 2.11026e-40, 1.41421, -2.29403e-10, 0, 2.11026e-40, 2.11026e-40, 2.11026e-40, 2.11026e-40, 2.11026e-40, 2.11026e-40, 2.11026e-40, 2.11026e-40, 9.85174e-13, 2.11026e-40, 2.11026e-40, 2.1433e-15, 2.11026e-40, 2.11026e-40, 2.28416e-10, 2.11026e-40, 2.11026e-40, 2.11026e-40
0.382652, 0, 3.96999e-10, 2.6272e-39, 1.41421, -3.96999e-10, 0, 2.6272e-39, 2.6272e-39, 2.6272e-39, 2.6272e-39, 2.6272e-39, 2.6272e-39, 2.6272e-39, 2.6272e-39, 1.70536e-12, 2.6272e-39, 2.6272e-39, 3.85518e-15, 2.6272e-39, 2.6272e-39, 3.9529e-10, 2.6272e-39, 2.6272e-39, 2.6272e-39
0.390528, 0, 6.79697e-10, 2.94873e-38, 1.41421, -6.79697e-10, 0, 2.94873e-38, 2.94873e-38, 2.94873e-38, 2.94873e-38, 2.94873e-38, 2.94873e-38, 2.94873e-38, 2.94873e-38, 2.92073e-12, 2.94873e-38, 2.94873e-38, 6.89067e-15, 2.94873e-38, 2.94873e-38, 6.76769e-10, 2.94873e-38, 2.94873e-38, 2.94873e-38
0.398404, 0, 1.15136e-09, 2.99425e-37, 1.41421, -1.15136e-09, 0, 2.99425e-37, 2.99425e-37, 2.99425e-37, 2.99425e-37, 2.99425e-37, 2.99425e-37, 2.99425e-37, 2.99425e-37, 4.94973e-12, 2.99425e-37, 2.99425e-37, 1.22482e-14, 2.99425e-37, 2.99425e-37, 1.1464e-09, 2.99425e-37, 2.99425e-37, 2.99425e-37
0.40628, 0, 1.9298e-09, 2.76984e-36, 1.41421, -1.9298e-09, 0, 2.76984e-36, 2.76984e-36, 2.76984e-36, 2.76984e-36, 2.76984e-36, 2.76984e-36, 2.76984e-36, 2.76984e-36, 8.30106e-12, 2.76984e-36, 2.76984e-36, 2.16688e-14, 2.76984e-36, 2.76984e-36, 1.92147e-09, 2.76984e-36, 2.76984e-36, 2.76984e-36
0.414156, 0, 3.20076e-09, 2.34733e-35, 1.41421, -3.20076e-09, 0, 2.34733e-35, 2.34733e-35, 2.34733e-35, 2.34733e-35, 2.34733e-35, 2.34733e-35, 2.34733e-35, 2.34733e-35, 1.37783e-11, 2.34733e-35, 2.34733e-35, 3.81877e-14, 2.34733e-35, 2.34733e-35, 3.18694e-09, 2.34733e-35, 2.34733e-35, 2.34733e-35
0.422032, 0, 5.25378e-09, 1.82931e-34, 1.41421, -5.25378e-09, 0, 1.82931e-34, 1.82931e-34, 1.82931e-34, 1.82931e-34, 1.82931e-34, 1.82931e-34, 1.82931e-34, 1.82931e-34, 2.26372e-11, 1.82931e-34, 1.82931e-34, 6.7097e-14, 1.82931e-34, 1.82931e-34, 5.23107e-09, 1.82931e-34, 1.82931e-34, 1.82931e-34
0.429908, 0, 8.53503e-09, 1.31656e-33, 1.41421, -8.53503e-09, 0, 1.31656e-33, 1.31656e-33, 1.31656e-33, 1.31656e-33, 1.31656e-33, 1.31656e-33, 1.31656e-33, 1.31656e-33, 3.68186e-11, 1.31656e-33, 1.31656e-33, 1.1763e-13, 1.31656e-33, 1.31656e-33, 8.4981e-09, 1.31656e-33, 1.31656e-33, 1.31656e-33
