   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_135.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Zn_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0287986, 270, 0, 0, 16.4924, 270, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0209264, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0130543, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00518212, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00269002, 0, 4.81216e-23, 0, 1.41421, -4.81216e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.85451e-25, 0, 4.74974e-28, 0, 4.78356e-23, 0, 0, 0
0.0105622, 0, 1.27355e-22, 0, 1.41421, -1.27355e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.55457e-25, 0, 1.27677e-27, 0, 1.26599e-22, 0, 0, 0
0.0184343, 0, 3.29226e-22, 0, 1.41421, -3.29226e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.95293e-24, 0, 3.35234e-27, 0, 3.2727e-22, 0, 0, 0
0.0263065, 0, 8.32911e-22, 0, 1.41421, -8.32911e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.94073e-24, 0, 8.6142e-27, 0, 8.27962e-22, 0, 0, 0
0.0341786, 0, 2.06545e-21, 0, 1.41421, -2.06545e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.2252e-23, 0, 2.16971e-26, 0, 2.05318e-21, 0, 0, 0
0.0420507, 0, 5.02721e-21, 0, 1.41421, -5.02721e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.98208e-23, 0, 5.36417e-26, 0, 4.99733e-21, 0, 0, 0
0.0499229, 0, 1.20233e-20, 0, 1.41421, -1.20233e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.13205e-23, 0, 1.3032e-25, 0, 1.19518e-20, 0, 0, 0
0.057795, 0, 2.82832e-20, 0, 1.41421, -2.82832e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.67773e-22, 0, 3.11432e-25, 0, 2.81152e-20, 0, 0, 0
0.0656672, 0, 6.54963e-20, 0, 1.41421, -6.54963e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.88516e-22, 0, 7.32711e-25, 0, 6.51071e-20, 0, 0, 0
0.0735393, 0, 1.4942e-19, 0, 1.41421, -1.4942e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.86337e-22, 0, 1.69844e-24, 0, 1.48531e-19, 0, 0, 0
0.0814115, 0, 3.36036e-19, 0, 1.41421, -3.36036e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.99332e-21, 0, 3.88154e-24, 0, 3.34039e-19, 0, 0, 0
0.0892836, 0, 7.45423e-19, 0, 1.41421, -7.45423e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.42175e-21, 0, 8.7509e-24, 0, 7.40992e-19, 0, 0, 0
0.0971557, 0, 1.63186e-18, 0, 1.41421, -1.63186e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.68e-21, 0, 1.94728e-23, 0, 1.62216e-18, 0, 0, 0
0.105028, 0, 3.52719e-18, 0, 1.41421, -3.52719e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.09228e-20, 0, 4.27892e-23, 0, 3.50623e-18, 0, 0, 0
0.1129, 0, 7.53036e-18, 0, 1.41421, -7.53036e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.46691e-20, 0, 9.28874e-23, 0, 7.4856e-18, 0, 0, 0
0.120772, 0, 1.58857e-17, 0, 1.41421, -1.58857e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.4232e-20, 0, 1.9928e-22, 0, 1.57913e-17, 0, 0, 0
0.128644, 0, 3.31254e-17, 0, 1.41421, -3.31254e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.96496e-19, 0, 4.22715e-22, 0, 3.29285e-17, 0, 0, 0
0.136516, 0, 6.93712e-17, 0, 1.41421, -6.93712e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.115e-19, 0, 9.04669e-22, 0, 6.89588e-17, 0, 0, 0
0.144389, 0, 1.41198e-16, 0, 1.41421, -1.41198e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.37566e-19, 0, 1.87342e-21, 0, 1.40358e-16, 0, 0, 0
0.152261, 0, 2.8436e-16, 0, 1.41421, -2.8436e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.68678e-18, 0, 3.83957e-21, 0, 2.8267e-16, 0, 0, 0
0.160133, 0, 5.66752e-16, 0, 1.41421, -5.66752e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.36189e-18, 0, 7.78983e-21, 0, 5.63382e-16, 0, 0, 0
0.168005, 0, 1.1181e-15, 0, 1.41421, -1.1181e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.63242e-18, 0, 1.56481e-20, 0, 1.11146e-15, 0, 0, 0
0.175877, 0, 2.1838e-15, 0, 1.41421, -2.1838e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.2954e-17, 0, 3.11287e-20, 0, 2.17082e-15, 0, 0, 0
0.183749, 0, 4.22336e-15, 0, 1.41421, -4.22336e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.50522e-17, 0, 6.13347e-20, 0, 4.19824e-15, 0, 0, 0
0.191621, 0, 8.08869e-15, 0, 1.41421, -8.08869e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.79806e-17, 0, 1.1972e-19, 0, 8.04059e-15, 0, 0, 0
0.199494, 0, 1.53438e-14, 0, 1.41421, -1.53438e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.10166e-17, 0, 2.31527e-19, 0, 1.52526e-14, 0, 0, 0
0.207366, 0, 2.88323e-14, 0, 1.41421, -2.88323e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.71027e-16, 0, 4.43688e-19, 0, 2.86608e-14, 0, 0, 0
0.215238, 0, 5.36739e-14, 0, 1.41421, -5.36739e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.18381e-16, 0, 8.4269e-19, 0, 5.33547e-14, 0, 0, 0
0.22311, 0, 9.89996e-14, 0, 1.41421, -9.89996e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.87242e-16, 0, 1.58646e-18, 0, 9.84107e-14, 0, 0, 0
0.230982, 0, 1.80939e-13, 0, 1.41421, -1.80939e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.07329e-15, 0, 2.9609e-18, 0, 1.79863e-13, 0, 0, 0
0.238854, 0, 3.27717e-13, 0, 1.41421, -3.27717e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.94394e-15, 0, 5.47906e-18, 0, 3.25768e-13, 0, 0, 0
0.246726, 0, 5.88261e-13, 0, 1.41421, -5.88261e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.48943e-15, 0, 1.0054e-17, 0, 5.84762e-13, 0, 0, 0
0.254599, 0, 1.0466e-12, 0, 1.41421, -1.0466e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.2082e-15, 0, 1.82974e-17, 0, 1.04037e-12, 0, 0, 0
0.262471, 0, 1.84569e-12, 0, 1.41421, -1.84569e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.09484e-14, 0, 3.30314e-17, 0, 1.83471e-12, 0, 0, 0
0.270343, 0, 3.22657e-12, 0, 1.41421, -3.22657e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.91398e-14, 0, 5.916e-17, 0, 3.20737e-12, 0, 0, 0
0.278215, 0, 5.59176e-12, 0, 1.41421, -5.59176e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.31709e-14, 0, 1.05142e-16, 0, 5.55849e-12, 0, 0, 0
0.286087, 0, 9.60756e-12, 0, 1.41421, -9.60756e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.6995e-14, 0, 1.85466e-16, 0, 9.55038e-12, 0, 0, 0
0.293959, 0, 1.63665e-11, 0, 1.41421, -1.63665e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.70963e-14, 0, 3.24788e-16, 0, 1.62691e-11, 0, 0, 0
0.301831, 0, 2.76443e-11, 0, 1.41421, -2.76443e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.64014e-13, 0, 5.64814e-16, 0, 2.74797e-11, 0, 0, 0
0.309704, 0, 4.63001e-11, 0, 1.41421, -4.63001e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.74726e-13, 0, 9.75691e-16, 0, 4.60244e-11, 0, 0, 0
0.317576, 0, 7.68964e-11, 0, 1.41421, -7.68964e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.5633e-13, 0, 1.67481e-15, 0, 7.64384e-11, 0, 0, 0
0.325448, 0, 1.26649e-10, 2.57839e-43, 1.41421, -1.26649e-10, 0, 2.57839e-43, 2.57839e-43, 2.57839e-43, 2.57839e-43, 2.57839e-43, 2.57839e-43, 2.57839e-43, 2.57839e-43, 2.57839e-43, 2.57839e-43, 7.51705e-13, 2.57839e-43, 2.85783e-15, 2.57839e-43, 1.25894e-10, 2.57839e-43, 2.57839e-43, 2.57839e-43
0.33332, 0, 2.06866e-10, 4.45473e-42, 1.41421, -2.06866e-10, 0, 4.45473e-42, 4.45473e-42, 4.45473e-42, 4.45473e-42, 4.45473e-42, 4.45473e-42, 4.45473e-42, 4.45473e-42, 4.45473e-42, 4.45473e-42, 1.22808e-12, 4.45473e-42, 4.8496e-15, 4.45473e-42, 2.05633e-10, 4.45473e-42, 4.45473e-42, 4.45473e-42
0.341192, 0, 3.35111e-10, 6.39651e-41, 1.41421, -3.35111e-10, 0, 6.39651e-41, 6.39651e-41, 6.39651e-41, 6.39651e-41, 6.39651e-41, 6.39651e-41, 6.39651e-41, 6.39651e-41, 6.39651e-41, 6.39651e-41, 1.98998e-12, 6.39651e-41, 8.18802e-15, 6.39651e-41, 3.33113e-10, 6.39651e-41, 6.39651e-41, 6.39651e-41
0.349064, 0, 5.3842e-10, 8.12617e-40, 1.41421, -5.3842e-10, 0, 8.12617e-40, 8.12617e-40, 8.12617e-40, 8.12617e-40, 8.12617e-40, 8.12617e-40, 8.12617e-40, 8.12617e-40, 8.12617e-40, 8.12617e-40, 3.19841e-12, 8.12617e-40, 1.37617e-14, 8.12617e-40, 5.35208e-10, 8.12617e-40, 8.12617e-40, 8.12617e-40
0.356936, 0, 8.58038e-10, 9.25341e-39, 1.41421, -8.58038e-10, 0, 9.25341e-39, 9.25341e-39, 9.25341e-39, 9.25341e-39, 9.25341e-39, 9.25341e-39, 9.25341e-39, 9.25341e-39, 9.25341e-39, 9.25341e-39, 5.09933e-12, 9.25341e-39, 2.30369e-14, 9.25341e-39, 8.52916e-10, 9.25341e-39, 9.25341e-39, 9.25341e-39
0.364809, 0, 1.35633e-09, 9.51991e-38, 1.41421, -1.35633e-09, 0, 9.51991e-38, 9.51991e-38, 9.51991e-38, 9.51991e-38, 9.51991e-38, 9.51991e-38, 9.51991e-38, 9.51991e-38, 9.51991e-38, 9.51991e-38, 8.06517e-12, 9.51991e-38, 3.84301e-14, 9.51991e-38, 1.34823e-09, 9.51991e-38, 9.51991e-38, 9.51991e-38
0.372681, 0, 2.12677e-09, 8.89687e-37, 1.41421, -2.12677e-09, 0, 8.89687e-37, 8.89687e-37, 8.89687e-37, 8.89687e-37, 8.89687e-37, 8.89687e-37, 8.89687e-37, 8.89687e-37, 8.89687e-37, 8.89687e-37, 1.26551e-11, 8.89687e-37, 6.39237e-14, 8.89687e-37, 2.11405e-09, 8.89687e-37, 8.89687e-37, 8.89687e-37
0.380553, 0, 3.30819e-09, 7.59533e-36, 1.41421, -3.30819e-09, 0, 7.59533e-36, 7.59533e-36, 7.59533e-36, 7.59533e-36, 7.59533e-36, 7.59533e-36, 7.59533e-36, 7.59533e-36, 7.59533e-36, 7.59533e-36, 1.97018e-11, 7.59533e-36, 1.06081e-13, 7.59533e-36, 3.28838e-09, 7.59533e-36, 7.59533e-36, 7.59533e-36
0.388425, 0, 5.10502e-09, 5.95191e-35, 1.41421, -5.10502e-09, 0, 5.95191e-35, 5.95191e-35, 5.95191e-35, 5.95191e-35, 5.95191e-35, 5.95191e-35, 5.95191e-35, 5.95191e-35, 5.95191e-35, 5.95191e-35, 3.04344e-11, 5.95191e-35, 1.75721e-13, 5.95191e-35, 5.07441e-09, 5.95191e-35, 5.95191e-35, 5.95191e-35
0.396297, 0, 7.81565e-09, 4.30037e-34, 1.41421, -7.81565e-09, 0, 4.30037e-34, 4.30037e-34, 4.30037e-34, 4.30037e-34, 4.30037e-34, 4.30037e-34, 4.30037e-34, 4.30037e-34, 4.30037e-34, 4.30037e-34, 4.66533e-11, 4.30037e-34, 2.90683e-13, 4.30037e-34, 7.7687e-09, 4.30037e-34, 4.30037e-34, 4.30037e-34
0.404169, 0, 1.18718e-08, 2.96756e-33, 1.41421, -1.18718e-08, 0, 2.96756e-33, 2.96756e-33, 2.96756e-33, 2.96756e-33, 2.96756e-33, 2.96756e-33, 2.96756e-33, 2.96756e-33, 2.96756e-33, 2.96756e-33, 7.09739e-11, 2.96756e-33, 4.80386e-13, 2.96756e-33, 1.18003e-08, 2.96756e-33, 2.96756e-33, 2.96756e-33
0.412042, 0, 1.78927e-08, 1.87092e-32, 1.41421, -1.78927e-08, 0, 1.87092e-32, 1.87092e-32, 1.87092e-32, 1.87092e-32, 1.87092e-32, 1.87092e-32, 1.87092e-32, 1.87092e-32, 1.87092e-32, 1.87092e-32, 1.07166e-10, 1.87092e-32, 7.93328e-13, 1.87092e-32, 1.77847e-08, 1.87092e-32, 1.87092e-32, 1.87092e-32
0.419914, 0, 2.67598e-08, 2.65106e-31, 1.41421, -2.67598e-08, 0, 2.65106e-31, 2.65106e-31, 2.65106e-31, 2.65106e-31, 2.65106e-31, 2.65106e-31, 2.65106e-31, 2.65106e-31, 2.65106e-31, 2.65106e-31, 1.60629e-10, 2.65106e-31, 1.31111e-12, 2.65106e-31, 2.65978e-08, 2.65106e-31, 2.65106e-31, 2.65106e-31
0.427786, 0, 3.97131e-08, 1.42652e-30, 1.41421, -3.97131e-08, 0, 1.42652e-30, 1.42652e-30, 1.42652e-30, 1.42652e-30, 1.42652e-30, 1.42652e-30, 1.42652e-30, 1.42652e-30, 1.42652e-30, 1.42652e-30, 2.39006e-10, 1.42652e-30, 2.16258e-12, 1.42652e-30, 3.94719e-08, 1.42652e-30, 1.42652e-30, 1.42652e-30
0.435658, 0, 5.84889e-08, 7.26174e-30, 1.41421, -5.84889e-08, 0, 7.26174e-30, 7.26174e-30, 7.26174e-30, 7.26174e-30, 7.26174e-30, 7.26174e-30, 7.26174e-30, 7.26174e-30, 7.26174e-30, 7.26174e-30, 3.53091e-10, 7.26174e-30, 3.56455e-12, 7.26174e-30, 5.81323e-08, 7.26174e-30, 7.26174e-30, 7.26174e-30
0.44353, 0, 8.54934e-08, 3.49116e-29, 1.41421, -8.54934e-08, 0, 3.49116e-29, 3.49116e-29, 3.49116e-29, 3.49116e-29, 3.49116e-29, 3.49116e-29, 3.49116e-29, 3.49116e-29, 3.49116e-29, 3.49116e-29, 5.17982e-10, 3.49116e-29, 5.86992e-12, 3.49116e-29, 8.49695e-08, 3.49116e-29, 3.49116e-29, 3.49116e-29
0.451402, 0, 1.24034e-07, 1.60625e-28, 1.41421, -1.24034e-07, 0, 1.60625e-28, 1.60625e-28, 1.60625e-28, 1.60625e-28, 1.60625e-28, 1.60625e-28, 1.60625e-28, 1.60625e-28, 1.60625e-28, 1.60625e-28, 7.54661e-10, 1.60625e-28, 9.6537e-12, 1.60625e-28, 1.23269e-07, 1.60625e-28, 1.60625e-28, 1.60625e-28
0.459274, 0, 1.78619e-07, 7.04139e-28, 1.41421, -1.78619e-07, 0, 7.04139e-28, 7.04139e-28, 7.04139e-28, 7.04139e-28, 7.04139e-28, 7.04139e-28, 7.04139e-28, 7.04139e-28, 7.04139e-28, 7.04139e-28, 1.0921e-09, 7.04139e-28, 1.58487e-11, 7.04139e-28, 1.77511e-07, 7.04139e-28, 7.04139e-28, 7.04139e-28
0.467147, 0, 2.55346e-07, 2.93899e-27, 1.41421, -2.55346e-07, 0, 2.93899e-27, 2.93899e-27, 2.93899e-27, 2.93899e-27, 2.93899e-27, 2.93899e-27, 2.93899e-27, 2.93899e-27, 2.93899e-27, 2.93899e-27, 1.57002e-09, 2.93899e-27, 2.59601e-11, 2.93899e-27, 2.5375e-07, 2.93899e-27, 2.93899e-27, 2.93899e-27
0.475019, 0, 3.62393e-07, 1.16974e-26, 1.41421, -3.62393e-07, 0, 1.16974e-26, 1.16974e-26, 1.16974e-26, 1.16974e-26, 1.16974e-26, 1.16974e-26, 1.16974e-26, 1.16974e-26, 1.16974e-26, 1.16974e-26, 2.24259e-09, 1.16974e-26, 4.2402e-11, 1.16974e-26, 3.60108e-07, 1.16974e-26, 1.16974e-26, 1.16974e-26
0.482891, 0, 5.10641e-07, 4.4475e-26, 1.41421, -5.10641e-07, 0, 4.4475e-26, 4.4475e-26, 4.4475e-26, 4.4475e-26, 4.4475e-26, 4.4475e-26, 1.91114e-12, 4.4475e-26, 4.4475e-26, 4.4475e-26, 3.18318e-09, 4.4475e-26, 6.90217e-11, 4.4475e-26, 5.07387e-07, 4.4475e-26, 4.4475e-26, 4.4475e-26
0.490763, 0, 7.14454e-07, 1.61877e-25, 1.41421, -7.14454e-07, 0, 1.61877e-25, 1.61877e-25, 1.61877e-25, 1.61877e-25, 1.61877e-25, 1.61877e-25, 6.65187e-12, 1.61877e-25, 1.61877e-25, 1.61877e-25, 4.49057e-09, 1.61877e-25, 1.11907e-10, 1.61877e-25, 7.09845e-07, 1.61877e-25, 1.61877e-25, 1.61877e-25
0.498635, 0, 9.92635e-07, 5.69738e-25, 1.41421, -9.92635e-07, 0, 5.69738e-25, 5.69738e-25, 5.69738e-25, 5.69738e-25, 5.69738e-25, 5.69738e-25, 1.80271e-11, 5.69738e-25, 5.69738e-25, 5.69738e-25, 6.29698e-09, 5.69738e-25, 1.80616e-10, 5.69738e-25, 9.86139e-07, 5.69738e-25, 5.69738e-25, 5.69738e-25
0.506507, 0, 1.37177e-06, 2.35164e-10, 1.41421, -1.37177e-06, 2.35164e-10, 2.35197e-10, 2.35247e-10, 4.85571e-10, 2.39768e-10, 2.35333e-10, 2.51525e-10, 3.69709e-10, 3.45363e-10, 2.37096e-10, 1.50271e-09, 9.0137e-09, 2.36667e-10, 5.2521e-10, 2.35165e-10, 1.3609e-06, 2.35164e-10, 2.35164e-10, 2.52145e-10
0.514379, 0, 1.8844e-06, 8.12542e-10, 1.41421, -1.8844e-06, 8.12542e-10, 8.12654e-10, 8.12828e-10, 1.67929e-09, 8.28477e-10, 8.13126e-10, 8.69171e-10, 1.22886e-09, 1.19398e-09, 8.19228e-10, 5.20001e-09, 1.29805e-08, 8.17743e-10, 1.27581e-09, 8.12545e-10, 1.86557e-06, 8.12542e-10, 8.12542e-10, 8.71317e-10
0.522252, 0, 2.57536e-06, 2.1882e-09, 1.41421, -2.57536e-06, 2.1882e-09, 2.1885e-09, 2.18897e-09, 4.52561e-09, 2.23117e-09, 2.18977e-09, 2.34091e-09, 3.26653e-09, 3.21684e-09, 2.20623e-09, 1.40201e-08, 1.89596e-08, 2.20222e-09, 2.92376e-09, 2.18821e-09, 2.54119e-06, 2.1882e-09, 2.1882e-09, 2.3467e-09
0.530124, 0, 3.50541e-06, 5.38122e-09, 1.41421, -3.50541e-06, 5.38122e-09, 5.38196e-09, 5.38312e-09, 1.11331e-08, 5.48696e-09, 5.3851e-09, 5.75701e-09, 7.97501e-09, 7.91249e-09, 5.42559e-09, 3.44969e-08, 2.83703e-08, 5.41573e-09, 6.54179e-09, 5.38124e-09, 3.44031e-06, 5.38122e-09, 5.38122e-09, 5.77125e-09
0.537996, 0, 4.76015e-06, 1.26039e-08, 1.41421, -4.76015e-06, 1.26039e-08, 1.26057e-08, 1.26084e-08, 2.6081e-08, 1.28517e-08, 1.2613e-08, 1.34844e-08, 1.85793e-08, 1.85349e-08, 1.27079e-08, 8.08242e-08, 4.39449e-08, 1.26848e-08, 1.4423e-08, 1.2604e-08, 4.63114e-06, 1.26039e-08, 1.26039e-08, 1.35178e-08
0.545868, 0, 6.46585e-06, 2.85362e-08, 1.41421, -6.46585e-06, 2.85362e-08, 2.85401e-08, 2.85463e-08, 5.90569e-08, 2.90973e-08, 2.85567e-08, 3.05302e-08, 4.28e-08, 4.19677e-08, 2.87716e-08, 1.83031e-07, 7.10346e-08, 2.87193e-08, 3.1368e-08, 2.85363e-08, 6.20273e-06, 2.85362e-08, 2.85362e-08, 3.06058e-08
0.55374, 0, 8.81627e-06, 6.282e-08, 1.41421, -8.81627e-06, 6.282e-08, 6.28287e-08, 6.28422e-08, 1.30022e-07, 6.40554e-08, 6.28653e-08, 6.72106e-08, 9.59272e-08, 9.2394e-08, 6.33384e-08, 4.02992e-07, 1.20143e-07, 6.32232e-08, 6.71972e-08, 6.28202e-08, 8.27333e-06, 6.282e-08, 6.282e-08, 6.7377e-08
0.561612, 2, 1.21413e-05, 1.348e-07, 2, 1.99999, 1.348e-07, 1.34819e-07, 1.34848e-07, 2.79027e-07, 1.37452e-07, 1.34898e-07, 1.44223e-07, 2.26829e-07, 1.98272e-07, 1.35913e-07, 8.64871e-07, 2.11715e-07, 1.35666e-07, 1.41518e-07, 1.34801e-07, 1.10039e-05, 1.348e-07, 1.348e-07, 1.4458e-07
0.569484, 0, 1.69693e-05, 2.82273e-07, 1.41421, -1.69693e-05, 2.82273e-07, 2.82312e-07, 2.82373e-07, 5.84334e-07, 2.87827e-07, 2.82477e-07, 3.02008e-07, 5.03959e-07, 4.15204e-07, 2.84604e-07, 1.81129e-06, 3.84942e-07, 2.84086e-07, 2.92507e-07, 2.82274e-07, 1.46204e-05, 2.82273e-07, 2.82273e-07, 3.02756e-07
0.577357, 0, 2.42245e-05, 5.77155e-07, 1.41421, -2.42245e-05, 5.77155e-07, 5.77234e-07, 5.77359e-07, 1.19486e-06, 5.88511e-07, 5.77571e-07, 6.17512e-07, 1.07856e-06, 8.48996e-07, 5.8192e-07, 3.70398e-06, 7.13499e-07, 5.80861e-07, 5.92634e-07, 5.77157e-07, 1.94522e-05, 5.77155e-07, 5.77155e-07, 6.19042e-07
0.585229, 0, 3.55175e-05, 1.15266e-06, 1.41421, -3.55175e-05, 1.15266e-06, 1.15282e-06, 1.15307e-06, 2.38652e-06, 1.17535e-06, 1.15349e-06, 1.23328e-06, 2.24438e-06, 1.69566e-06, 1.16218e-06, 7.39839e-06, 1.33282e-06, 1.16007e-06, 1.1759e-06, 1.15267e-06, 2.59945e-05, 1.15266e-06, 1.15266e-06, 1.23633e-06
0.593101, 0, 5.36546e-05, 2.24909e-06, 1.41421, -5.36546e-05, 2.24909e-06, 2.2494e-06, 2.24988e-06, 4.657e-06, 2.29335e-06, 2.25071e-06, 2.40641e-06, 4.55954e-06, 3.30876e-06, 2.26766e-06, 1.44379e-05, 2.48596e-06, 2.26353e-06, 2.28371e-06, 2.24909e-06, 3.50157e-05, 2.24909e-06, 2.24909e-06, 2.41237e-06
0.600973, 0, 8.34922e-05, 4.28837e-06, 1.41421, -8.34922e-05, 4.28837e-06, 4.28896e-06, 4.28989e-06, 8.88037e-06, 4.37279e-06, 4.29146e-06, 4.58838e-06, 9.07019e-06, 6.30921e-06, 4.32379e-06, 2.75329e-05, 4.59833e-06, 4.31592e-06, 4.3396e-06, 4.28838e-06, 4.77279e-05, 4.28837e-06, 4.28837e-06, 4.59975e-06
0.608845, 0, 0.000133339, 7.99171e-06, 1.41421, -0.000133339, 7.99171e-06, 7.99281e-06, 7.99454e-06, 1.65508e-05, 8.14906e-06, 7.99748e-06, 8.55091e-06, 1.77155e-05, 1.17584e-05, 8.05773e-06, 5.13173e-05, 8.39544e-06, 8.04306e-06, 8.06697e-06, 7.99174e-06, 6.60605e-05, 7.99171e-06, 7.99171e-06, 8.5721e-06
0.616717, 2, 0.000217131, 1.45588e-05, 2, 1.99978, 1.45588e-05, 1.45608e-05, 1.45639e-05, 3.01539e-05, 1.48455e-05, 1.45693e-05, 1.55777e-05, 3.3983e-05, 2.14219e-05, 1.46791e-05, 9.35007e-05, 1.50824e-05, 1.46524e-05, 1.46686e-05, 1.45588e-05, 9.30786e-05, 1.45588e-05, 1.45588e-05, 1.56163e-05
0.624589, 0, 0.000357825, 2.59311e-05, 1.41421, -0.000357825, 2.59311e-05, 2.59347e-05, 2.59403e-05, 5.37131e-05, 2.64418e-05, 2.59498e-05, 2.77462e-05, 6.40373e-05, 3.81573e-05, 2.61454e-05, 0.000166563, 2.66074e-05, 2.60978e-05, 2.60902e-05, 2.59312e-05, 0.000133621, 2.59311e-05, 2.59311e-05, 2.7815e-05
0.632462, 0, 0.000592419, 4.51653e-05, 1.41421, -0.000592419, 4.51653e-05, 4.51715e-05, 4.51813e-05, 9.35634e-05, 4.6055e-05, 4.51979e-05, 4.83274e-05, 0.000118563, 6.64642e-05, 4.55386e-05, 0.000290155, 4.60355e-05, 4.54557e-05, 4.53946e-05, 4.51655e-05, 0.000195183, 4.51653e-05, 4.51653e-05, 4.84472e-05
0.640334, 0, 0.000979306, 7.69409e-05, 1.41421, -0.000979306, 7.69409e-05, 7.69516e-05, 7.69682e-05, 0.000159405, 7.8457e-05, 7.69965e-05, 8.23287e-05, 0.000215705, 0.000113231, 7.75771e-05, 0.000494368, 7.8057e-05, 7.74357e-05, 7.72692e-05, 7.69412e-05, 0.000289196, 7.69409e-05, 7.69409e-05, 8.25328e-05
