   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_86.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0299708, 172, 0, 0, 13.1909, 172, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.022092, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0142131, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0063343, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00154453, 0, 6.76445e-21, 0, 1.41421, -6.76445e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.28246e-23, 0, 1.84075e-25, 0, 4.84964e-25, 0, 6.72095e-21, 0, 0, 0
0.00942337, 0, 1.50808e-20, 0, 1.41421, -1.50808e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.5474e-23, 0, 4.17522e-25, 0, 1.10105e-24, 0, 1.49838e-20, 0, 0, 0
0.0173022, 0, 3.31542e-20, 0, 1.41421, -3.31542e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.09893e-22, 0, 9.3379e-25, 0, 2.46384e-24, 0, 3.29409e-20, 0, 0, 0
0.025181, 0, 7.19215e-20, 0, 1.41421, -7.19215e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.55321e-22, 0, 2.06065e-24, 0, 5.43828e-24, 0, 7.14587e-20, 0, 0, 0
0.0330599, 0, 1.54042e-19, 0, 1.41421, -1.54042e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.75209e-22, 0, 4.4896e-24, 0, 1.18481e-23, 0, 1.53051e-19, 0, 0, 0
0.0409387, 0, 3.25914e-19, 0, 1.41421, -3.25914e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.06329e-21, 0, 9.66251e-24, 0, 2.54933e-23, 0, 3.23816e-19, 0, 0, 0
0.0488175, 0, 6.81467e-19, 0, 1.41421, -6.81467e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.3142e-21, 0, 2.05521e-23, 0, 5.42035e-23, 0, 6.77078e-19, 0, 0, 0
0.0566964, 0, 1.40878e-18, 0, 1.41421, -1.40878e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.91861e-21, 0, 4.3221e-23, 0, 1.13935e-22, 0, 1.3997e-18, 0, 0, 0
0.0645752, 0, 2.8804e-18, 0, 1.41421, -2.8804e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.82351e-20, 0, 8.99019e-23, 0, 2.36863e-22, 0, 2.86184e-18, 0, 0, 0
0.072454, 0, 5.82669e-18, 0, 1.41421, -5.82669e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.68872e-20, 0, 1.85025e-22, 0, 4.87214e-22, 0, 5.78913e-18, 0, 0, 0
0.0803329, 0, 1.16648e-17, 0, 1.41421, -1.16648e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.38464e-20, 0, 3.76893e-22, 0, 9.91918e-22, 0, 1.15896e-17, 0, 0, 0
0.0882117, 0, 2.31174e-17, 0, 1.41421, -2.31174e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.46349e-19, 0, 7.6008e-22, 0, 1.99944e-21, 0, 2.29682e-17, 0, 0, 0
0.0960905, 0, 4.53643e-17, 0, 1.41421, -4.53643e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.87187e-19, 0, 1.518e-21, 0, 3.99162e-21, 0, 4.50716e-17, 0, 0, 0
0.103969, 0, 8.81669e-17, 0, 1.41421, -8.81669e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.58156e-19, 0, 3.00303e-21, 0, 7.89442e-21, 0, 8.75978e-17, 0, 0, 0
0.111848, 0, 1.69748e-16, 0, 1.41421, -1.69748e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.07461e-18, 0, 5.88611e-21, 0, 1.54715e-20, 0, 1.68652e-16, 0, 0, 0
0.119727, 0, 3.23813e-16, 0, 1.41421, -3.23813e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.04994e-18, 0, 1.14332e-20, 0, 3.00534e-20, 0, 3.21721e-16, 0, 0, 0
0.127606, 0, 6.12145e-16, 0, 1.41421, -6.12145e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.87526e-18, 0, 2.20123e-20, 0, 5.78763e-20, 0, 6.0819e-16, 0, 0, 0
0.135485, 0, 1.14699e-15, 0, 1.41421, -1.14699e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.26113e-18, 0, 4.20145e-20, 0, 1.10522e-19, 0, 1.13957e-15, 0, 0, 0
0.143364, 0, 2.13046e-15, 0, 1.41421, -2.13046e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.34871e-17, 0, 7.95143e-20, 0, 2.09326e-19, 0, 2.11668e-15, 0, 0, 0
0.151242, 0, 3.92338e-15, 0, 1.41421, -3.92338e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.48372e-17, 0, 1.49235e-19, 0, 3.93284e-19, 0, 3.898e-15, 0, 0, 0
0.159121, 0, 7.16433e-15, 0, 1.41421, -7.16433e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.5354e-17, 0, 2.77805e-19, 0, 7.33119e-19, 0, 7.11797e-15, 0, 0, 0
0.167, 0, 1.29739e-14, 0, 1.41421, -1.29739e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.21315e-17, 0, 5.12991e-19, 0, 1.35612e-18, 0, 1.28899e-14, 0, 0, 0
0.174879, 0, 2.33022e-14, 0, 1.41421, -2.33022e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.47514e-16, 0, 9.39801e-19, 0, 2.48969e-18, 0, 2.31513e-14, 0, 0, 0
0.182758, 0, 4.1514e-14, 0, 1.41421, -4.1514e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.62802e-16, 0, 1.70839e-18, 0, 4.53711e-18, 0, 4.12449e-14, 0, 0, 0
0.190637, 0, 7.33676e-14, 0, 1.41421, -7.33676e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.64448e-16, 0, 3.08185e-18, 0, 8.20845e-18, 0, 7.28918e-14, 0, 0, 0
0.198515, 0, 1.28637e-13, 0, 1.41421, -1.28637e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.14323e-16, 0, 5.51777e-18, 0, 1.47451e-17, 0, 1.27802e-13, 0, 0, 0
0.206394, 0, 2.23773e-13, 0, 1.41421, -2.23773e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.41657e-15, 0, 9.80596e-18, 0, 2.63021e-17, 0, 2.22321e-13, 0, 0, 0
0.214273, 0, 3.86248e-13, 0, 1.41421, -3.86248e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.44511e-15, 0, 1.72999e-17, 0, 4.65953e-17, 0, 3.83739e-13, 0, 0, 0
0.222152, 0, 6.61556e-13, 0, 1.41421, -6.61556e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.18794e-15, 0, 3.03024e-17, 0, 8.19884e-17, 0, 6.57255e-13, 0, 0, 0
0.230031, 0, 1.12444e-12, 0, 1.41421, -1.12444e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.11825e-15, 0, 5.27041e-17, 0, 1.43321e-16, 0, 1.11712e-12, 0, 0, 0
0.23791, 0, 1.8967e-12, 0, 1.41421, -1.8967e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.20072e-14, 0, 9.10349e-17, 0, 2.48911e-16, 0, 1.88435e-12, 0, 0, 0
0.245788, 0, 3.17524e-12, 0, 1.41421, -3.17524e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.01016e-14, 0, 1.56182e-16, 0, 4.29552e-16, 0, 3.15455e-12, 0, 0, 0
0.253667, 0, 5.27584e-12, 0, 1.41421, -5.27584e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.34011e-14, 0, 2.66184e-16, 0, 7.36681e-16, 0, 5.24144e-12, 0, 0, 0
0.261546, 0, 8.7009e-12, 0, 1.41421, -8.7009e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.50876e-14, 0, 4.50759e-16, 0, 1.25574e-15, 0, 8.6441e-12, 0, 0, 0
0.269425, 0, 1.42433e-11, 0, 1.41421, -1.42433e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.0184e-14, 0, 7.586e-16, 0, 2.12787e-15, 0, 1.41502e-11, 0, 0, 0
0.277304, 0, 2.31447e-11, 0, 1.41421, -2.31447e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.46557e-13, 0, 1.26906e-15, 0, 3.585e-15, 0, 2.29932e-11, 0, 0, 0
0.285183, 0, 3.73337e-11, 0, 1.41421, -3.73337e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.36434e-13, 0, 2.11086e-15, 0, 6.00634e-15, 0, 3.70892e-11, 0, 0, 0
0.293061, 0, 5.97829e-11, 0, 1.41421, -5.97829e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.78661e-13, 0, 3.49196e-15, 0, 1.00091e-14, 0, 5.93907e-11, 0, 0, 0
0.30094, 0, 9.50646e-11, 8.26766e-44, 1.41421, -9.50646e-11, 0, 8.26766e-44, 8.26766e-44, 8.26766e-44, 8.26766e-44, 8.26766e-44, 8.26766e-44, 8.26766e-44, 8.26766e-44, 8.26766e-44, 8.26766e-44, 8.26766e-44, 6.02262e-13, 8.26766e-44, 5.7576e-15, 8.26766e-44, 1.6624e-14, 8.26766e-44, 9.44399e-11, 8.26766e-44, 8.26766e-44, 8.26766e-44
