   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_33.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, Si_K, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0281957, 66, 0, 0, 8.24621, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0203044, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0124131, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00452181, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00336948, 0, 5.68549e-19, 0, 1.41421, -5.68549e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.57485e-24, 7.59249e-24, 0, 5.68537e-19, 0, 0, 0
0.0112608, 0, 1.17696e-18, 0, 1.41421, -1.17696e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.60352e-24, 1.60159e-23, 0, 1.17693e-18, 0, 0, 0
0.019152, 0, 2.4091e-18, 0, 1.41421, -2.4091e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.99369e-23, 3.34012e-23, 0, 2.40904e-18, 0, 0, 0
0.0270433, 0, 4.87784e-18, 0, 1.41421, -4.87784e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.0949e-23, 6.89013e-23, 0, 4.87773e-18, 0, 0, 0
0.0349346, 0, 9.7733e-18, 0, 1.41421, -9.7733e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.32439e-23, 1.40648e-22, 0, 9.77308e-18, 0, 0, 0
0.0428259, 0, 1.9384e-17, 0, 1.41421, -1.9384e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.67547e-22, 2.8422e-22, 0, 1.93836e-17, 0, 0, 0
0.0507172, 0, 3.80684e-17, 0, 1.41421, -3.80684e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.33988e-22, 5.68779e-22, 0, 3.80675e-17, 0, 0, 0
0.0586085, 0, 7.40495e-17, 0, 1.41421, -7.40495e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.59565e-22, 1.12756e-21, 0, 7.40477e-17, 0, 0, 0
0.0664998, 0, 1.427e-16, 0, 1.41421, -1.427e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.29071e-21, 2.21499e-21, 0, 1.42697e-16, 0, 0, 0
0.074391, 0, 2.72502e-16, 0, 1.41421, -2.72502e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.50348e-21, 4.31277e-21, 0, 2.72495e-16, 0, 0, 0
0.0822823, 0, 5.15753e-16, 0, 1.41421, -5.15753e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.81389e-21, 8.32531e-21, 0, 5.1574e-16, 0, 0, 0
0.0901736, 0, 9.67664e-16, 0, 1.41421, -9.67664e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.17846e-21, 1.59369e-20, 0, 9.67639e-16, 0, 0, 0
0.0980649, 0, 1.80006e-15, 0, 1.41421, -1.80006e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.73556e-20, 3.02592e-20, 0, 1.80002e-15, 0, 0, 0
0.105956, 0, 3.32047e-15, 0, 1.41421, -3.32047e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.25522e-20, 5.69964e-20, 0, 3.32038e-15, 0, 0, 0
0.113847, 0, 6.07464e-15, 0, 1.41421, -6.07464e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.05694e-20, 1.06525e-19, 0, 6.07447e-15, 0, 0, 0
0.121739, 0, 1.10231e-14, 0, 1.41421, -1.10231e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.1182e-19, 1.9758e-19, 0, 1.10228e-14, 0, 0, 0
0.12963, 0, 1.98429e-14, 0, 1.41421, -1.98429e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.0485e-19, 3.63742e-19, 0, 1.98423e-14, 0, 0, 0
0.137521, 0, 3.54379e-14, 0, 1.41421, -3.54379e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.72437e-19, 6.64766e-19, 0, 3.54368e-14, 0, 0, 0
0.145413, 0, 6.27964e-14, 0, 1.41421, -6.27964e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.72074e-19, 1.20622e-18, 0, 6.27945e-14, 0, 0, 0
0.153304, 0, 1.1042e-13, 0, 1.41421, -1.1042e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.20386e-18, 2.17336e-18, 0, 1.10417e-13, 0, 0, 0
0.161195, 0, 1.92683e-13, 0, 1.41421, -1.92683e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.14085e-18, 3.88899e-18, 0, 1.92677e-13, 0, 0, 0
0.169086, 0, 3.33699e-13, 0, 1.41421, -3.33699e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.77998e-18, 6.91185e-18, 0, 3.33688e-13, 0, 0, 0
0.176978, 0, 5.73609e-13, 0, 1.41421, -5.73609e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.62723e-18, 1.22027e-17, 0, 5.7359e-13, 0, 0, 0
0.184869, 0, 9.78712e-13, 0, 1.41421, -9.78712e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.15387e-17, 2.14029e-17, 0, 9.78679e-13, 0, 0, 0
0.19276, 0, 1.65767e-12, 0, 1.41421, -1.65767e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.9953e-17, 3.72978e-17, 0, 1.65761e-12, 0, 0, 0
0.200652, 0, 2.78722e-12, 0, 1.41421, -2.78722e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.42716e-17, 6.45861e-17, 0, 2.78712e-12, 0, 0, 0
0.208543, 0, 4.65843e-12, 0, 1.41421, -4.65843e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.86272e-17, 1.11511e-16, 0, 4.65826e-12, 0, 0, 0
0.216434, 0, 7.71914e-12, 0, 1.41421, -7.71914e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.93659e-17, 1.9069e-16, 0, 7.71885e-12, 0, 0, 0
0.224325, 0, 1.27e-11, 0, 1.41421, -1.27e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.67348e-16, 3.24152e-16, 0, 1.26995e-11, 0, 0, 0
0.232217, 0, 2.07476e-11, 0, 1.41421, -2.07476e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.80107e-16, 5.47809e-16, 0, 2.07468e-11, 0, 0, 0
0.240108, 0, 3.36568e-11, 0, 1.41421, -3.36568e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.66021e-16, 9.20492e-16, 0, 3.36554e-11, 0, 0, 0
0.247999, 0, 5.42173e-11, 0, 1.41421, -5.42173e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.70808e-16, 1.53808e-15, 0, 5.4215e-11, 0, 0, 0
0.255891, 0, 8.67318e-11, 0, 1.41421, -8.67318e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.26774e-15, 2.55599e-15, 0, 8.6728e-11, 0, 0, 0
0.263782, 0, 1.37788e-10, 0, 1.41421, -1.37788e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.07373e-15, 4.225e-15, 0, 1.37782e-10, 0, 0, 0
0.271673, 0, 2.17395e-10, 0, 1.41421, -2.17395e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.37461e-15, 6.94781e-15, 0, 2.17385e-10, 0, 0, 0
