   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_124.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ti_K, Ca_K, K_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.113658, 0, 1.48153e-17, 0, 1.41421, -1.48153e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.19496e-20, 0, 0, 3.33573e-22, 0, 1.4763e-17, 0, 0, 0
0.12153, 0, 3.08829e-17, 0, 1.41421, -3.08829e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0829e-19, 0, 0, 7.0402e-22, 0, 3.07739e-17, 0, 0, 0
0.129401, 0, 6.46402e-17, 0, 1.41421, -6.46402e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.2666e-19, 0, 0, 1.49741e-21, 0, 6.44121e-17, 0, 0, 0
0.137273, 0, 1.31515e-16, 0, 1.41421, -1.31515e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.61153e-19, 0, 0, 3.08608e-21, 0, 1.3105e-16, 0, 0, 0
0.145145, 0, 2.64738e-16, 0, 1.41421, -2.64738e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.28299e-19, 0, 0, 6.295e-21, 0, 2.63804e-16, 0, 0, 0
0.153017, 0, 5.27379e-16, 0, 1.41421, -5.27379e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.84924e-18, 0, 0, 1.27117e-20, 0, 5.25517e-16, 0, 0, 0
0.160889, 0, 1.03986e-15, 0, 1.41421, -1.03986e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.64624e-18, 0, 0, 2.54166e-20, 0, 1.03619e-15, 0, 0, 0
0.16876, 0, 2.02978e-15, 0, 1.41421, -2.02978e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.11738e-18, 0, 0, 5.03294e-20, 0, 2.02262e-15, 0, 0, 0
0.176632, 0, 3.923e-15, 0, 1.41421, -3.923e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.37559e-17, 0, 0, 9.87164e-20, 0, 3.90914e-15, 0, 0, 0
0.184504, 0, 7.50835e-15, 0, 1.41421, -7.50835e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.63278e-17, 0, 0, 1.91819e-19, 0, 7.48183e-15, 0, 0, 0
0.192376, 0, 1.42327e-14, 0, 1.41421, -1.42327e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.99064e-17, 0, 0, 3.69313e-19, 0, 1.41824e-14, 0, 0, 0
0.200248, 0, 2.67241e-14, 0, 1.41421, -2.67241e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.37068e-17, 0, 0, 7.04626e-19, 0, 2.66297e-14, 0, 0, 0
0.208119, 0, 4.97096e-14, 0, 1.41421, -4.97096e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.74304e-16, 0, 0, 1.33245e-18, 0, 4.95339e-14, 0, 0, 0
0.215991, 0, 9.16108e-14, 0, 1.41421, -9.16108e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.21229e-16, 0, 0, 2.49763e-18, 0, 9.1287e-14, 0, 0, 0
0.223863, 0, 1.67288e-13, 0, 1.41421, -1.67288e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.8659e-16, 0, 0, 4.64143e-18, 0, 1.66697e-13, 0, 0, 0
0.231735, 0, 3.02718e-13, 0, 1.41421, -3.02718e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.06147e-15, 0, 0, 8.55223e-18, 0, 3.01648e-13, 0, 0, 0
0.239607, 0, 5.42876e-13, 0, 1.41421, -5.42876e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.90359e-15, 0, 0, 1.56267e-17, 0, 5.40957e-13, 0, 0, 0
0.247479, 0, 9.64917e-13, 0, 1.41421, -9.64917e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.38351e-15, 0, 0, 2.8319e-17, 0, 9.61505e-13, 0, 0, 0
0.25535, 0, 1.69995e-12, 0, 1.41421, -1.69995e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.96102e-15, 0, 0, 5.09066e-17, 0, 1.69394e-12, 0, 0, 0
0.263222, 0, 2.96874e-12, 0, 1.41421, -2.96874e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.04104e-14, 0, 0, 9.0787e-17, 0, 2.95824e-12, 0, 0, 0
0.271094, 0, 5.13958e-12, 0, 1.41421, -5.13958e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.80233e-14, 0, 0, 1.60658e-16, 0, 5.1214e-12, 0, 0, 0
