   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_197.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0282767, 394, 0, 0, 19.8997, 394, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0204073, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.012538, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00466868, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00320065, 0, 3.7051e-22, 0, 1.41421, -3.7051e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.3829e-27, 2.6809e-27, 0, 3.70502e-22, 0, 0, 0
0.01107, 0, 9.05887e-22, 0, 1.41421, -9.05887e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.3377e-26, 6.6872e-27, 0, 9.05867e-22, 0, 0, 0
0.0189393, 0, 2.17496e-21, 0, 1.41421, -2.17496e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.26434e-26, 1.63636e-26, 0, 2.17491e-21, 0, 0, 0
0.0268086, 0, 5.13357e-21, 0, 1.41421, -5.13357e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.83115e-26, 3.93326e-26, 0, 5.13345e-21, 0, 0, 0
0.034678, 0, 1.19234e-20, 0, 1.41421, -1.19234e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.84874e-25, 9.29721e-26, 0, 1.19231e-20, 0, 0, 0
0.0425473, 0, 2.72742e-20, 0, 1.41421, -2.72742e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.29854e-25, 2.16321e-25, 0, 2.72736e-20, 0, 0, 0
0.0504166, 0, 6.14896e-20, 0, 1.41421, -6.14896e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.85111e-25, 4.95858e-25, 0, 6.14882e-20, 0, 0, 0
0.058286, 0, 1.36718e-19, 0, 1.41421, -1.36718e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.22667e-24, 1.1206e-24, 0, 1.36715e-19, 0, 0, 0
0.0661553, 0, 2.99969e-19, 0, 1.41421, -2.99969e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.96695e-24, 2.4984e-24, 0, 2.99962e-19, 0, 0, 0
0.0740246, 0, 6.49791e-19, 0, 1.41421, -6.49791e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.09399e-23, 5.49854e-24, 0, 6.49774e-19, 0, 0, 0
0.081894, 0, 1.39032e-18, 0, 1.41421, -1.39032e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.38029e-23, 1.19518e-23, 0, 1.39028e-18, 0, 0, 0
0.0897633, 0, 2.93951e-18, 0, 1.41421, -2.93951e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.11831e-23, 2.56699e-23, 0, 2.93943e-18, 0, 0, 0
0.0976326, 0, 6.14351e-18, 0, 1.41421, -6.14351e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.08809e-22, 5.4501e-23, 0, 6.14335e-18, 0, 0, 0
0.105502, 0, 1.26965e-17, 0, 1.41421, -1.26965e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.28768e-22, 1.14431e-22, 0, 1.26962e-17, 0, 0, 0
0.113371, 0, 2.5954e-17, 0, 1.41421, -2.5954e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.75835e-22, 2.3768e-22, 0, 2.59533e-17, 0, 0, 0
0.121241, 0, 5.24928e-17, 0, 1.41421, -5.24928e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.79423e-22, 4.8853e-22, 0, 5.24913e-17, 0, 0, 0
0.12911, 0, 1.05069e-16, 0, 1.41421, -1.05069e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.9955e-21, 9.93961e-22, 0, 1.05066e-16, 0, 0, 0
0.136979, 0, 2.08175e-16, 0, 1.41421, -2.08175e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.02535e-21, 2.00237e-21, 0, 2.08169e-16, 0, 0, 0
