   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_34.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Zn_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Al_K, Mg_K, Zn_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0303078, 68, 0, 0, 8.3666, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0224147, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0145217, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00662864, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0012644, 0, 2.96272e-19, 0, 1.41421, -2.96272e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.18502e-24, 0, 2.96269e-19, 0, 0, 0
0.00915744, 0, 6.20281e-19, 0, 1.41421, -6.20281e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.75482e-24, 0, 6.20274e-19, 0, 0, 0
0.0170505, 0, 1.28371e-18, 0, 1.41421, -1.28371e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.41633e-23, 0, 1.2837e-18, 0, 0, 0
0.0249435, 0, 2.62726e-18, 0, 1.41421, -2.62726e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.93724e-23, 0, 2.62723e-18, 0, 0, 0
0.0328366, 0, 5.3193e-18, 0, 1.41421, -5.3193e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.02706e-23, 0, 5.31924e-18, 0, 0, 0
0.0407296, 0, 1.06577e-17, 0, 1.41421, -1.06577e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.22408e-22, 0, 1.06576e-17, 0, 0, 0
0.0486226, 0, 2.11379e-17, 0, 1.41421, -2.11379e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.46142e-22, 0, 2.11376e-17, 0, 0, 0
0.0565157, 0, 4.15112e-17, 0, 1.41421, -4.15112e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.90184e-22, 0, 4.15108e-17, 0, 0, 0
0.0644087, 0, 8.07398e-17, 0, 1.41421, -8.07398e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.67043e-22, 0, 8.07389e-17, 0, 0, 0
0.0723018, 0, 1.5557e-16, 0, 1.41421, -1.5557e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.89038e-21, 0, 1.55568e-16, 0, 0, 0
0.0801948, 0, 2.97011e-16, 0, 1.41421, -2.97011e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.66243e-21, 0, 2.97007e-16, 0, 0, 0
0.0880878, 0, 5.61969e-16, 0, 1.41421, -5.61969e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.0339e-21, 0, 5.61962e-16, 0, 0, 0
0.0959809, 0, 1.05396e-15, 0, 1.41421, -1.05396e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.33941e-20, 0, 1.05395e-15, 0, 0, 0
0.103874, 0, 1.95969e-15, 0, 1.41421, -1.95969e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.52934e-20, 0, 1.95966e-15, 0, 0, 0
0.111767, 0, 3.61293e-15, 0, 1.41421, -3.61293e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.73742e-20, 0, 3.61288e-15, 0, 0, 0
0.11966, 0, 6.60553e-15, 0, 1.41421, -6.60553e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.80214e-20, 0, 6.60544e-15, 0, 0, 0
0.127553, 0, 1.19782e-14, 0, 1.41421, -1.19782e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.6226e-19, 0, 1.1978e-14, 0, 0, 0
0.135446, 0, 2.15457e-14, 0, 1.41421, -2.15457e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.96804e-19, 0, 2.15454e-14, 0, 0, 0
0.143339, 0, 3.84471e-14, 0, 1.41421, -3.84471e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.38785e-19, 0, 3.84465e-14, 0, 0, 0
0.151232, 0, 6.80687e-14, 0, 1.41421, -6.80687e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.70737e-19, 0, 6.80677e-14, 0, 0, 0
