   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_51.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Cr_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0311927, 102, 0, 0, 10.198, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.023304, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0154154, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00752671, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.000361946, 0, 2.5614e-21, 0, 1.41421, -2.5614e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.90879e-22, 0, 0, 6.33401e-26, 0, 0, 2.37046e-21, 0, 0, 0
0.00825061, 0, 5.63067e-21, 0, 1.41421, -5.63067e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.19604e-22, 0, 0, 1.41469e-25, 0, 0, 5.21093e-21, 0, 0, 0
0.0161393, 0, 1.22111e-20, 0, 1.41421, -1.22111e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.09985e-22, 0, 0, 3.11734e-25, 0, 0, 1.13008e-20, 0, 0, 0
0.0240279, 0, 2.61419e-20, 0, 1.41421, -2.61419e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.94812e-21, 0, 0, 6.78154e-25, 0, 0, 2.41931e-20, 0, 0, 0
0.0319166, 0, 5.5278e-20, 0, 1.41421, -5.5278e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.11937e-21, 0, 0, 1.4573e-24, 0, 0, 5.11571e-20, 0, 0, 0
0.0398053, 0, 1.15509e-19, 0, 1.41421, -1.15509e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.60782e-21, 0, 0, 3.09502e-24, 0, 0, 1.06898e-19, 0, 0, 0
0.0476939, 0, 2.38625e-19, 0, 1.41421, -2.38625e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.77826e-20, 0, 0, 6.49938e-24, 0, 0, 2.20836e-19, 0, 0, 0
0.0555826, 0, 4.87563e-19, 0, 1.41421, -4.87563e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.63337e-20, 0, 0, 1.35006e-23, 0, 0, 4.51216e-19, 0, 0, 0
0.0634712, 0, 9.85617e-19, 0, 1.41421, -9.85617e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.34491e-20, 0, 0, 2.77499e-23, 0, 0, 9.1214e-19, 0, 0, 0
0.0713599, 0, 1.97191e-18, 0, 1.41421, -1.97191e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.46949e-19, 0, 0, 5.64601e-23, 0, 0, 1.82491e-18, 0, 0, 0
0.0792485, 0, 3.90564e-18, 0, 1.41421, -3.90564e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.91051e-19, 0, 0, 1.13742e-22, 0, 0, 3.61447e-18, 0, 0, 0
0.0871372, 0, 7.66008e-18, 0, 1.41421, -7.66008e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.70835e-19, 0, 0, 2.26945e-22, 0, 0, 7.08902e-18, 0, 0, 0
0.0950259, 0, 1.48804e-17, 0, 1.41421, -1.48804e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.1089e-18, 0, 0, 4.48585e-22, 0, 0, 1.3771e-17, 0, 0, 0
0.102915, 0, 2.86368e-17, 0, 1.41421, -2.86368e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.13404e-18, 0, 0, 8.78597e-22, 0, 0, 2.65019e-17, 0, 0, 0
0.110803, 0, 5.46071e-17, 0, 1.41421, -5.46071e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.06936e-18, 0, 0, 1.70547e-21, 0, 0, 5.05361e-17, 0, 0, 0
0.118692, 0, 1.03197e-16, 0, 1.41421, -1.03197e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.69027e-18, 0, 0, 3.28164e-21, 0, 0, 9.5503e-17, 0, 0, 0
0.126581, 0, 1.93304e-16, 0, 1.41421, -1.93304e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.44051e-17, 0, 0, 6.26041e-21, 0, 0, 1.78893e-16, 0, 0, 0
0.134469, 0, 3.58957e-16, 0, 1.41421, -3.58957e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.67496e-17, 0, 0, 1.18427e-20, 0, 0, 3.32196e-16, 0, 0, 0
0.142358, 0, 6.6089e-16, 0, 1.41421, -6.6089e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.92497e-17, 0, 0, 2.22178e-20, 0, 0, 6.11618e-16, 0, 0, 0
0.150247, 0, 1.20657e-15, 0, 1.41421, -1.20657e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.9914e-17, 0, 0, 4.13437e-20, 0, 0, 1.11662e-15, 0, 0, 0
0.158135, 0, 2.18457e-15, 0, 1.41421, -2.18457e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.62795e-16, 0, 0, 7.63187e-20, 0, 0, 2.0217e-15, 0, 0, 0
0.166024, 0, 3.92297e-15, 0, 1.41421, -3.92297e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.92339e-16, 0, 0, 1.39771e-19, 0, 0, 3.63049e-15, 0, 0, 0
0.173912, 0, 6.9878e-15, 0, 1.41421, -6.9878e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.20729e-16, 0, 0, 2.5399e-19, 0, 0, 6.46681e-15, 0, 0, 0
0.181801, 0, 1.23477e-14, 0, 1.41421, -1.23477e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.20143e-16, 0, 0, 4.58035e-19, 0, 0, 1.14271e-14, 0, 0, 0
0.18969, 0, 2.16462e-14, 0, 1.41421, -2.16462e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.61306e-15, 0, 0, 8.19792e-19, 0, 0, 2.00323e-14, 0, 0, 0
