   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_49.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ca_K, K_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0322753, 98, 0, 0, 10, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0243843, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0164934, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00860242, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.000711461, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0071795, 0, 2.45749e-22, 0, 1.41421, -2.45749e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.78477e-24, 0, 0, 3.47883e-27, 0, 7.18009e-26, 0, 2.42889e-22, 0, 0, 0
0.0150705, 0, 5.96724e-22, 0, 1.41421, -5.96724e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.7619e-24, 0, 0, 8.56991e-27, 0, 1.77901e-25, 0, 5.89776e-22, 0, 0, 0
0.0229614, 0, 1.42378e-21, 0, 1.41421, -1.42378e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.61337e-23, 0, 0, 2.07468e-26, 0, 4.32801e-25, 0, 1.40719e-21, 0, 0, 0
0.0308524, 0, 3.34153e-21, 0, 1.41421, -3.34153e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.78647e-23, 0, 0, 4.94092e-26, 0, 1.03505e-24, 0, 3.30258e-21, 0, 0, 0
0.0387433, 0, 7.72091e-21, 0, 1.41421, -7.72091e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.74894e-23, 0, 0, 1.15862e-25, 0, 2.43576e-24, 0, 7.63087e-21, 0, 0, 0
