   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_266.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0283066, 532, 0, 0, 23.1084, 532, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0204407, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0125747, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00470873, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00315725, 0, 1.50311e-23, 0, 1.41421, -1.50311e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.51651e-25, 0, 0, 0, 4.28163e-27, 0, 1.47752e-23, 0, 0, 0
0.0110232, 0, 3.95517e-23, 0, 1.41421, -3.95517e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.62167e-25, 0, 0, 0, 1.1557e-26, 0, 3.88779e-23, 0, 0, 0
0.0188892, 0, 1.01663e-22, 0, 1.41421, -1.01663e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.70201e-24, 0, 0, 0, 3.04118e-26, 0, 9.99304e-23, 0, 0, 0
0.0267552, 0, 2.55748e-22, 0, 1.41421, -2.55748e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.28164e-24, 0, 0, 0, 7.81995e-26, 0, 2.51389e-22, 0, 0, 0
0.0346211, 0, 6.30671e-22, 0, 1.41421, -6.30671e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.05584e-23, 0, 0, 0, 1.96855e-25, 0, 6.19916e-22, 0, 0, 0
0.0424871, 0, 1.52655e-21, 0, 1.41421, -1.52655e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.55566e-23, 0, 0, 0, 4.85919e-25, 0, 1.50051e-21, 0, 0, 0
