   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_216.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0287854, 432, 0, 0, 20.8327, 432, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0209161, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0130468, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0051775, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00269179, 0, 4.54458e-22, 0, 1.41421, -4.54458e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.28768e-24, 0, 0, 5.45597e-27, 0, 0, 4.53165e-22, 0, 0, 0
0.0105611, 0, 1.11008e-21, 0, 1.41421, -1.11008e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.14534e-24, 0, 0, 1.35379e-26, 0, 0, 1.10692e-21, 0, 0, 0
0.0184304, 0, 2.66276e-21, 0, 1.41421, -2.66276e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.54476e-24, 0, 0, 3.29877e-26, 0, 0, 2.65518e-21, 0, 0, 0
0.0262997, 0, 6.27934e-21, 0, 1.41421, -6.27934e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.77921e-23, 0, 0, 7.90262e-26, 0, 0, 6.26147e-21, 0, 0, 0
0.034169, 0, 1.45721e-20, 0, 1.41421, -1.45721e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.12891e-23, 0, 0, 1.86309e-25, 0, 0, 1.45306e-20, 0, 0, 0
0.0420383, 0, 3.33058e-20, 0, 1.41421, -3.33058e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.437e-23, 0, 0, 4.32628e-25, 0, 0, 3.3211e-20, 0, 0, 0
0.0499075, 0, 7.50287e-20, 0, 1.41421, -7.50287e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.12589e-22, 0, 0, 9.90229e-25, 0, 0, 7.48151e-20, 0, 0, 0
0.0577768, 0, 1.66695e-19, 0, 1.41421, -1.66695e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.72321e-22, 0, 0, 2.23555e-24, 0, 0, 1.66221e-19, 0, 0, 0
0.0656461, 0, 3.65475e-19, 0, 1.41421, -3.65475e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.03555e-21, 0, 0, 4.981e-24, 0, 0, 3.64435e-19, 0, 0, 0
0.0735154, 0, 7.91137e-19, 0, 1.41421, -7.91137e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.24164e-21, 0, 0, 1.09587e-23, 0, 0, 7.88884e-19, 0, 0, 0
0.0813847, 0, 1.69162e-18, 0, 1.41421, -1.69162e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.79309e-21, 0, 0, 2.38184e-23, 0, 0, 1.6868e-18, 0, 0, 0
0.089254, 0, 3.57426e-18, 0, 1.41421, -3.57426e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.01274e-20, 0, 0, 5.11638e-23, 0, 0, 3.56408e-18, 0, 0, 0
0.0971233, 0, 7.46555e-18, 0, 1.41421, -7.46555e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.11532e-20, 0, 0, 1.08661e-22, 0, 0, 7.44429e-18, 0, 0, 0
0.104993, 0, 1.54196e-17, 0, 1.41421, -1.54196e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.36906e-20, 0, 0, 2.28241e-22, 0, 0, 1.53757e-17, 0, 0, 0
0.112862, 0, 3.15032e-17, 0, 1.41421, -3.15032e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.92621e-20, 0, 0, 4.74309e-22, 0, 0, 3.14134e-17, 0, 0, 0
0.120731, 0, 6.36821e-17, 0, 1.41421, -6.36821e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.80439e-19, 0, 0, 9.75433e-22, 0, 0, 6.35007e-17, 0, 0, 0
0.1286, 0, 1.27401e-16, 0, 1.41421, -1.27401e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.60982e-19, 0, 0, 1.98572e-21, 0, 0, 1.27038e-16, 0, 0, 0
0.13647, 0, 2.523e-16, 0, 1.41421, -2.523e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.14875e-19, 0, 0, 4.00243e-21, 0, 0, 2.51581e-16, 0, 0, 0
0.144339, 0, 4.99867e-16, 0, 1.41421, -4.99867e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.41634e-18, 0, 0, 8.10156e-21, 0, 0, 4.98442e-16, 0, 0, 0
0.152208, 0, 9.69414e-16, 0, 1.41421, -9.69414e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.74676e-18, 0, 0, 1.59956e-20, 0, 0, 9.66652e-16, 0, 0, 0
0.160078, 0, 1.86233e-15, 0, 1.41421, -1.86233e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.27676e-18, 0, 0, 3.12928e-20, 0, 0, 1.85702e-15, 0, 0, 0
0.167947, 0, 3.54452e-15, 0, 1.41421, -3.54452e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.00431e-17, 0, 0, 6.06689e-20, 0, 0, 3.53441e-15, 0, 0, 0
0.175816, 0, 6.68457e-15, 0, 1.41421, -6.68457e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.89401e-17, 0, 0, 1.16582e-19, 0, 0, 6.66551e-15, 0, 0, 0
0.183685, 0, 1.24927e-14, 0, 1.41421, -1.24927e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.53969e-17, 0, 0, 2.22077e-19, 0, 0, 1.24571e-14, 0, 0, 0
0.191555, 0, 2.31397e-14, 0, 1.41421, -2.31397e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.5564e-17, 0, 0, 4.19404e-19, 0, 0, 2.30737e-14, 0, 0, 0
0.199424, 0, 4.24837e-14, 0, 1.41421, -4.24837e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.20373e-16, 0, 0, 7.85399e-19, 0, 0, 4.23625e-14, 0, 0, 0
0.207293, 0, 7.732e-14, 0, 1.41421, -7.732e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.19078e-16, 0, 0, 1.45857e-18, 0, 0, 7.70995e-14, 0, 0, 0
0.215163, 0, 1.3951e-13, 0, 1.41421, -1.3951e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.95287e-16, 0, 0, 2.68655e-18, 0, 0, 1.39112e-13, 0, 0, 0
0.223032, 0, 2.49575e-13, 0, 1.41421, -2.49575e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.07142e-16, 0, 0, 4.90849e-18, 0, 0, 2.48863e-13, 0, 0, 0
0.230901, 0, 4.427e-13, 0, 1.41421, -4.427e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.25434e-15, 0, 0, 8.89688e-18, 0, 0, 4.41436e-13, 0, 0, 0
0.238771, 0, 7.78686e-13, 0, 1.41421, -7.78686e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.20634e-15, 0, 0, 1.6e-17, 0, 0, 7.76464e-13, 0, 0, 0
0.24664, 0, 1.35828e-12, 0, 1.41421, -1.35828e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.8486e-15, 0, 0, 2.85532e-17, 0, 0, 1.3544e-12, 0, 0, 0
0.254509, 0, 2.34972e-12, 0, 1.41421, -2.34972e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.65789e-15, 0, 0, 5.05713e-17, 0, 0, 2.34302e-12, 0, 0, 0
0.262378, 0, 4.03153e-12, 0, 1.41421, -4.03153e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.14235e-14, 0, 0, 8.89069e-17, 0, 0, 4.02002e-12, 0, 0, 0
0.270248, 0, 6.86078e-12, 0, 1.41421, -6.86078e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.94409e-14, 0, 0, 1.55176e-16, 0, 0, 6.84118e-12, 0, 0, 0
0.278117, 0, 1.15811e-11, 0, 1.41421, -1.15811e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.28179e-14, 0, 0, 2.68942e-16, 0, 0, 1.1548e-11, 0, 0, 0
0.285986, 0, 1.93918e-11, 0, 1.41421, -1.93918e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.49549e-14, 0, 0, 4.62951e-16, 0, 0, 1.93364e-11, 0, 0, 0
0.293856, 0, 3.22107e-11, 0, 1.41421, -3.22107e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.12902e-14, 0, 0, 7.91693e-16, 0, 0, 3.21186e-11, 0, 0, 0
0.301725, 0, 5.30781e-11, 0, 1.41421, -5.30781e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.50448e-13, 0, 0, 1.34537e-15, 0, 0, 5.29263e-11, 0, 0, 0
0.309594, 0, 8.67727e-11, 0, 1.41421, -8.67727e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.4599e-13, 0, 0, 2.27261e-15, 0, 0, 8.65245e-11, 0, 0, 0
0.317463, 0, 1.40741e-10, 3.33509e-43, 1.41421, -1.40741e-10, 0, 3.33509e-43, 3.33509e-43, 3.33509e-43, 3.33509e-43, 3.33509e-43, 3.33509e-43, 3.33509e-43, 3.33509e-43, 3.33509e-43, 3.33509e-43, 3.99058e-13, 3.33509e-43, 3.33509e-43, 3.8173e-15, 3.33509e-43, 3.33509e-43, 1.40339e-10, 3.33509e-43, 3.33509e-43, 3.33509e-43
0.325333, 0, 2.2649e-10, 5.77475e-42, 1.41421, -2.2649e-10, 0, 5.77475e-42, 5.77475e-42, 5.77475e-42, 5.77475e-42, 5.77475e-42, 5.77475e-42, 5.77475e-42, 5.77475e-42, 5.77475e-42, 5.77475e-42, 6.42341e-13, 5.77475e-42, 5.77475e-42, 6.37825e-15, 5.77475e-42, 5.77475e-42, 2.25842e-10, 5.77475e-42, 5.77475e-42, 5.77475e-42
0.333202, 0, 3.61647e-10, 8.27369e-41, 1.41421, -3.61647e-10, 0, 8.27369e-41, 8.27369e-41, 8.27369e-41, 8.27369e-41, 8.27369e-41, 8.27369e-41, 8.27369e-41, 8.27369e-41, 8.27369e-41, 8.27369e-41, 1.02596e-12, 8.27369e-41, 8.27369e-41, 1.06058e-14, 8.27369e-41, 8.27369e-41, 3.6061e-10, 8.27369e-41, 8.27369e-41, 8.27369e-41
0.341071, 0, 5.72986e-10, 1.05009e-39, 1.41421, -5.72986e-10, 0, 1.05009e-39, 1.05009e-39, 1.05009e-39, 1.05009e-39, 1.05009e-39, 1.05009e-39, 1.05009e-39, 1.05009e-39, 1.05009e-39, 1.05009e-39, 1.62612e-12, 1.05009e-39, 1.05009e-39, 1.75581e-14, 1.05009e-39, 1.05009e-39, 5.71342e-10, 1.05009e-39, 1.05009e-39, 1.05009e-39
0.348941, 0, 9.00837e-10, 1.19377e-38, 1.41421, -9.00837e-10, 0, 1.19377e-38, 1.19377e-38, 1.19377e-38, 1.19377e-38, 1.19377e-38, 1.19377e-38, 1.19377e-38, 1.19377e-38, 1.19377e-38, 1.19377e-38, 2.55776e-12, 1.19377e-38, 1.19377e-38, 2.89546e-14, 1.19377e-38, 1.19377e-38, 8.9825e-10, 1.19377e-38, 1.19377e-38, 1.19377e-38
0.35681, 0, 1.40543e-09, 1.22634e-37, 1.41421, -1.40543e-09, 0, 1.22634e-37, 1.22634e-37, 1.22634e-37, 1.22634e-37, 1.22634e-37, 1.22634e-37, 1.22634e-37, 1.22634e-37, 1.22634e-37, 1.22634e-37, 3.99279e-12, 1.22634e-37, 1.22634e-37, 4.75868e-14, 1.22634e-37, 1.22634e-37, 1.40139e-09, 1.22634e-37, 1.22634e-37, 1.22634e-37
0.364679, 0, 2.17598e-09, 1.14421e-36, 1.41421, -2.17598e-09, 0, 1.14421e-36, 1.14421e-36, 1.14421e-36, 1.14421e-36, 1.14421e-36, 1.14421e-36, 1.14421e-36, 1.14421e-36, 1.14421e-36, 1.14421e-36, 6.18629e-12, 1.14421e-36, 1.14421e-36, 7.79849e-14, 1.14421e-36, 1.14421e-36, 2.16971e-09, 1.14421e-36, 1.14421e-36, 1.14421e-36
0.372549, 0, 3.34347e-09, 9.75601e-36, 1.41421, -3.34347e-09, 0, 9.75601e-36, 9.75601e-36, 9.75601e-36, 9.75601e-36, 9.75601e-36, 9.75601e-36, 9.75601e-36, 9.75601e-36, 9.75601e-36, 9.75601e-36, 9.51378e-12, 9.75601e-36, 9.75601e-36, 1.27501e-13, 9.75601e-36, 9.75601e-36, 3.33382e-09, 9.75601e-36, 9.75601e-36, 9.75601e-36
0.380418, 0, 5.09868e-09, 7.63457e-35, 1.41421, -5.09868e-09, 0, 7.63457e-35, 7.63457e-35, 7.63457e-35, 7.63457e-35, 7.63457e-35, 7.63457e-35, 7.63457e-35, 7.63457e-35, 7.63457e-35, 7.63457e-35, 1.45237e-11, 7.63457e-35, 7.63457e-35, 2.08072e-13, 7.63457e-35, 7.63457e-35, 5.08395e-09, 7.63457e-35, 7.63457e-35, 7.63457e-35
0.388287, 0, 7.71717e-09, 5.50834e-34, 1.41421, -7.71717e-09, 0, 5.50834e-34, 5.50834e-34, 5.50834e-34, 5.50834e-34, 5.50834e-34, 5.50834e-34, 5.50834e-34, 5.50834e-34, 5.50834e-34, 5.50834e-34, 2.20107e-11, 5.50834e-34, 5.50834e-34, 3.39083e-13, 5.50834e-34, 5.50834e-34, 7.69482e-09, 5.50834e-34, 5.50834e-34, 5.50834e-34
0.396156, 0, 1.15936e-08, 3.78176e-33, 1.41421, -1.15936e-08, 0, 3.78176e-33, 3.78176e-33, 3.78176e-33, 3.78176e-33, 3.78176e-33, 3.78176e-33, 3.78176e-33, 3.78176e-33, 3.78176e-33, 3.78176e-33, 3.31182e-11, 3.78176e-33, 3.78176e-33, 5.52025e-13, 3.78176e-33, 3.78176e-33, 1.156e-08, 3.78176e-33, 3.78176e-33, 3.78176e-33
0.404026, 0, 1.72887e-08, 2.25769e-32, 1.41421, -1.72887e-08, 0, 2.25769e-32, 2.25769e-32, 2.25769e-32, 2.25769e-32, 2.25769e-32, 2.25769e-32, 2.25769e-32, 2.25769e-32, 2.25769e-32, 2.25769e-32, 4.94779e-11, 2.25769e-32, 2.25769e-32, 8.98058e-13, 2.25769e-32, 2.25769e-32, 1.72383e-08, 2.25769e-32, 2.25769e-32, 2.25769e-32
