   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_46.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.0862524, 0, 3.56286e-18, 0, 1.41421, -3.56286e-18, 0, 0, 0, 0, 0, 0, 0, 0, 1.51014e-19, 0, 0, 0, 0, 3.41185e-18, 0, 0, 0
0.0941436, 0, 7.15296e-18, 0, 1.41421, -7.15296e-18, 0, 0, 0, 0, 0, 0, 0, 0, 3.03183e-19, 0, 0, 0, 0, 6.84978e-18, 0, 0, 0
0.102035, 0, 1.4216e-17, 0, 1.41421, -1.4216e-17, 0, 0, 0, 0, 0, 0, 0, 0, 6.02554e-19, 0, 0, 0, 0, 1.36135e-17, 0, 0, 0
0.109926, 0, 2.79752e-17, 0, 1.41421, -2.79752e-17, 0, 0, 0, 0, 0, 0, 0, 0, 1.18575e-18, 0, 0, 0, 0, 2.67895e-17, 0, 0, 0
0.117817, 0, 5.45209e-17, 0, 1.41421, -5.45209e-17, 0, 0, 0, 0, 0, 0, 0, 0, 2.3109e-18, 0, 0, 0, 0, 5.22099e-17, 0, 0, 0
0.125709, 0, 1.05251e-16, 0, 1.41421, -1.05251e-16, 0, 0, 0, 0, 0, 0, 0, 0, 4.46114e-18, 0, 0, 0, 0, 1.0079e-16, 0, 0, 0
0.1336, 0, 2.01299e-16, 0, 1.41421, -2.01299e-16, 0, 0, 0, 0, 0, 0, 0, 0, 8.5322e-18, 0, 0, 0, 0, 1.92767e-16, 0, 0, 0
0.141491, 0, 3.81485e-16, 0, 1.41421, -3.81485e-16, 0, 0, 0, 0, 0, 0, 0, 0, 1.61695e-17, 0, 0, 0, 0, 3.65316e-16, 0, 0, 0
0.149382, 0, 7.16468e-16, 0, 1.41421, -7.16468e-16, 0, 0, 0, 0, 0, 0, 0, 0, 3.03679e-17, 0, 0, 0, 0, 6.861e-16, 0, 0, 0
0.157274, 0, 1.3337e-15, 0, 1.41421, -1.3337e-15, 0, 0, 0, 0, 0, 0, 0, 0, 5.65296e-17, 0, 0, 0, 0, 1.27717e-15, 0, 0, 0
0.165165, 0, 2.4738e-15, 0, 1.41421, -2.4738e-15, 0, 0, 0, 0, 0, 0, 0, 0, 1.04853e-16, 0, 0, 0, 0, 2.36895e-15, 0, 0, 0
0.173056, 0, 4.52262e-15, 0, 1.41421, -4.52262e-15, 0, 0, 0, 0, 0, 0, 0, 0, 1.91693e-16, 0, 0, 0, 0, 4.33093e-15, 0, 0, 0
0.180947, 0, 8.19859e-15, 0, 1.41421, -8.19859e-15, 0, 0, 0, 0, 0, 0, 0, 0, 3.475e-16, 0, 0, 0, 0, 7.85109e-15, 0, 0, 0
0.188838, 0, 1.47385e-14, 0, 1.41421, -1.47385e-14, 0, 0, 0, 0, 0, 0, 0, 0, 6.24694e-16, 0, 0, 0, 0, 1.41138e-14, 0, 0, 0
0.19673, 0, 2.62763e-14, 0, 1.41421, -2.62763e-14, 0, 0, 0, 0, 0, 0, 0, 0, 1.11373e-15, 0, 0, 0, 0, 2.51626e-14, 0, 0, 0
0.204621, 0, 4.64633e-14, 0, 1.41421, -4.64633e-14, 0, 0, 0, 0, 0, 0, 0, 0, 1.96936e-15, 0, 0, 0, 0, 4.44939e-14, 0, 0, 0
0.212512, 0, 8.14933e-14, 0, 1.41421, -8.14933e-14, 0, 0, 0, 0, 0, 0, 0, 0, 3.45413e-15, 0, 0, 0, 0, 7.80392e-14, 0, 0, 0
0.220403, 0, 1.41785e-13, 0, 1.41421, -1.41785e-13, 0, 0, 0, 0, 0, 0, 0, 0, 6.00964e-15, 0, 0, 0, 0, 1.35775e-13, 0, 0, 0
0.228295, 0, 2.44714e-13, 0, 1.41421, -2.44714e-13, 0, 0, 0, 0, 0, 0, 0, 0, 1.03725e-14, 0, 0, 0, 0, 2.34342e-13, 0, 0, 0
0.236186, 0, 4.19023e-13, 0, 1.41421, -4.19023e-13, 0, 0, 0, 0, 0, 0, 0, 0, 1.7761e-14, 0, 0, 0, 0, 4.01262e-13, 0, 0, 0
0.244077, 0, 7.1185e-13, 0, 1.41421, -7.1185e-13, 0, 0, 0, 0, 0, 0, 0, 0, 3.01735e-14, 0, 0, 0, 0, 6.81676e-13, 0, 0, 0
0.251968, 0, 1.19987e-12, 0, 1.41421, -1.19987e-12, 0, 0, 0, 0, 0, 0, 0, 0, 5.0861e-14, 0, 0, 0, 0, 1.14901e-12, 0, 0, 0
0.25986, 0, 2.00677e-12, 0, 1.41421, -2.00677e-12, 0, 0, 0, 0, 0, 0, 0, 0, 8.50677e-14, 0, 0, 0, 0, 1.9217e-12, 0, 0, 0
0.267751, 0, 3.33042e-12, 0, 1.41421, -3.33042e-12, 0, 0, 0, 0, 0, 0, 0, 0, 1.41185e-13, 0, 0, 0, 0, 3.18923e-12, 0, 0, 0
0.275642, 0, 5.48474e-12, 0, 1.41421, -5.48474e-12, 0, 0, 0, 0, 0, 0, 0, 0, 2.32528e-13, 0, 0, 0, 0, 5.25221e-12, 0, 0, 0
0.283533, 0, 8.96373e-12, 0, 1.41421, -8.96373e-12, 0, 0, 0, 0, 0, 0, 0, 0, 3.80057e-13, 0, 0, 0, 0, 8.58367e-12, 0, 0, 0
0.291425, 0, 1.45384e-11, 0, 1.41421, -1.45384e-11, 0, 0, 0, 0, 0, 0, 0, 0, 6.16493e-13, 0, 0, 0, 0, 1.39219e-11, 0, 0, 0
0.299316, 0, 2.34021e-11, 0, 1.41421, -2.34021e-11, 0, 0, 0, 0, 0, 0, 0, 0, 9.92507e-13, 0, 0, 0, 0, 2.24096e-11, 0, 0, 0
0.307207, 0, 3.73871e-11, 9.94922e-44, 1.41421, -3.73871e-11, 0, 9.94922e-44, 9.94922e-44, 9.94922e-44, 9.94922e-44, 9.94922e-44, 9.94922e-44, 9.94922e-44, 1.58594e-12, 9.94922e-44, 9.94922e-44, 9.94922e-44, 9.94922e-44, 3.58012e-11, 9.94922e-44, 9.94922e-44, 9.94922e-44
0.315098, 0, 5.92838e-11, 1.74882e-42, 1.41421, -5.92838e-11, 0, 1.74882e-42, 1.74882e-42, 1.74882e-42, 1.74882e-42, 1.74882e-42, 1.74882e-42, 1.74882e-42, 2.5154e-12, 1.74882e-42, 1.74882e-42, 1.74882e-42, 1.74882e-42, 5.67684e-11, 1.74882e-42, 1.74882e-42, 1.74882e-42
0.322989, 0, 9.33068e-11, 2.58259e-41, 1.41421, -9.33068e-11, 0, 2.58259e-41, 2.58259e-41, 2.58259e-41, 2.58259e-41, 2.58259e-41, 2.58259e-41, 2.58259e-41, 3.96023e-12, 2.58259e-41, 2.58259e-41, 2.58259e-41, 2.58259e-41, 8.93466e-11, 2.58259e-41, 2.58259e-41, 2.58259e-41
0.330881, 0, 1.45771e-10, 3.35692e-40, 1.41421, -1.45771e-10, 0, 3.35692e-40, 3.35692e-40, 3.35692e-40, 3.35692e-40, 3.35692e-40, 3.35692e-40, 3.35692e-40, 6.18936e-12, 3.35692e-40, 3.35692e-40, 3.35692e-40, 3.35692e-40, 1.39582e-10, 3.35692e-40, 3.35692e-40, 3.35692e-40
0.338772, 0, 2.26062e-10, 3.90609e-39, 1.41421, -2.26062e-10, 0, 3.90609e-39, 3.90609e-39, 3.90609e-39, 3.90609e-39, 3.90609e-39, 3.90609e-39, 3.90609e-39, 9.60304e-12, 3.90609e-39, 3.90609e-39, 3.90609e-39, 3.90609e-39, 2.16458e-10, 3.90609e-39, 3.90609e-39, 3.90609e-39
0.346663, 0, 3.48015e-10, 4.1024e-38, 1.41421, -3.48015e-10, 0, 4.1024e-38, 4.1024e-38, 4.1024e-38, 4.1024e-38, 4.1024e-38, 4.1024e-38, 4.1024e-38, 1.47923e-11, 4.1024e-38, 4.1024e-38, 4.1024e-38, 4.1024e-38, 3.33223e-10, 4.1024e-38, 4.1024e-38, 4.1024e-38
0.354554, 0, 5.31868e-10, 3.90676e-37, 1.41421, -5.31868e-10, 0, 3.90676e-37, 3.90676e-37, 3.90676e-37, 3.90676e-37, 3.90676e-37, 3.90676e-37, 3.90676e-37, 2.2623e-11, 3.90676e-37, 3.90676e-37, 3.90676e-37, 3.90676e-37, 5.09245e-10, 3.90676e-37, 3.90676e-37, 3.90676e-37
0.362446, 0, 8.06976e-10, 3.39808e-36, 1.41421, -8.06976e-10, 0, 3.39808e-36, 3.39808e-36, 3.39808e-36, 3.39808e-36, 3.39808e-36, 3.39808e-36, 3.39808e-36, 3.43545e-11, 3.39808e-36, 3.39808e-36, 3.39808e-36, 3.39808e-36, 7.72622e-10, 3.39808e-36, 3.39808e-36, 3.39808e-36
