   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_117.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Zn_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0338973, 234, 0, 0, 15.3623, 234, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0260177, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0181382, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0102587, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00237912, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00550041, 0, 3.11099e-24, 0, 1.41421, -3.11099e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.96788e-29, 0, 0, 3.11096e-24, 0, 0, 0
0.01338, 0, 1.13062e-23, 0, 1.41421, -1.13062e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.09636e-28, 0, 0, 1.13061e-23, 0, 0, 0
0.0212595, 0, 3.25347e-23, 0, 1.41421, -3.25347e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.18332e-28, 0, 0, 3.25343e-23, 0, 0, 0
0.029139, 0, 9.08301e-23, 0, 1.41421, -9.08301e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.96917e-28, 0, 0, 9.08292e-23, 0, 0, 0
0.0370186, 0, 2.4682e-22, 0, 1.41421, -2.4682e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.46028e-27, 0, 0, 2.46817e-22, 0, 0, 0
0.0448981, 0, 6.5449e-22, 0, 1.41421, -6.5449e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.58696e-27, 0, 0, 6.54483e-22, 0, 0, 0
