   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_127.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0294029, 254, 0, 0, 16, 254, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0215293, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0136557, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00578208, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00209155, 0, 1.51443e-27, 0, 1.41421, -1.51443e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.67258e-30, 0, 0, 8.8888e-33, 0, 0, 1.50675e-27, 0, 0, 0
0.00996517, 0, 7.40392e-27, 0, 1.41421, -7.40392e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.75105e-29, 0, 0, 4.35598e-32, 0, 0, 7.36636e-27, 0, 0, 0
0.0178388, 0, 3.15911e-26, 0, 1.41421, -3.15911e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.6005e-28, 0, 0, 1.86969e-31, 0, 0, 3.14308e-26, 0, 0, 0
0.0257124, 0, 1.22645e-25, 0, 1.41421, -1.22645e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.21355e-28, 0, 0, 7.32138e-31, 0, 0, 1.22023e-25, 0, 0, 0
0.033586, 0, 4.4348e-25, 0, 1.41421, -4.4348e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.2468e-27, 0, 0, 2.67468e-30, 0, 0, 4.41231e-25, 0, 0, 0
0.0414597, 0, 1.51546e-24, 0, 1.41421, -1.51546e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.67776e-27, 0, 0, 9.24286e-30, 0, 0, 1.50777e-24, 0, 0, 0
0.0493333, 0, 4.94143e-24, 0, 1.41421, -4.94143e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.50348e-26, 0, 0, 3.04943e-29, 0, 0, 4.91637e-24, 0, 0, 0
0.0572069, 0, 1.54796e-23, 0, 1.41421, -1.54796e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.84241e-26, 0, 0, 9.66882e-29, 0, 0, 1.5401e-23, 0, 0, 0
0.0650805, 0, 4.68202e-23, 0, 1.41421, -4.68202e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.37205e-25, 0, 0, 2.96073e-28, 0, 0, 4.65827e-23, 0, 0, 0
0.0729542, 0, 1.37257e-22, 0, 1.41421, -1.37257e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.95384e-25, 0, 0, 8.78888e-28, 0, 0, 1.36561e-22, 0, 0, 0
0.0808278, 0, 3.91165e-22, 0, 1.41421, -3.91165e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.98176e-24, 0, 0, 2.5367e-27, 0, 0, 3.89181e-22, 0, 0, 0
0.0887014, 0, 1.08632e-21, 0, 1.41421, -1.08632e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.50361e-24, 0, 0, 7.13592e-27, 0, 0, 1.08081e-21, 0, 0, 0
0.096575, 0, 2.94566e-21, 0, 1.41421, -2.94566e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.49236e-23, 0, 0, 1.96037e-26, 0, 0, 2.93072e-21, 0, 0, 0
0.104449, 0, 7.81183e-21, 0, 1.41421, -7.81183e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.9577e-23, 0, 0, 5.26807e-26, 0, 0, 7.7722e-21, 0, 0, 0
0.112322, 0, 2.02896e-20, 0, 1.41421, -2.02896e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.02793e-22, 0, 0, 1.38676e-25, 0, 0, 2.01866e-20, 0, 0, 0
0.120196, 0, 5.16724e-20, 0, 1.41421, -5.16724e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.61787e-22, 0, 0, 3.58018e-25, 0, 0, 5.14102e-20, 0, 0, 0
0.12807, 0, 1.29169e-19, 0, 1.41421, -1.29169e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.54406e-22, 0, 0, 9.07437e-25, 0, 0, 1.28513e-19, 0, 0, 0
0.135943, 0, 3.17218e-19, 0, 1.41421, -3.17218e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.60712e-21, 0, 0, 2.2601e-24, 0, 0, 3.15608e-19, 0, 0, 0
0.143817, 0, 7.65947e-19, 0, 1.41421, -7.65947e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.88051e-21, 0, 0, 5.53583e-24, 0, 0, 7.62061e-19, 0, 0, 0
0.15169, 0, 1.81962e-18, 0, 1.41421, -1.81962e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.21871e-21, 0, 0, 1.3344e-23, 0, 0, 1.81038e-18, 0, 0, 0
0.159564, 0, 4.25613e-18, 0, 1.41421, -4.25613e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.15628e-20, 0, 0, 3.16823e-23, 0, 0, 4.23453e-18, 0, 0, 0
0.167438, 0, 9.80585e-18, 0, 1.41421, -9.80585e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.96793e-20, 0, 0, 7.4114e-23, 0, 0, 9.7561e-18, 0, 0, 0
0.175311, 0, 2.2264e-17, 0, 1.41421, -2.2264e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.12796e-19, 0, 0, 1.70905e-22, 0, 0, 2.21511e-17, 0, 0, 0
0.183185, 0, 4.98382e-17, 0, 1.41421, -4.98382e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.52495e-19, 0, 0, 3.88668e-22, 0, 0, 4.95853e-17, 0, 0, 0
0.191059, 0, 1.10035e-16, 0, 1.41421, -1.10035e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.57469e-19, 0, 0, 8.72066e-22, 0, 0, 1.09477e-16, 0, 0, 0
0.198932, 0, 2.39698e-16, 0, 1.41421, -2.39698e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.21438e-18, 0, 0, 1.93121e-21, 0, 0, 2.38482e-16, 0, 0, 0
0.206806, 0, 5.15348e-16, 0, 1.41421, -5.15348e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.6109e-18, 0, 0, 4.2224e-21, 0, 0, 5.12733e-16, 0, 0, 0
0.214679, 0, 1.10476e-15, 0, 1.41421, -1.10476e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.59701e-18, 0, 0, 9.23644e-21, 0, 0, 1.09915e-15, 0, 0, 0
0.222553, 0, 2.31267e-15, 0, 1.41421, -2.31267e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.17166e-17, 0, 0, 1.9673e-20, 0, 0, 2.30093e-15, 0, 0, 0
0.230427, 0, 4.7827e-15, 0, 1.41421, -4.7827e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.42303e-17, 0, 0, 4.14118e-20, 0, 0, 4.75843e-15, 0, 0, 0
0.2383, 0, 9.77316e-15, 0, 1.41421, -9.77316e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.9513e-17, 0, 0, 8.61702e-20, 0, 0, 9.72356e-15, 0, 0, 0
0.246174, 0, 1.97369e-14, 0, 1.41421, -1.97369e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.99913e-17, 0, 0, 1.77279e-19, 0, 0, 1.96368e-14, 0, 0, 0
0.254048, 0, 3.93985e-14, 0, 1.41421, -3.93985e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.996e-16, 0, 0, 3.60669e-19, 0, 0, 3.91986e-14, 0, 0, 0
0.261921, 0, 7.77515e-14, 0, 1.41421, -7.77515e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.93901e-16, 0, 0, 7.25794e-19, 0, 0, 7.73569e-14, 0, 0, 0
0.269795, 0, 1.51714e-13, 0, 1.41421, -1.51714e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.68601e-16, 0, 0, 1.44492e-18, 0, 0, 1.50944e-13, 0, 0, 0
0.277668, 0, 2.92746e-13, 0, 1.41421, -2.92746e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.48308e-15, 0, 0, 2.84635e-18, 0, 0, 2.9126e-13, 0, 0, 0
0.285542, 0, 5.58677e-13, 0, 1.41421, -5.58677e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.8303e-15, 0, 0, 5.54916e-18, 0, 0, 5.55841e-13, 0, 0, 0
0.293416, 0, 1.0546e-12, 0, 1.41421, -1.0546e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.34267e-15, 0, 0, 1.07091e-17, 0, 0, 1.04924e-12, 0, 0, 0
0.301289, 0, 1.96932e-12, 0, 1.41421, -1.96932e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.97671e-15, 0, 0, 2.04623e-17, 0, 0, 1.95932e-12, 0, 0, 0
0.309163, 0, 3.63826e-12, 0, 1.41421, -3.63826e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.84318e-14, 0, 0, 3.87204e-17, 0, 0, 3.61979e-12, 0, 0, 0
0.317037, 0, 6.65062e-12, 0, 1.41421, -6.65062e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.36932e-14, 0, 0, 7.25806e-17, 0, 0, 6.61685e-12, 0, 0, 0
0.32491, 0, 1.20299e-11, 0, 1.41421, -1.20299e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.09468e-14, 0, 0, 1.3481e-16, 0, 0, 1.19688e-11, 0, 0, 0
0.332784, 0, 2.15341e-11, 0, 1.41421, -2.15341e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.09102e-13, 0, 0, 2.48191e-16, 0, 0, 2.14248e-11, 0, 0, 0
0.340657, 0, 3.81504e-11, 0, 1.41421, -3.81504e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.933e-13, 0, 0, 4.53082e-16, 0, 0, 3.79566e-11, 0, 0, 0
0.348531, 0, 6.68976e-11, 3.5593e-43, 1.41421, -6.68976e-11, 0, 3.5593e-43, 3.5593e-43, 3.5593e-43, 3.5593e-43, 3.5593e-43, 3.5593e-43, 3.5593e-43, 3.5593e-43, 3.38986e-13, 3.5593e-43, 3.5593e-43, 8.20503e-16, 3.5593e-43, 3.5593e-43, 6.65578e-11, 3.5593e-43, 3.5593e-43, 3.5593e-43
0.356405, 0, 1.16116e-10, 6.34088e-42, 1.41421, -1.16116e-10, 0, 6.34088e-42, 6.34088e-42, 6.34088e-42, 6.34088e-42, 6.34088e-42, 6.34088e-42, 6.34088e-42, 6.34088e-42, 5.8846e-13, 6.34088e-42, 6.34088e-42, 1.47469e-15, 6.34088e-42, 6.34088e-42, 1.15526e-10, 6.34088e-42, 6.34088e-42, 6.34088e-42
0.364278, 0, 1.99517e-10, 9.26497e-41, 1.41421, -1.99517e-10, 0, 9.26497e-41, 9.26497e-41, 9.26497e-41, 9.26497e-41, 9.26497e-41, 9.26497e-41, 9.26497e-41, 9.26497e-41, 1.01129e-12, 9.26497e-41, 9.26497e-41, 2.63188e-15, 9.26497e-41, 9.26497e-41, 1.98503e-10, 9.26497e-41, 9.26497e-41, 9.26497e-41
0.372152, 0, 3.39393e-10, 1.19951e-39, 1.41421, -3.39393e-10, 0, 1.19951e-39, 1.19951e-39, 1.19951e-39, 1.19951e-39, 1.19951e-39, 1.19951e-39, 1.19951e-39, 1.19951e-39, 1.72067e-12, 1.19951e-39, 1.19951e-39, 4.66697e-15, 1.19951e-39, 1.19951e-39, 3.37667e-10, 1.19951e-39, 1.19951e-39, 1.19951e-39
0.380025, 0, 5.71599e-10, 1.38688e-38, 1.41421, -5.71599e-10, 0, 1.38688e-38, 1.38688e-38, 1.38688e-38, 1.38688e-38, 1.38688e-38, 1.38688e-38, 1.38688e-38, 1.38688e-38, 2.89879e-12, 1.38688e-38, 1.38688e-38, 8.22789e-15, 1.38688e-38, 1.38688e-38, 5.68692e-10, 1.38688e-38, 1.38688e-38, 1.38688e-38
0.387899, 0, 9.53184e-10, 1.44943e-37, 1.41421, -9.53184e-10, 0, 1.44943e-37, 1.44943e-37, 1.44943e-37, 1.44943e-37, 1.44943e-37, 1.44943e-37, 1.44943e-37, 1.44943e-37, 4.83587e-12, 1.44943e-37, 1.44943e-37, 1.4432e-14, 1.44943e-37, 1.44943e-37, 9.48334e-10, 1.44943e-37, 1.44943e-37, 1.44943e-37
0.395773, 0, 1.57394e-09, 1.37584e-36, 1.41421, -1.57394e-09, 0, 1.37584e-36, 1.37584e-36, 1.37584e-36, 1.37584e-36, 1.37584e-36, 1.37584e-36, 1.37584e-36, 1.37584e-36, 7.9893e-12, 1.37584e-36, 1.37584e-36, 2.52038e-14, 1.37584e-36, 1.37584e-36, 1.56593e-09, 1.37584e-36, 1.37584e-36, 1.37584e-36
