   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_342.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.177193, 0, 6.01611e-16, 0, 1.41421, -6.01611e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.64421e-19, 0, 0, 8.76903e-21, 0, 0, 6.01338e-16, 0, 0, 0
0.185054, 0, 1.18491e-15, 0, 1.41421, -1.18491e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.20793e-19, 0, 0, 1.75114e-20, 0, 0, 1.18437e-15, 0, 0, 0
0.192916, 0, 2.30974e-15, 0, 1.41421, -2.30974e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.01518e-18, 0, 0, 3.46244e-20, 0, 0, 2.30869e-15, 0, 0, 0
0.200778, 0, 4.45684e-15, 0, 1.41421, -4.45684e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.95887e-18, 0, 0, 6.77982e-20, 0, 0, 4.45482e-15, 0, 0, 0
0.20864, 0, 8.51424e-15, 0, 1.41421, -8.51424e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.74217e-18, 0, 0, 1.31494e-19, 0, 0, 8.51036e-15, 0, 0, 0
0.216502, 0, 1.61058e-14, 0, 1.41421, -1.61058e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.07879e-18, 0, 0, 2.52648e-19, 0, 0, 1.60984e-14, 0, 0, 0
0.224364, 0, 3.01711e-14, 0, 1.41421, -3.01711e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.32608e-17, 0, 0, 4.80978e-19, 0, 0, 3.01574e-14, 0, 0, 0
0.232226, 0, 5.59795e-14, 0, 1.41421, -5.59795e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.4604e-17, 0, 0, 9.07413e-19, 0, 0, 5.59539e-14, 0, 0, 0
0.240087, 0, 1.02882e-13, 0, 1.41421, -1.02882e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.52187e-17, 0, 0, 1.69676e-18, 0, 0, 1.02835e-13, 0, 0, 0
0.247949, 0, 1.87313e-13, 0, 1.41421, -1.87313e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.23281e-17, 0, 0, 3.14509e-18, 0, 0, 1.87228e-13, 0, 0, 0
0.255811, 0, 3.37873e-13, 0, 1.41421, -3.37873e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.48504e-16, 0, 0, 5.77978e-18, 0, 0, 3.37719e-13, 0, 0, 0
0.263673, 0, 6.03858e-13, 0, 1.41421, -6.03858e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.65414e-16, 0, 0, 1.05323e-17, 0, 0, 6.03582e-13, 0, 0, 0
