   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_65.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0308056, 130, 0, 0, 11.4891, 130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0229217, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0150378, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00715386, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00073004, 0, 3.20226e-21, 0, 1.41421, -3.20226e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.01682e-23, 0, 1.36086e-25, 4.01652e-25, 0, 3.12155e-21, 0, 0, 0
0.00861394, 0, 7.16172e-21, 0, 1.41421, -7.16172e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.79292e-22, 0, 3.09604e-25, 9.15101e-25, 0, 6.9812e-21, 0, 0, 0
0.0164978, 0, 1.57928e-20, 0, 1.41421, -1.57928e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.95368e-22, 0, 6.94477e-25, 2.05475e-24, 0, 1.53947e-20, 0, 0, 0
0.0243818, 0, 3.43614e-20, 0, 1.41421, -3.43614e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.60225e-22, 0, 1.53698e-24, 4.55048e-24, 0, 3.34951e-20, 0, 0, 0
0.0322657, 0, 7.38083e-20, 0, 1.41421, -7.38083e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.84776e-21, 0, 3.35814e-24, 9.94623e-24, 0, 7.19473e-20, 0, 0, 0
0.0401496, 0, 1.56598e-19, 0, 1.41421, -1.56598e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.92036e-21, 0, 7.24741e-24, 2.14694e-23, 0, 1.52649e-19, 0, 0, 0
0.0480335, 0, 3.28332e-19, 0, 1.41421, -3.28332e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.21961e-21, 0, 1.5457e-23, 4.57901e-23, 0, 3.20051e-19, 0, 0, 0
0.0559174, 0, 6.8055e-19, 0, 1.41421, -6.8055e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.70371e-20, 0, 3.25919e-23, 9.65424e-23, 0, 6.63384e-19, 0, 0, 0
0.0638013, 0, 1.39504e-18, 0, 1.41421, -1.39504e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.49237e-20, 0, 6.79674e-23, 2.013e-22, 0, 1.35985e-18, 0, 0, 0
0.0716852, 0, 2.82901e-18, 0, 1.41421, -2.82901e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.08218e-20, 0, 1.40233e-22, 4.15255e-22, 0, 2.75763e-18, 0, 0, 0
0.0795691, 0, 5.67719e-18, 0, 1.41421, -5.67719e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.42123e-19, 0, 2.86346e-22, 8.47786e-22, 0, 5.53393e-18, 0, 0, 0
0.087453, 0, 1.12772e-17, 0, 1.41421, -1.12772e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.82314e-19, 0, 5.78831e-22, 1.71355e-21, 0, 1.09926e-17, 0, 0, 0
0.0953369, 0, 2.21794e-17, 0, 1.41421, -2.21794e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.55236e-19, 0, 1.15864e-21, 3.42988e-21, 0, 2.16195e-17, 0, 0, 0
0.103221, 0, 4.31989e-17, 0, 1.41421, -4.31989e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.08143e-18, 0, 2.29713e-21, 6.80066e-21, 0, 4.21084e-17, 0, 0, 0
0.111105, 0, 8.33424e-17, 0, 1.41421, -8.33424e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.08637e-18, 0, 4.51194e-21, 1.33606e-20, 0, 8.12381e-17, 0, 0, 0
0.118989, 0, 1.59298e-16, 0, 1.41421, -1.59298e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.98781e-18, 0, 8.78157e-21, 2.60142e-20, 0, 1.55276e-16, 0, 0, 0
0.126873, 0, 3.01708e-16, 0, 1.41421, -3.01708e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.55281e-18, 0, 1.69395e-20, 5.02113e-20, 0, 2.94088e-16, 0, 0, 0
0.134756, 0, 5.66328e-16, 0, 1.41421, -5.66328e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.41771e-17, 0, 3.23911e-20, 9.60931e-20, 0, 5.52022e-16, 0, 0, 0
0.14264, 0, 1.05371e-15, 0, 1.41421, -1.05371e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.63777e-17, 0, 6.14078e-20, 1.82377e-19, 0, 1.02709e-15, 0, 0, 0
0.150524, 0, 1.94359e-15, 0, 1.41421, -1.94359e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.8654e-17, 0, 1.15441e-19, 3.43335e-19, 0, 1.89447e-15, 0, 0, 0
0.158408, 0, 3.5545e-15, 0, 1.41421, -3.5545e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.89796e-17, 0, 2.15231e-19, 6.41229e-19, 0, 3.46467e-15, 0, 0, 0
0.166292, 0, 6.4461e-15, 0, 1.41421, -6.4461e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.61364e-16, 0, 3.98028e-19, 1.18831e-18, 0, 6.28315e-15, 0, 0, 0
0.174176, 0, 1.15933e-14, 0, 1.41421, -1.15933e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.9021e-16, 0, 7.302e-19, 2.1854e-18, 0, 1.13002e-14, 0, 0, 0
