   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_186.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ca_K, K_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.191663, 0, 3.3201e-15, 0, 1.41421, -3.3201e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.04916e-17, 0, 0, 7.84e-20, 0, 3.28953e-15, 0, 0, 0
0.199534, 0, 6.40004e-15, 0, 1.41421, -6.40004e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.87776e-17, 0, 0, 1.53985e-19, 0, 6.34111e-15, 0, 0, 0
0.207405, 0, 1.22155e-14, 0, 1.41421, -1.22155e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.12186e-16, 0, 0, 2.99571e-19, 0, 1.2103e-14, 0, 0, 0
0.215276, 0, 2.30886e-14, 0, 1.41421, -2.30886e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.12043e-16, 0, 0, 5.77358e-19, 0, 2.28759e-14, 0, 0, 0
0.223147, 0, 4.3221e-14, 0, 1.41421, -4.3221e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.96935e-16, 0, 0, 1.1025e-18, 0, 4.28229e-14, 0, 0, 0
0.231018, 0, 8.01408e-14, 0, 1.41421, -8.01408e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.35999e-16, 0, 0, 2.08639e-18, 0, 7.94028e-14, 0, 0, 0
0.238889, 0, 1.47205e-13, 0, 1.41421, -1.47205e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.3519e-15, 0, 0, 3.91332e-18, 0, 1.45849e-13, 0, 0, 0
0.24676, 0, 2.67881e-13, 0, 1.41421, -2.67881e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.46016e-15, 0, 0, 7.27598e-18, 0, 2.65413e-13, 0, 0, 0
0.254631, 0, 4.8389e-13, 0, 1.41421, -4.8389e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.44396e-15, 0, 0, 1.34572e-17, 0, 4.79432e-13, 0, 0, 0
0.262502, 0, 8.64311e-13, 0, 1.41421, -8.64311e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.93773e-15, 0, 0, 2.45901e-17, 0, 8.56349e-13, 0, 0, 0
0.270373, 0, 1.52993e-12, 0, 1.41421, -1.52993e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.40509e-14, 0, 0, 4.45656e-17, 0, 1.51584e-12, 0, 0, 0
