   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_39.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Zn_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0303441, 78, 0, 0, 8.94427, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0224523, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0145606, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00666877, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00122301, 0, 1.0261e-20, 0, 1.41421, -1.0261e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.38074e-25, 0, 1.02609e-20, 0, 0, 0
0.0091148, 0, 2.30236e-20, 0, 1.41421, -2.30236e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.13276e-25, 0, 2.30233e-20, 0, 0, 0
0.0170066, 0, 5.09363e-20, 0, 1.41421, -5.09363e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.0098e-25, 0, 5.09356e-20, 0, 0, 0
0.0248984, 0, 1.11181e-19, 0, 1.41421, -1.11181e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.54785e-24, 0, 1.11179e-19, 0, 0, 0
0.0327902, 0, 2.39568e-19, 0, 1.41421, -2.39568e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.37479e-24, 0, 2.39565e-19, 0, 0, 0
0.0406819, 0, 5.09852e-19, 0, 1.41421, -5.09852e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.2691e-24, 0, 5.09845e-19, 0, 0, 0
0.0485737, 0, 1.07218e-18, 0, 1.41421, -1.07218e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.54749e-23, 0, 1.07217e-18, 0, 0, 0
0.0564655, 0, 2.22887e-18, 0, 1.41421, -2.22887e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.2574e-23, 0, 2.22883e-18, 0, 0, 0
0.0643573, 0, 4.58188e-18, 0, 1.41421, -4.58188e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.78217e-23, 0, 4.58181e-18, 0, 0, 0
0.0722491, 0, 9.31784e-18, 0, 1.41421, -9.31784e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.39742e-22, 0, 9.3177e-18, 0, 0, 0
0.0801409, 0, 1.87501e-17, 0, 1.41421, -1.87501e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.84981e-22, 0, 1.87498e-17, 0, 0, 0
0.0880327, 0, 3.7947e-17, 0, 1.41421, -3.7947e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.86867e-22, 0, 3.79464e-17, 0, 0, 0
0.0959244, 0, 7.46937e-17, 0, 1.41421, -7.46937e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.17114e-21, 0, 7.46926e-17, 0, 0, 0
0.103816, 0, 1.45616e-16, 0, 1.41421, -1.45616e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.3154e-21, 0, 1.45613e-16, 0, 0, 0
0.111708, 0, 2.8121e-16, 0, 1.41421, -2.8121e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.53608e-21, 0, 2.81206e-16, 0, 0, 0
0.1196, 0, 5.38059e-16, 0, 1.41421, -5.38059e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.80744e-21, 0, 5.3805e-16, 0, 0, 0
0.127492, 0, 1.02017e-15, 0, 1.41421, -1.02017e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.69515e-20, 0, 1.02016e-15, 0, 0, 0
0.135383, 0, 1.91702e-15, 0, 1.41421, -1.91702e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.23464e-20, 0, 1.91699e-15, 0, 0, 0
0.143275, 0, 3.57064e-15, 0, 1.41421, -3.57064e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.12018e-20, 0, 3.57058e-15, 0, 0, 0
0.151167, 0, 6.59307e-15, 0, 1.41421, -6.59307e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.14837e-19, 0, 6.59296e-15, 0, 0, 0
0.159059, 0, 1.20698e-14, 0, 1.41421, -1.20698e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.13715e-19, 0, 1.20696e-14, 0, 0, 0
0.16695, 0, 2.19094e-14, 0, 1.41421, -2.19094e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.94524e-19, 0, 2.1909e-14, 0, 0, 0
0.174842, 0, 3.94385e-14, 0, 1.41421, -3.94385e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.22526e-19, 0, 3.94378e-14, 0, 0, 0
0.182734, 0, 7.04061e-14, 0, 1.41421, -7.04061e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.31289e-18, 0, 7.04048e-14, 0, 0, 0
0.190626, 0, 1.24663e-13, 0, 1.41421, -1.24663e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.36724e-18, 0, 1.2466e-13, 0, 0, 0
0.198518, 0, 2.18944e-13, 0, 1.41421, -2.18944e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.2359e-18, 0, 2.1894e-13, 0, 0, 0
0.206409, 0, 3.81446e-13, 0, 1.41421, -3.81446e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.52293e-18, 0, 3.81438e-13, 0, 0, 0
0.214301, 0, 6.59273e-13, 0, 1.41421, -6.59273e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.32622e-17, 0, 6.59259e-13, 0, 0, 0
0.222193, 0, 1.13047e-12, 0, 1.41421, -1.13047e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.32106e-17, 0, 1.13044e-12, 0, 0, 0
0.230085, 0, 1.92325e-12, 0, 1.41421, -1.92325e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.0332e-17, 0, 1.92321e-12, 0, 0, 0
0.237977, 0, 3.24658e-12, 0, 1.41421, -3.24658e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.95931e-17, 0, 3.24651e-12, 0, 0, 0
0.245868, 0, 5.43813e-12, 0, 1.41421, -5.43813e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.19262e-16, 0, 5.43801e-12, 0, 0, 0
0.25376, 0, 9.03919e-12, 0, 1.41421, -9.03919e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.03013e-16, 0, 9.03899e-12, 0, 0, 0
0.261652, 0, 1.49103e-11, 0, 1.41421, -1.49103e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.43336e-16, 0, 1.491e-11, 0, 0, 0
0.269544, 0, 2.44085e-11, 0, 1.41421, -2.44085e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.77e-16, 0, 2.44079e-11, 0, 0, 0
0.277436, 0, 3.96562e-11, 0, 1.41421, -3.96562e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.63805e-16, 0, 3.96552e-11, 0, 0, 0
0.285327, 0, 6.39464e-11, 0, 1.41421, -6.39464e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.60056e-15, 0, 6.39448e-11, 0, 0, 0
0.293219, 0, 1.02347e-10, 0, 1.41421, -1.02347e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.64329e-15, 0, 1.02344e-10, 0, 0, 0
0.301111, 0, 1.62593e-10, 0, 1.41421, -1.62593e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.3426e-15, 0, 1.62589e-10, 0, 0, 0
0.309003, 0, 2.56399e-10, 2.83062e-43, 1.41421, -2.56399e-10, 0, 2.83062e-43, 2.83062e-43, 2.83062e-43, 2.83062e-43, 2.83062e-43, 2.83062e-43, 2.83062e-43, 2.83062e-43, 2.83062e-43, 2.83062e-43, 7.09969e-15, 2.83062e-43, 2.56392e-10, 2.83062e-43, 2.83062e-43, 2.83062e-43
0.316894, 0, 4.01362e-10, 4.86671e-42, 1.41421, -4.01362e-10, 0, 4.86671e-42, 4.86671e-42, 4.86671e-42, 4.86671e-42, 4.86671e-42, 4.86671e-42, 4.86671e-42, 4.86671e-42, 4.86671e-42, 4.86671e-42, 1.15554e-14, 4.86671e-42, 4.0135e-10, 4.86671e-42, 4.86671e-42, 4.86671e-42
