   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_317.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Ni_K, Fe_K, Mn_K, Cr_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0292869, 634, 0, 0, 25.219, 634, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0214178, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0135488, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00567973, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00218932, 0, 8.29287e-23, 0, 1.41421, -8.29287e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.63639e-25, 0, 0, 2.70242e-27, 0, 8.27624e-23, 0, 0, 0
0.0100584, 0, 2.12092e-22, 0, 1.41421, -2.12092e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.1851e-25, 0, 0, 7.08612e-27, 0, 2.11666e-22, 0, 0, 0
0.0179274, 0, 5.30528e-22, 0, 1.41421, -5.30528e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.04686e-24, 0, 0, 1.81377e-26, 0, 5.29463e-22, 0, 0, 0
0.0257965, 0, 1.30027e-21, 0, 1.41421, -1.30027e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.56576e-24, 0, 0, 4.54193e-26, 0, 1.29766e-21, 0, 0, 0
0.0336655, 0, 3.12713e-21, 0, 1.41421, -3.12713e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.17059e-24, 0, 0, 1.1147e-25, 0, 3.12085e-21, 0, 0, 0
0.0415345, 0, 7.38887e-21, 0, 1.41421, -7.38887e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.458e-23, 0, 0, 2.68523e-25, 0, 7.37402e-21, 0, 0, 0
0.0494036, 0, 1.71706e-20, 0, 1.41421, -1.71706e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.38817e-23, 0, 0, 6.35687e-25, 0, 1.71361e-20, 0, 0, 0
0.0572726, 0, 3.92789e-20, 0, 1.41421, -3.92789e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.75067e-23, 0, 0, 1.4805e-24, 0, 3.91999e-20, 0, 0, 0
0.0651417, 0, 8.85206e-20, 0, 1.41421, -8.85206e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.74672e-22, 0, 0, 3.39526e-24, 0, 8.83425e-20, 0, 0, 0
0.0730107, 0, 1.9667e-19, 0, 1.41421, -1.9667e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.88077e-22, 0, 0, 7.67342e-24, 0, 1.96275e-19, 0, 0, 0
