   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_10.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.160342, 0, 1.98871e-13, 0, 1.41421, -1.98871e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.79719e-15, 0, 0, 5.66701e-18, 2.71049e-17, 0, 1.97041e-13, 0, 0, 0
0.168249, 0, 3.35614e-13, 0, 1.41421, -3.35614e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.03294e-15, 0, 0, 9.76206e-18, 4.7058e-17, 0, 3.32524e-13, 0, 0, 0
0.176157, 0, 5.62426e-13, 0, 1.41421, -5.62426e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.08265e-15, 0, 0, 1.67064e-17, 8.12001e-17, 0, 5.57245e-13, 0, 0, 0
0.184065, 0, 9.35983e-13, 0, 1.41421, -9.35983e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.45854e-15, 0, 0, 2.84067e-17, 1.39269e-16, 0, 9.27357e-13, 0, 0, 0
0.191973, 0, 1.54694e-12, 0, 1.41421, -1.54694e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.39799e-14, 0, 0, 4.79955e-17, 2.37452e-16, 0, 1.53267e-12, 0, 0, 0
0.199881, 0, 2.53921e-12, 0, 1.41421, -2.53921e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.29477e-14, 0, 0, 8.05877e-17, 4.02517e-16, 0, 2.51578e-12, 0, 0, 0
0.207789, 0, 4.1436e-12, 0, 1.41421, -4.1436e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.74483e-14, 0, 0, 1.34784e-16, 6.80347e-16, 0, 4.10533e-12, 0, 0, 0
0.215697, 0, 6.70888e-12, 0, 1.41421, -6.70888e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.06346e-14, 0, 0, 2.23559e-16, 1.14003e-15, 0, 6.64688e-12, 0, 0, 0
0.223605, 0, 1.07896e-11, 0, 1.41421, -1.07896e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.7521e-14, 0, 0, 3.68655e-16, 1.89984e-15, 0, 1.06898e-11, 0, 0, 0
0.231513, 0, 1.72371e-11, 0, 1.41421, -1.72371e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.55806e-13, 0, 0, 6.04495e-16, 3.14903e-15, 0, 1.70775e-11, 0, 0, 0
0.23942, 0, 2.7355e-11, 0, 1.41421, -2.7355e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.47283e-13, 0, 0, 9.85793e-16, 5.19214e-15, 0, 2.71015e-11, 0, 0, 0
0.247328, 0, 4.31259e-11, 0, 1.41421, -4.31259e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.89891e-13, 0, 0, 1.59913e-15, 8.51686e-15, 0, 4.27259e-11, 0, 0, 0
0.255236, 0, 6.75434e-11, 0, 1.41421, -6.75434e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.10729e-13, 0, 0, 2.58096e-15, 1.39006e-14, 0, 6.69162e-11, 0, 0, 0
0.263144, 0, 1.05096e-10, 0, 1.41421, -1.05096e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.50447e-13, 0, 0, 4.14561e-15, 2.25773e-14, 0, 1.04119e-10, 0, 0, 0
0.271052, 0, 1.62465e-10, 0, 1.41421, -1.62465e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.46959e-12, 0, 0, 6.62861e-15, 3.64976e-14, 0, 1.60953e-10, 0, 0, 0
0.27896, 0, 2.49527e-10, 2.94273e-44, 1.41421, -2.49527e-10, 0, 2.94273e-44, 2.94273e-44, 2.94273e-44, 2.94273e-44, 2.94273e-44, 2.94273e-44, 2.94273e-44, 2.94273e-44, 2.94273e-44, 2.94273e-44, 2.94273e-44, 2.25773e-12, 2.94273e-44, 2.94273e-44, 1.05539e-14, 5.87327e-14, 2.94273e-44, 2.472e-10, 2.94273e-44, 2.94273e-44, 2.94273e-44
