   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_341.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0282732, 682, 0, 0, 26.1534, 682, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.020409, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0125449, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00468073, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00318342, 0, 1.35774e-22, 0, 1.41421, -1.35774e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.90223e-25, 0, 0, 2.93575e-27, 0, 0, 1.35081e-22, 0, 0, 0
0.0110476, 0, 3.42516e-22, 0, 1.41421, -3.42516e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.74121e-24, 0, 0, 7.51288e-27, 0, 0, 3.40767e-22, 0, 0, 0
0.0189117, 0, 8.45973e-22, 0, 1.41421, -8.45973e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.30058e-24, 0, 0, 1.88232e-26, 0, 0, 8.41654e-22, 0, 0, 0
0.0267759, 0, 2.04907e-21, 0, 1.41421, -2.04907e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.04166e-23, 0, 0, 4.62502e-26, 0, 0, 2.0386e-21, 0, 0, 0
0.03464, 0, 4.87383e-21, 0, 1.41421, -4.87383e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.47765e-23, 0, 0, 1.11602e-25, 0, 0, 4.84894e-21, 0, 0, 0
0.0425042, 0, 1.13974e-20, 0, 1.41421, -1.13974e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.79399e-23, 0, 0, 2.64786e-25, 0, 0, 1.13392e-20, 0, 0, 0
0.0503684, 0, 2.62296e-20, 0, 1.41421, -2.62296e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.33341e-22, 0, 0, 6.1832e-25, 0, 0, 2.60957e-20, 0, 0, 0
0.0582325, 0, 5.94564e-20, 0, 1.41421, -5.94564e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.02251e-22, 0, 0, 1.42237e-24, 0, 0, 5.91527e-20, 0, 0, 0
0.0660967, 0, 1.32847e-19, 0, 1.41421, -1.32847e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.75339e-22, 0, 0, 3.22569e-24, 0, 0, 1.32169e-19, 0, 0, 0
0.0739608, 0, 2.92776e-19, 0, 1.41421, -2.92776e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.48835e-21, 0, 0, 7.21665e-24, 0, 0, 2.9128e-19, 0, 0, 0
