   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_105.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ti_K, Ca_K, K_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.028879, 210, 0, 0, 14.5602, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0210052, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0131314, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00525764, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00261613, 0, 1.8611e-25, 0, 1.41421, -1.8611e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.32463e-29, 0, 0, 1.20843e-30, 0, 0, 1.86076e-25, 0, 0, 0
0.0104899, 0, 6.4348e-25, 0, 1.41421, -6.4348e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.1495e-28, 0, 0, 4.2303e-30, 0, 0, 6.43361e-25, 0, 0, 0
0.0183637, 0, 2.10507e-24, 0, 1.41421, -2.10507e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.76046e-28, 0, 0, 1.40257e-29, 0, 0, 2.10468e-24, 0, 0, 0
0.0262375, 0, 6.5791e-24, 0, 1.41421, -6.5791e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.17528e-27, 0, 0, 4.44502e-29, 0, 0, 6.57788e-24, 0, 0, 0
0.0341112, 0, 1.9778e-23, 0, 1.41421, -1.9778e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.5331e-27, 0, 0, 1.35536e-28, 0, 0, 1.97743e-23, 0, 0, 0
0.041985, 0, 5.74747e-23, 0, 1.41421, -5.74747e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.02672e-26, 0, 0, 3.99557e-28, 0, 0, 5.7464e-23, 0, 0, 0
0.0498588, 0, 1.62066e-22, 0, 1.41421, -1.62066e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.89512e-26, 0, 0, 1.14305e-27, 0, 0, 1.62036e-22, 0, 0, 0
0.0577325, 0, 4.44753e-22, 0, 1.41421, -4.44753e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.94498e-26, 0, 0, 3.18275e-27, 0, 0, 4.44671e-22, 0, 0, 0
0.0656063, 0, 1.19066e-21, 0, 1.41421, -1.19066e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.12696e-25, 0, 0, 8.64604e-27, 0, 0, 1.19043e-21, 0, 0, 0
0.0734801, 0, 3.11557e-21, 0, 1.41421, -3.11557e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.5656e-25, 0, 0, 2.29594e-26, 0, 0, 3.11499e-21, 0, 0, 0
0.0813539, 0, 7.98133e-21, 0, 1.41421, -7.98133e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.42577e-24, 0, 0, 5.96948e-26, 0, 0, 7.97985e-21, 0, 0, 0
0.0892276, 0, 2.00444e-20, 0, 1.41421, -2.00444e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.58069e-24, 0, 0, 1.52176e-25, 0, 0, 2.00407e-20, 0, 0, 0
0.0971014, 0, 4.94082e-20, 0, 1.41421, -4.94082e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.82617e-24, 0, 0, 3.80807e-25, 0, 0, 4.9399e-20, 0, 0, 0
