   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_298.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.161745, 0, 4.42755e-16, 0, 1.41421, -4.42755e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.47901e-17, 0, 0, 0, 7.96783e-20, 0, 4.27885e-16, 0, 0, 0
0.169609, 0, 8.50113e-16, 0, 1.41421, -8.50113e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.83977e-17, 0, 0, 0, 1.56228e-19, 0, 8.21559e-16, 0, 0, 0
0.177473, 0, 1.61674e-15, 0, 1.41421, -1.61674e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.40061e-17, 0, 0, 0, 3.03528e-19, 0, 1.56243e-15, 0, 0, 0
0.185336, 0, 3.04589e-15, 0, 1.41421, -3.04589e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.01746e-16, 0, 0, 0, 5.84455e-19, 0, 2.94356e-15, 0, 0, 0
0.1932, 0, 5.68539e-15, 0, 1.41421, -5.68539e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.89915e-16, 0, 0, 0, 1.11557e-18, 0, 5.49436e-15, 0, 0, 0
0.201064, 0, 1.05156e-14, 0, 1.41421, -1.05156e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.51261e-16, 0, 0, 0, 2.11113e-18, 0, 1.01622e-14, 0, 0, 0
0.208928, 0, 1.92743e-14, 0, 1.41421, -1.92743e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.43835e-16, 0, 0, 0, 3.96169e-18, 0, 1.86265e-14, 0, 0, 0
0.216791, 0, 3.50143e-14, 0, 1.41421, -3.50143e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.1696e-15, 0, 0, 0, 7.37331e-18, 0, 3.38374e-14, 0, 0, 0
0.224655, 0, 6.30481e-14, 0, 1.41421, -6.30481e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.10603e-15, 0, 0, 0, 1.36122e-17, 0, 6.09285e-14, 0, 0, 0
0.232519, 0, 1.12537e-13, 0, 1.41421, -1.12537e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.75914e-15, 0, 0, 0, 2.4931e-17, 0, 1.08753e-13, 0, 0, 0
0.240383, 0, 1.99137e-13, 0, 1.41421, -1.99137e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.6519e-15, 0, 0, 0, 4.53067e-17, 0, 1.9244e-13, 0, 0, 0
