   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_333.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0317836, 666, 0, 0, 25.8457, 666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0239128, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0160421, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00817126, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.000300461, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00757034, 0, 2.11694e-22, 0, 1.41421, -2.11694e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.06494e-25, 0, 0, 0, 5.34125e-27, 0, 2.10882e-22, 0, 0, 0
0.0154411, 0, 5.38538e-22, 0, 1.41421, -5.38538e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.05168e-24, 0, 0, 0, 1.39568e-26, 0, 5.36472e-22, 0, 0, 0
0.0233119, 0, 1.34475e-21, 0, 1.41421, -1.34475e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.12312e-24, 0, 0, 0, 3.57875e-26, 0, 1.33959e-21, 0, 0, 0
0.0311827, 0, 3.5412e-21, 0, 1.41421, -3.5412e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.3491e-23, 0, 0, 0, 9.78574e-26, 0, 3.52761e-21, 0, 0, 0
0.0390535, 0, 8.42996e-21, 0, 1.41421, -8.42996e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.21158e-23, 0, 0, 0, 2.38114e-25, 0, 8.39761e-21, 0, 0, 0
