   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_72.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0308419, 144, 0, 0, 12.083, 144, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0229593, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0150766, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00719401, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.000688611, 0, 1.54787e-21, 0, 1.41421, -1.54787e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.87168e-23, 0, 5.30212e-26, 0, 8.30622e-25, 0, 1.50827e-21, 0, 0, 0
0.00857124, 0, 3.51101e-21, 0, 1.41421, -3.51101e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.78198e-23, 0, 1.22274e-25, 0, 1.91984e-24, 0, 3.42115e-21, 0, 0, 0
0.0164539, 0, 7.84706e-21, 0, 1.41421, -7.84706e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.96274e-22, 0, 2.77851e-25, 0, 4.37001e-24, 0, 7.64613e-21, 0, 0, 0
0.0243365, 0, 1.72931e-20, 0, 1.41421, -1.72931e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.32537e-22, 0, 6.22588e-25, 0, 9.80436e-24, 0, 1.68501e-20, 0, 0, 0
0.0322191, 0, 3.76017e-20, 0, 1.41421, -3.76017e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.40489e-22, 0, 1.37653e-24, 0, 2.16968e-23, 0, 3.66382e-20, 0, 0, 0
0.0401017, 0, 8.07158e-20, 0, 1.41421, -8.07158e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.01883e-21, 0, 3.00482e-24, 0, 4.73907e-23, 0, 7.86466e-20, 0, 0, 0
