   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_269.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.175124, 0, 6.31095e-16, 0, 1.41421, -6.31095e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.30658e-18, 0, 0, 5.66151e-21, 0, 0, 6.26783e-16, 0, 0, 0
0.182993, 0, 1.26025e-15, 0, 1.41421, -1.26025e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.59992e-18, 0, 0, 1.15043e-20, 0, 0, 1.25164e-15, 0, 0, 0
0.190862, 0, 2.49008e-15, 0, 1.41421, -2.49008e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.69922e-17, 0, 0, 2.31377e-20, 0, 0, 2.47307e-15, 0, 0, 0
0.198731, 0, 4.86907e-15, 0, 1.41421, -4.86907e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.32263e-17, 0, 0, 4.6068e-20, 0, 0, 4.8358e-15, 0, 0, 0
0.206601, 0, 9.42388e-15, 0, 1.41421, -9.42388e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.4308e-17, 0, 0, 9.08196e-20, 0, 0, 9.35949e-15, 0, 0, 0
0.21447, 0, 1.80565e-14, 0, 1.41421, -1.80565e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.23216e-16, 0, 0, 1.77312e-19, 0, 0, 1.79331e-14, 0, 0, 0
0.222339, 0, 3.42545e-14, 0, 1.41421, -3.42545e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.33749e-16, 0, 0, 3.42885e-19, 0, 0, 3.40204e-14, 0, 0, 0
0.230208, 0, 6.43496e-14, 0, 1.41421, -6.43496e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.39114e-16, 0, 0, 6.56905e-19, 0, 0, 6.39098e-14, 0, 0, 0
0.238078, 0, 1.1972e-13, 0, 1.41421, -1.1972e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.16954e-16, 0, 0, 1.247e-18, 0, 0, 1.18902e-13, 0, 0, 0
0.245947, 0, 2.20614e-13, 0, 1.41421, -2.20614e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.50544e-15, 0, 0, 2.34588e-18, 0, 0, 2.19107e-13, 0, 0, 0
0.253816, 0, 4.02708e-13, 0, 1.41421, -4.02708e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.74802e-15, 0, 0, 4.37417e-18, 0, 0, 3.99955e-13, 0, 0, 0
0.261685, 0, 7.28244e-13, 0, 1.41421, -7.28244e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.96944e-15, 0, 0, 8.08548e-18, 0, 0, 7.23266e-13, 0, 0, 0
0.269555, 0, 1.30477e-12, 0, 1.41421, -1.30477e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.90362e-15, 0, 0, 1.48188e-17, 0, 0, 1.29585e-12, 0, 0, 0
0.277424, 0, 2.3163e-12, 0, 1.41421, -2.3163e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.58064e-14, 0, 0, 2.69339e-17, 0, 0, 2.30047e-12, 0, 0, 0
0.285293, 0, 4.07469e-12, 0, 1.41421, -4.07469e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.78061e-14, 0, 0, 4.8557e-17, 0, 0, 4.04683e-12, 0, 0, 0
0.293162, 0, 7.1033e-12, 0, 1.41421, -7.1033e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.84751e-14, 0, 0, 8.68495e-17, 0, 0, 7.05474e-12, 0, 0, 0
