   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_44.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.149831, 0, 2.62666e-15, 0, 1.41421, -2.62666e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.50953e-17, 0, 0, 0, 6.38854e-20, 0, 2.6115e-15, 0, 0, 0
0.157723, 0, 4.94065e-15, 0, 1.41421, -4.94065e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.83937e-17, 0, 0, 0, 1.22537e-19, 0, 4.91213e-15, 0, 0, 0
0.165616, 0, 9.20969e-15, 0, 1.41421, -9.20969e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.29276e-17, 0, 0, 0, 2.33052e-19, 0, 9.15653e-15, 0, 0, 0
0.173508, 0, 1.70155e-14, 0, 1.41421, -1.70155e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.77868e-17, 0, 0, 0, 4.39583e-19, 0, 1.69173e-14, 0, 0, 0
0.1814, 0, 3.11627e-14, 0, 1.41421, -3.11627e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.79089e-16, 0, 0, 0, 8.22436e-19, 0, 3.09828e-14, 0, 0, 0
0.189293, 0, 5.658e-14, 0, 1.41421, -5.658e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.2516e-16, 0, 0, 0, 1.52653e-18, 0, 5.62534e-14, 0, 0, 0
0.197185, 0, 1.01853e-13, 0, 1.41421, -1.01853e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.85339e-16, 0, 0, 0, 2.81135e-18, 0, 1.01265e-13, 0, 0, 0
0.205078, 0, 1.81806e-13, 0, 1.41421, -1.81806e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.04482e-15, 0, 0, 0, 5.13798e-18, 0, 1.80756e-13, 0, 0, 0
0.21297, 0, 3.21812e-13, 0, 1.41421, -3.21812e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.84942e-15, 0, 0, 0, 9.31966e-18, 0, 3.19954e-13, 0, 0, 0
0.220862, 0, 5.64926e-13, 0, 1.41421, -5.64926e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.24657e-15, 0, 0, 0, 1.678e-17, 0, 5.61663e-13, 0, 0, 0
