   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_58.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0315342, 116, 0, 0, 10.8628, 116, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0236473, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0157604, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00787348, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1.34125e-05, 0, 8.73289e-21, 0, 1.41421, -8.73289e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.28593e-23, 0, 0, 1.28404e-25, 4.68848e-26, 0, 8.70986e-21, 0, 0, 0
0.00790031, 0, 1.98534e-20, 0, 1.41421, -1.98534e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.19686e-23, 0, 0, 2.96684e-25, 1.08629e-25, 0, 1.98011e-20, 0, 0, 0
0.0157872, 0, 4.44718e-20, 0, 1.41421, -4.44718e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.1641e-22, 0, 0, 6.75464e-25, 2.47859e-25, 0, 4.43545e-20, 0, 0, 0
0.0236741, 0, 9.82239e-20, 0, 1.41421, -9.82239e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.57112e-22, 0, 0, 1.51642e-24, 5.57405e-25, 0, 9.79647e-20, 0, 0, 0
0.031561, 0, 2.14049e-19, 0, 1.41421, -2.14049e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.60298e-22, 0, 0, 3.35916e-24, 1.23642e-24, 0, 2.13484e-19, 0, 0, 0
0.0394479, 0, 4.6049e-19, 0, 1.41421, -4.6049e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.20538e-21, 0, 0, 7.34666e-24, 2.7069e-24, 0, 4.59274e-19, 0, 0, 0
0.0473348, 0, 9.78489e-19, 0, 1.41421, -9.78489e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.5613e-21, 0, 0, 1.58716e-23, 5.85253e-24, 0, 9.75906e-19, 0, 0, 0
0.0552217, 0, 2.05455e-18, 0, 1.41421, -2.05455e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.37799e-21, 0, 0, 3.38863e-23, 1.25027e-23, 0, 2.04912e-18, 0, 0, 0
0.0631085, 0, 4.2646e-18, 0, 1.41421, -4.2646e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.1163e-20, 0, 0, 7.15291e-23, 2.64036e-23, 0, 4.25334e-18, 0, 0, 0
0.0709954, 0, 8.75449e-18, 0, 1.41421, -8.75449e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.29158e-20, 0, 0, 1.49363e-22, 5.51566e-23, 0, 8.73137e-18, 0, 0, 0
0.0788823, 0, 1.7778e-17, 0, 1.41421, -1.7778e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.65357e-20, 0, 0, 3.08578e-22, 1.13992e-22, 0, 1.7731e-17, 0, 0, 0
0.0867692, 0, 3.63755e-17, 0, 1.41421, -3.63755e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.52165e-20, 0, 0, 6.45628e-22, 2.3863e-22, 0, 3.62794e-17, 0, 0, 0
0.0946561, 0, 7.22087e-17, 0, 1.41421, -7.22087e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.89014e-19, 0, 0, 1.30389e-21, 4.82141e-22, 0, 7.20179e-17, 0, 0, 0
0.102543, 0, 1.41942e-16, 0, 1.41421, -1.41942e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.71546e-19, 0, 0, 2.60811e-21, 9.64895e-22, 0, 1.41566e-16, 0, 0, 0
0.11043, 0, 2.76351e-16, 0, 1.41421, -2.76351e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.23375e-19, 0, 0, 5.16809e-21, 1.91316e-21, 0, 2.7562e-16, 0, 0, 0
