   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_40.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0296575, 80, 0, 0, 9.05539, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0217668, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0138762, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00598545, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00190525, 0, 1.43626e-20, 0, 1.41421, -1.43626e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.80587e-25, 0, 4.04676e-24, 0, 1.43581e-20, 0, 0, 0
0.00979595, 0, 3.13406e-20, 0, 1.41421, -3.13406e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.40231e-25, 0, 9.01659e-24, 0, 3.13307e-20, 0, 0, 0
0.0176866, 0, 6.74834e-20, 0, 1.41421, -6.74834e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.83079e-24, 0, 1.98148e-23, 0, 6.74617e-20, 0, 0, 0
0.0255773, 0, 1.43471e-19, 0, 1.41421, -1.43471e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.93949e-24, 0, 4.29792e-23, 0, 1.43424e-19, 0, 0, 0
0.033468, 0, 3.01328e-19, 0, 1.41421, -3.01328e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.37614e-24, 0, 9.20709e-23, 0, 3.01228e-19, 0, 0, 0
0.0413587, 0, 6.25504e-19, 0, 1.41421, -6.25504e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.76059e-23, 0, 1.94905e-22, 0, 6.25292e-19, 0, 0, 0
0.0492494, 0, 1.28386e-18, 0, 1.41421, -1.28386e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.65995e-23, 0, 4.07922e-22, 0, 1.28342e-18, 0, 0, 0
0.0571401, 0, 2.60658e-18, 0, 1.41421, -2.60658e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.52768e-23, 0, 8.44462e-22, 0, 2.60566e-18, 0, 0, 0
0.0650308, 0, 5.23642e-18, 0, 1.41421, -5.23642e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.5324e-22, 0, 1.72984e-21, 0, 5.23453e-18, 0, 0, 0
0.0729215, 0, 1.04122e-17, 0, 1.41421, -1.04122e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.08847e-22, 0, 3.50764e-21, 0, 1.04084e-17, 0, 0, 0
