   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_185.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0266972, 370, 0, 0, 19.2873, 370, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0188288, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0109604, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00309199, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00477643, 0, 3.84812e-21, 0, 1.41421, -3.84812e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.71509e-23, 0, 0, 3.21136e-26, 0, 0, 3.82093e-21, 0, 0, 0
0.0126448, 0, 8.95031e-21, 0, 1.41421, -8.95031e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.31501e-23, 0, 0, 7.5548e-26, 0, 0, 8.88709e-21, 0, 0, 0
0.0205133, 0, 2.04836e-20, 0, 1.41421, -2.04836e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.44524e-22, 0, 0, 1.74896e-25, 0, 0, 2.03389e-20, 0, 0, 0
0.0283817, 0, 4.61677e-20, 0, 1.41421, -4.61677e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.25742e-22, 0, 0, 3.98799e-25, 0, 0, 4.58415e-20, 0, 0, 0
0.0362501, 0, 1.02559e-19, 0, 1.41421, -1.02559e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.23615e-22, 0, 0, 8.96381e-25, 0, 0, 1.01834e-19, 0, 0, 0
0.0441185, 0, 2.24699e-19, 0, 1.41421, -2.24699e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.5854e-21, 0, 0, 1.98745e-24, 0, 0, 2.23112e-19, 0, 0, 0
