   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_259.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0281365, 518, 0, 0, 22.8035, 518, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0202701, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0124037, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00453739, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00332896, 0, 4.86662e-24, 0, 1.41421, -4.86662e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.18023e-26, 0, 0, 1.09184e-28, 0, 3.90213e-28, 0, 4.85431e-24, 0, 0, 0
0.0111953, 0, 1.41234e-23, 0, 1.41421, -1.41234e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.42513e-26, 0, 0, 3.21814e-28, 0, 1.17337e-27, 0, 1.40876e-23, 0, 0, 0
0.0190617, 0, 3.96587e-23, 0, 1.41421, -3.96587e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.61777e-26, 0, 0, 9.17911e-28, 0, 3.39949e-27, 0, 3.95582e-23, 0, 0, 0
0.026928, 0, 1.08158e-22, 0, 1.41421, -1.08158e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.62297e-25, 0, 0, 2.54297e-27, 0, 9.53489e-27, 0, 1.07884e-22, 0, 0, 0
0.0347944, 0, 2.87328e-22, 0, 1.41421, -2.87328e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.96807e-25, 0, 0, 6.86264e-27, 0, 2.59855e-26, 0, 2.86599e-22, 0, 0, 0
0.0426607, 0, 7.47837e-22, 0, 1.41421, -7.47837e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.81359e-24, 0, 0, 1.81727e-26, 0, 6.93529e-26, 0, 7.45936e-22, 0, 0, 0
