   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_229.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Ni_K, Fe_K, Mn_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0281704, 458, 0, 0, 21.4476, 458, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0203025, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0124346, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00456675, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00330112, 0, 6.85661e-24, 0, 1.41421, -6.85661e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.87206e-26, 0, 0, 0, 1.40105e-28, 0, 6.83775e-24, 0, 0, 0
0.011169, 0, 2.0041e-23, 0, 1.41421, -2.0041e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.47179e-26, 0, 0, 0, 4.26389e-28, 0, 1.99859e-23, 0, 0, 0
0.0190369, 0, 5.64452e-23, 0, 1.41421, -5.64452e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.54112e-25, 0, 0, 0, 1.2423e-27, 0, 5.62899e-23, 0, 0, 0
0.0269047, 0, 1.53999e-22, 0, 1.41421, -1.53999e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.20464e-25, 0, 0, 0, 3.49043e-27, 0, 1.53575e-22, 0, 0, 0
0.0347726, 0, 4.52185e-22, 0, 1.41421, -4.52185e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.2346e-24, 0, 0, 0, 1.06755e-26, 0, 4.5094e-22, 0, 0, 0
0.0426405, 0, 1.15551e-21, 0, 1.41421, -1.15551e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.15489e-24, 0, 0, 0, 2.78824e-26, 0, 1.15233e-21, 0, 0, 0
0.0505083, 0, 2.89136e-21, 0, 1.41421, -2.89136e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.89424e-24, 0, 0, 0, 7.12051e-26, 0, 2.88339e-21, 0, 0, 0
0.0583762, 0, 7.09482e-21, 0, 1.41421, -7.09482e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.93709e-23, 0, 0, 0, 1.78116e-25, 0, 7.07527e-21, 0, 0, 0
0.0662441, 0, 1.70936e-20, 0, 1.41421, -1.70936e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.66704e-23, 0, 0, 0, 4.37067e-25, 0, 1.70465e-20, 0, 0, 0
0.0741119, 0, 4.04799e-20, 0, 1.41421, -4.04799e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.10522e-22, 0, 0, 0, 1.05339e-24, 0, 4.03683e-20, 0, 0, 0
0.0819798, 0, 9.431e-20, 0, 1.41421, -9.431e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.57493e-22, 0, 0, 0, 2.49623e-24, 0, 9.405e-20, 0, 0, 0
0.0898477, 0, 2.16341e-19, 0, 1.41421, -2.16341e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.90673e-22, 0, 0, 0, 5.82164e-24, 0, 2.15745e-19, 0, 0, 0
0.0977155, 0, 4.8898e-19, 0, 1.41421, -4.8898e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.33505e-21, 0, 0, 0, 1.33729e-23, 0, 4.87631e-19, 0, 0, 0
0.105583, 0, 1.08964e-18, 0, 1.41421, -1.08964e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.97503e-21, 0, 0, 0, 3.02788e-23, 0, 1.08664e-18, 0, 0, 0
0.113451, 0, 2.39532e-18, 0, 1.41421, -2.39532e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.53991e-21, 0, 0, 0, 6.76184e-23, 0, 2.38872e-18, 0, 0, 0
0.121319, 0, 5.19696e-18, 0, 1.41421, -5.19696e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.41892e-20, 0, 0, 0, 1.49024e-22, 0, 5.18262e-18, 0, 0, 0
0.129187, 0, 1.11336e-17, 0, 1.41421, -1.11336e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.03977e-20, 0, 0, 0, 3.2429e-22, 0, 1.11028e-17, 0, 0, 0
0.137055, 0, 2.3561e-17, 0, 1.41421, -2.3561e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.43281e-20, 0, 0, 0, 6.97115e-22, 0, 2.3496e-17, 0, 0, 0
0.144923, 0, 4.92706e-17, 0, 1.41421, -4.92706e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.34522e-19, 0, 0, 0, 1.48098e-21, 0, 4.91346e-17, 0, 0, 0
0.152791, 0, 1.01849e-16, 0, 1.41421, -1.01849e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.78075e-19, 0, 0, 0, 3.11054e-21, 0, 1.01568e-16, 0, 0, 0
0.160658, 0, 2.08175e-16, 0, 1.41421, -2.08175e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.68374e-19, 0, 0, 0, 6.46121e-21, 0, 2.076e-16, 0, 0, 0
0.168526, 0, 4.20842e-16, 0, 1.41421, -4.20842e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.14901e-18, 0, 0, 0, 1.32776e-20, 0, 4.19679e-16, 0, 0, 0
0.176394, 0, 8.41651e-16, 0, 1.41421, -8.41651e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.29793e-18, 0, 0, 0, 2.70011e-20, 0, 8.39326e-16, 0, 0, 0
0.184262, 0, 1.66557e-15, 0, 1.41421, -1.66557e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.54743e-18, 0, 0, 0, 5.43517e-20, 0, 1.66096e-15, 0, 0, 0
0.19213, 0, 3.26207e-15, 0, 1.41421, -3.26207e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.90628e-18, 0, 0, 0, 1.08323e-19, 0, 3.25305e-15, 0, 0, 0
0.199998, 0, 6.32414e-15, 0, 1.41421, -6.32414e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.72665e-17, 0, 0, 0, 2.13799e-19, 0, 6.30666e-15, 0, 0, 0
0.207866, 0, 1.21383e-14, 0, 1.41421, -1.21383e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.31405e-17, 0, 0, 0, 4.17982e-19, 0, 1.21047e-14, 0, 0, 0
0.215734, 0, 2.30688e-14, 0, 1.41421, -2.30688e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.2983e-17, 0, 0, 0, 8.09588e-19, 0, 2.3005e-14, 0, 0, 0
0.223601, 0, 4.34171e-14, 0, 1.41421, -4.34171e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.18538e-16, 0, 0, 0, 1.55384e-18, 0, 4.3297e-14, 0, 0, 0
0.231469, 0, 8.09314e-14, 0, 1.41421, -8.09314e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.2096e-16, 0, 0, 0, 2.95572e-18, 0, 8.07075e-14, 0, 0, 0
0.239337, 0, 1.49432e-13, 0, 1.41421, -1.49432e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.07979e-16, 0, 0, 0, 5.57323e-18, 0, 1.49018e-13, 0, 0, 0
0.247205, 0, 2.73328e-13, 0, 1.41421, -2.73328e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.46238e-16, 0, 0, 0, 1.04186e-17, 0, 2.72571e-13, 0, 0, 0
0.255073, 0, 4.95311e-13, 0, 1.41421, -4.95311e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.3523e-15, 0, 0, 0, 1.93125e-17, 0, 4.9394e-13, 0, 0, 0
0.262941, 0, 8.89337e-13, 0, 1.41421, -8.89337e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.42807e-15, 0, 0, 0, 3.55028e-17, 0, 8.86874e-13, 0, 0, 0
0.270809, 0, 1.58227e-12, 0, 1.41421, -1.58227e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.31996e-15, 0, 0, 0, 6.47358e-17, 0, 1.57789e-12, 0, 0, 0
0.278677, 0, 2.7897e-12, 0, 1.41421, -2.7897e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.6166e-15, 0, 0, 0, 1.17111e-16, 0, 2.78197e-12, 0, 0, 0
0.286544, 0, 4.87445e-12, 0, 1.41421, -4.87445e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.33088e-14, 0, 0, 0, 2.1022e-16, 0, 4.86093e-12, 0, 0, 0
0.294412, 0, 8.44803e-12, 0, 1.41421, -8.44803e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.30667e-14, 0, 0, 0, 3.75318e-16, 0, 8.42458e-12, 0, 0, 0
0.30228, 0, 1.44989e-11, 0, 1.41421, -1.44989e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.95902e-14, 0, 0, 0, 6.636e-16, 0, 1.44587e-11, 0, 0, 0
0.310148, 0, 2.46661e-11, 0, 1.41421, -2.46661e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.73567e-14, 0, 0, 0, 1.16496e-15, 0, 2.45976e-11, 0, 0, 0
0.318016, 0, 4.15976e-11, 0, 1.41421, -4.15976e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.13603e-13, 0, 0, 0, 2.03103e-15, 0, 4.1482e-11, 0, 0, 0
0.325884, 0, 6.95447e-11, 2.36819e-43, 1.41421, -6.95447e-11, 0, 2.36819e-43, 2.36819e-43, 2.36819e-43, 2.36819e-43, 2.36819e-43, 2.36819e-43, 2.36819e-43, 2.36819e-43, 2.36819e-43, 2.36819e-43, 1.8995e-13, 2.36819e-43, 2.36819e-43, 2.36819e-43, 3.51751e-15, 2.36819e-43, 6.93512e-11, 2.36819e-43, 2.36819e-43, 2.36819e-43
0.333752, 0, 1.15268e-10, 4.10861e-42, 1.41421, -1.15268e-10, 0, 4.10861e-42, 4.10861e-42, 4.10861e-42, 4.10861e-42, 4.10861e-42, 4.10861e-42, 4.10861e-42, 4.10861e-42, 4.10861e-42, 4.10861e-42, 3.14888e-13, 4.10861e-42, 4.10861e-42, 4.10861e-42, 6.05335e-15, 4.10861e-42, 1.14947e-10, 4.10861e-42, 4.10861e-42, 4.10861e-42
