   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_344.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Zn_K, Fe_K, Mn_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.0896432, 0, 1.40169e-19, 0, 1.41421, -1.40169e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.35285e-24, 0, 0, 1.40164e-19, 0, 0, 0
0.0975077, 0, 3.1318e-19, 0, 1.41421, -3.1318e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.21377e-23, 0, 0, 3.13167e-19, 0, 0, 0
0.105372, 0, 6.90338e-19, 0, 1.41421, -6.90338e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.71589e-23, 0, 0, 6.9031e-19, 0, 0, 0
0.113237, 0, 1.50201e-18, 0, 1.41421, -1.50201e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.99972e-23, 0, 0, 1.50195e-18, 0, 0, 0
0.121101, 0, 3.22712e-18, 0, 1.41421, -3.22712e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.30914e-22, 0, 0, 3.22698e-18, 0, 0, 0
0.128966, 0, 6.84956e-18, 0, 1.41421, -6.84956e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.82265e-22, 0, 0, 6.84927e-18, 0, 0, 0
0.13683, 0, 1.4367e-17, 0, 1.41421, -1.4367e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.01587e-22, 0, 0, 1.43664e-17, 0, 0, 0
0.144695, 0, 2.97893e-17, 0, 1.41421, -2.97893e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.26781e-21, 0, 0, 2.97881e-17, 0, 0, 0
0.152559, 0, 6.10762e-17, 0, 1.41421, -6.10762e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.64271e-21, 0, 0, 6.10735e-17, 0, 0, 0
0.160424, 0, 1.23854e-16, 0, 1.41421, -1.23854e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.45009e-21, 0, 0, 1.23849e-16, 0, 0, 0
0.168288, 0, 2.48471e-16, 0, 1.41421, -2.48471e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.1123e-20, 0, 0, 2.4846e-16, 0, 0, 0
0.176153, 0, 4.93244e-16, 0, 1.41421, -4.93244e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.24699e-20, 0, 0, 4.93222e-16, 0, 0, 0
0.184017, 0, 9.69063e-16, 0, 1.41421, -9.69063e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.494e-20, 0, 0, 9.69018e-16, 0, 0, 0
0.191882, 0, 1.88461e-15, 0, 1.41421, -1.88461e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.90015e-20, 0, 0, 1.88453e-15, 0, 0, 0
0.199746, 0, 3.62863e-15, 0, 1.41421, -3.62863e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.7457e-19, 0, 0, 3.62846e-15, 0, 0, 0
0.207611, 0, 6.91795e-15, 0, 1.41421, -6.91795e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.39172e-19, 0, 0, 6.91761e-15, 0, 0, 0
0.215475, 0, 1.30613e-14, 0, 1.41421, -1.30613e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.5285e-19, 0, 0, 1.30606e-14, 0, 0, 0
0.223339, 0, 2.44244e-14, 0, 1.41421, -2.44244e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.24512e-18, 0, 0, 2.44231e-14, 0, 0, 0
0.231204, 0, 4.52417e-14, 0, 1.41421, -4.52417e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.3535e-18, 0, 0, 4.52394e-14, 0, 0, 0
0.239068, 0, 8.30193e-14, 0, 1.41421, -8.30193e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.40926e-18, 0, 0, 8.30149e-14, 0, 0, 0
0.246933, 0, 1.5126e-13, 0, 1.41421, -1.5126e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.21979e-18, 0, 0, 1.51252e-13, 0, 0, 0
0.254797, 0, 2.72398e-13, 0, 1.41421, -2.72398e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.51302e-17, 0, 0, 2.72383e-13, 0, 0, 0
0.262662, 0, 4.86122e-13, 0, 1.41421, -4.86122e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.76188e-17, 0, 0, 4.86094e-13, 0, 0, 0
0.270526, 0, 8.59763e-13, 0, 1.41421, -8.59763e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.00051e-17, 0, 0, 8.59713e-13, 0, 0, 0
0.278391, 0, 1.50708e-12, 0, 1.41421, -1.50708e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.98159e-17, 0, 0, 1.50699e-12, 0, 0, 0
0.286255, 0, 2.61845e-12, 0, 1.41421, -2.61845e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.6007e-16, 0, 0, 2.61829e-12, 0, 0, 0
0.29412, 0, 4.50953e-12, 0, 1.41421, -4.50953e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.83132e-16, 0, 0, 4.50924e-12, 0, 0, 0
0.301984, 0, 7.69877e-12, 0, 1.41421, -7.69877e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.97166e-16, 0, 0, 7.69827e-12, 0, 0, 0
0.309849, 0, 1.30299e-11, 0, 1.41421, -1.30299e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.66909e-16, 0, 0, 1.3029e-11, 0, 0, 0
0.317713, 0, 2.18629e-11, 0, 1.41421, -2.18629e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.50157e-15, 0, 0, 2.18614e-11, 0, 0, 0
0.325578, 0, 3.63706e-11, 1.65353e-43, 1.41421, -3.63706e-11, 0, 1.65353e-43, 1.65353e-43, 1.65353e-43, 1.65353e-43, 1.65353e-43, 1.65353e-43, 1.65353e-43, 1.65353e-43, 1.65353e-43, 1.65353e-43, 1.65353e-43, 2.58452e-15, 1.65353e-43, 1.65353e-43, 3.6368e-11, 1.65353e-43, 1.65353e-43, 1.65353e-43
0.333442, 0, 5.99911e-11, 2.86566e-42, 1.41421, -5.99911e-11, 0, 2.86566e-42, 2.86566e-42, 2.86566e-42, 2.86566e-42, 2.86566e-42, 2.86566e-42, 2.86566e-42, 2.86566e-42, 2.86566e-42, 2.86566e-42, 2.86566e-42, 4.42233e-15, 2.86566e-42, 2.86566e-42, 5.99867e-11, 2.86566e-42, 2.86566e-42, 2.86566e-42
