   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_271.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.214723, 0, 6.65953e-14, 0, 1.41421, -6.65953e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.47399e-15, 0, 0, 0, 6.41213e-14, 0, 0, 0
0.22259, 0, 1.17331e-13, 0, 1.41421, -1.17331e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.3588e-15, 0, 0, 0, 1.12972e-13, 0, 0, 0
0.230457, 0, 2.05024e-13, 0, 1.41421, -2.05024e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.61662e-15, 0, 0, 0, 1.97407e-13, 0, 0, 0
0.238324, 0, 3.55347e-13, 0, 1.41421, -3.55347e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.32012e-14, 0, 0, 0, 3.42146e-13, 0, 0, 0
0.246191, 0, 6.10921e-13, 0, 1.41421, -6.10921e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.26961e-14, 0, 0, 0, 5.88225e-13, 0, 0, 0
0.254058, 0, 1.0419e-12, 0, 1.41421, -1.0419e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.8708e-14, 0, 0, 0, 1.00319e-12, 0, 0, 0
0.261925, 0, 1.76278e-12, 0, 1.41421, -1.76278e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.54917e-14, 0, 0, 0, 1.69729e-12, 0, 0, 0
0.269792, 0, 2.95889e-12, 0, 1.41421, -2.95889e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.09934e-13, 0, 0, 0, 2.84895e-12, 0, 0, 0
0.277658, 0, 4.9276e-12, 0, 1.41421, -4.9276e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.8309e-13, 0, 0, 0, 4.74451e-12, 0, 0, 0
0.285525, 0, 8.14215e-12, 0, 1.41421, -8.14215e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.02552e-13, 0, 0, 0, 7.8396e-12, 0, 0, 0
0.293392, 0, 1.33553e-11, 0, 1.41421, -1.33553e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.96322e-13, 0, 0, 0, 1.2859e-11, 0, 0, 0
0.301259, 0, 2.17261e-11, 0, 1.41421, -2.17261e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.0751e-13, 0, 0, 0, 2.09186e-11, 0, 0, 0
0.309126, 0, 3.50727e-11, 9.80909e-44, 1.41421, -3.50727e-11, 0, 9.80909e-44, 9.80909e-44, 9.80909e-44, 9.80909e-44, 9.80909e-44, 9.80909e-44, 9.80909e-44, 9.80909e-44, 1.30379e-12, 9.80909e-44, 9.80909e-44, 9.80909e-44, 3.37689e-11, 9.80909e-44, 9.80909e-44, 9.80909e-44
0.316993, 0, 5.61867e-11, 1.7222e-42, 1.41421, -5.61867e-11, 0, 1.7222e-42, 1.7222e-42, 1.7222e-42, 1.7222e-42, 1.7222e-42, 1.7222e-42, 1.7222e-42, 1.7222e-42, 2.08913e-12, 1.7222e-42, 1.7222e-42, 1.7222e-42, 5.40976e-11, 1.7222e-42, 1.7222e-42, 1.7222e-42
0.32486, 0, 8.93286e-11, 2.48212e-41, 1.41421, -8.93286e-11, 0, 2.48212e-41, 2.48212e-41, 2.48212e-41, 2.48212e-41, 2.48212e-41, 2.48212e-41, 2.48212e-41, 2.48212e-41, 3.3223e-12, 2.48212e-41, 2.48212e-41, 2.48212e-41, 8.60063e-11, 2.48212e-41, 2.48212e-41, 2.48212e-41
0.332727, 0, 1.40948e-10, 3.17255e-40, 1.41421, -1.40948e-10, 0, 3.17255e-40, 3.17255e-40, 3.17255e-40, 3.17255e-40, 3.17255e-40, 3.17255e-40, 3.17255e-40, 3.17255e-40, 5.2439e-12, 3.17255e-40, 3.17255e-40, 3.17255e-40, 1.35704e-10, 3.17255e-40, 3.17255e-40, 3.17255e-40
0.340594, 0, 2.20726e-10, 3.62629e-39, 1.41421, -2.20726e-10, 0, 3.62629e-39, 3.62629e-39, 3.62629e-39, 3.62629e-39, 3.62629e-39, 3.62629e-39, 3.62629e-39, 3.62629e-39, 8.21546e-12, 3.62629e-39, 3.62629e-39, 3.62629e-39, 2.12511e-10, 3.62629e-39, 3.62629e-39, 3.62629e-39
0.348461, 0, 3.4308e-10, 3.74445e-38, 1.41421, -3.4308e-10, 0, 3.74445e-38, 3.74445e-38, 3.74445e-38, 3.74445e-38, 3.74445e-38, 3.74445e-38, 3.74445e-38, 3.74445e-38, 1.27761e-11, 3.74445e-38, 3.74445e-38, 3.74445e-38, 3.30303e-10, 3.74445e-38, 3.74445e-38, 3.74445e-38
0.356328, 0, 5.29296e-10, 3.51082e-37, 1.41421, -5.29296e-10, 0, 3.51082e-37, 3.51082e-37, 3.51082e-37, 3.51082e-37, 3.51082e-37, 3.51082e-37, 3.51082e-37, 3.51082e-37, 1.97233e-11, 3.51082e-37, 3.51082e-37, 3.51082e-37, 5.09572e-10, 3.51082e-37, 3.51082e-37, 3.51082e-37
0.364195, 0, 8.10555e-10, 3.00918e-36, 1.41421, -8.10555e-10, 0, 3.00918e-36, 3.00918e-36, 3.00918e-36, 3.00918e-36, 3.00918e-36, 3.00918e-36, 3.00918e-36, 3.00918e-36, 3.02274e-11, 3.00918e-36, 3.00918e-36, 3.00918e-36, 7.80328e-10, 3.00918e-36, 3.00918e-36, 3.00918e-36
0.372062, 0, 1.23216e-09, 2.3671e-35, 1.41421, -1.23216e-09, 0, 2.3671e-35, 2.3671e-35, 2.3671e-35, 2.3671e-35, 2.3671e-35, 2.3671e-35, 2.3671e-35, 2.3671e-35, 4.59936e-11, 2.3671e-35, 2.3671e-35, 2.3671e-35, 1.18617e-09, 2.3671e-35, 2.3671e-35, 2.3671e-35
0.379928, 0, 1.8594e-09, 1.71627e-34, 1.41421, -1.8594e-09, 0, 1.71627e-34, 1.71627e-34, 1.71627e-34, 1.71627e-34, 1.71627e-34, 1.71627e-34, 1.71627e-34, 1.71627e-34, 6.94859e-11, 1.71627e-34, 1.71627e-34, 1.71627e-34, 1.78991e-09, 1.71627e-34, 1.71627e-34, 1.71627e-34
0.387795, 0, 2.78559e-09, 1.17747e-33, 1.41421, -2.78559e-09, 0, 1.17747e-33, 1.17747e-33, 1.17747e-33, 1.17747e-33, 1.17747e-33, 1.17747e-33, 1.17747e-33, 1.17747e-33, 1.0424e-10, 1.17747e-33, 1.17747e-33, 1.17747e-33, 2.68135e-09, 1.17747e-33, 1.17747e-33, 1.17747e-33
0.395662, 0, 4.14308e-09, 6.83092e-33, 1.41421, -4.14308e-09, 0, 6.83092e-33, 6.83092e-33, 6.83092e-33, 6.83092e-33, 6.83092e-33, 6.83092e-33, 6.83092e-33, 6.83092e-33, 1.55293e-10, 6.83092e-33, 6.83092e-33, 6.83092e-33, 3.98779e-09, 6.83092e-33, 6.83092e-33, 6.83092e-33
0.403529, 0, 6.11806e-09, 4.03519e-32, 1.41421, -6.11806e-09, 0, 4.03519e-32, 4.03519e-32, 4.03519e-32, 4.03519e-32, 4.03519e-32, 4.03519e-32, 4.03519e-32, 4.03519e-32, 2.29765e-10, 4.03519e-32, 4.03519e-32, 4.03519e-32, 5.88829e-09, 4.03519e-32, 4.03519e-32, 4.03519e-32
0.411396, 0, 8.97039e-09, 2.12639e-31, 1.41421, -8.97039e-09, 0, 2.12639e-31, 2.12639e-31, 2.12639e-31, 2.12639e-31, 2.12639e-31, 2.12639e-31, 2.12639e-31, 2.12639e-31, 3.37658e-10, 2.12639e-31, 2.12639e-31, 2.12639e-31, 8.63273e-09, 2.12639e-31, 2.12639e-31, 2.12639e-31
0.419263, 0, 1.30599e-08, 1.10033e-30, 1.41421, -1.30599e-08, 0, 1.10033e-30, 1.10033e-30, 1.10033e-30, 1.10033e-30, 1.10033e-30, 1.10033e-30, 1.10033e-30, 1.10033e-30, 4.92918e-10, 1.10033e-30, 1.10033e-30, 1.10033e-30, 1.2567e-08, 1.10033e-30, 1.10033e-30, 1.10033e-30
0.42713, 0, 1.88812e-08, 5.44225e-30, 1.41421, -1.88812e-08, 0, 5.44225e-30, 5.44225e-30, 5.44225e-30, 5.44225e-30, 5.44225e-30, 5.44225e-30, 5.44225e-30, 5.44225e-30, 7.14871e-10, 5.44225e-30, 5.44225e-30, 5.44225e-30, 1.81663e-08, 5.44225e-30, 5.44225e-30, 5.44225e-30
0.434997, 0, 2.71082e-08, 2.54936e-29, 1.41421, -2.71082e-08, 0, 2.54936e-29, 2.54936e-29, 2.54936e-29, 2.54936e-29, 2.54936e-29, 2.54936e-29, 2.54936e-29, 2.54936e-29, 1.03011e-09, 2.54936e-29, 2.54936e-29, 2.54936e-29, 2.60781e-08, 2.54936e-29, 2.54936e-29, 2.54936e-29
0.442864, 0, 3.86533e-08, 1.15681e-28, 1.41421, -3.86533e-08, 0, 1.15681e-28, 1.15681e-28, 1.15681e-28, 1.15681e-28, 1.15681e-28, 1.15681e-28, 1.15681e-28, 1.15681e-28, 1.47503e-09, 1.15681e-28, 1.15681e-28, 1.15681e-28, 3.71783e-08, 1.15681e-28, 1.15681e-28, 1.15681e-28
0.450731, 0, 5.47414e-08, 5.0327e-28, 1.41421, -5.47414e-08, 0, 5.0327e-28, 5.0327e-28, 5.0327e-28, 5.0327e-28, 5.0327e-28, 5.0327e-28, 5.0327e-28, 5.0327e-28, 2.09909e-09, 5.0327e-28, 5.0327e-28, 5.0327e-28, 5.26423e-08, 5.0327e-28, 5.0327e-28, 5.0327e-28
0.458598, 0, 7.70047e-08, 2.08944e-27, 1.41421, -7.70047e-08, 0, 2.08944e-27, 2.08944e-27, 2.08944e-27, 2.08944e-27, 2.08944e-27, 2.08944e-27, 2.08944e-27, 2.08944e-27, 2.96915e-09, 2.08944e-27, 2.08944e-27, 2.08944e-27, 7.40356e-08, 2.08944e-27, 2.08944e-27, 2.08944e-27
0.466465, 0, 1.07603e-07, 8.2812e-27, 1.41421, -1.07603e-07, 0, 8.2812e-27, 8.2812e-27, 8.2812e-27, 8.2812e-27, 8.2812e-27, 8.2812e-27, 8.2812e-27, 8.2812e-27, 4.17505e-09, 8.2812e-27, 8.2812e-27, 8.2812e-27, 1.03428e-07, 8.2812e-27, 8.2812e-27, 8.2812e-27
0.474332, 0, 1.49373e-07, 3.13634e-26, 1.41421, -1.49373e-07, 0, 3.13634e-26, 3.13634e-26, 3.13634e-26, 3.13634e-26, 9.40787e-13, 3.13634e-26, 3.13634e-26, 3.13634e-26, 5.8368e-09, 3.13634e-26, 3.13634e-26, 3.13634e-26, 1.43535e-07, 3.13634e-26, 3.13634e-26, 3.13634e-26
0.482198, 0, 2.0601e-07, 1.13696e-25, 1.41421, -2.0601e-07, 0, 1.13696e-25, 1.13696e-25, 1.13696e-25, 1.13696e-25, 3.17799e-12, 1.13696e-25, 1.13696e-25, 1.13696e-25, 8.11387e-09, 1.13696e-25, 1.13696e-25, 1.13696e-25, 1.97893e-07, 1.13696e-25, 1.13696e-25, 1.13696e-25
0.490065, 0, 2.82301e-07, 3.98151e-25, 1.41421, -2.82301e-07, 0, 3.98151e-25, 3.98151e-25, 3.98151e-25, 3.98151e-25, 8.33799e-12, 3.98151e-25, 3.98151e-25, 3.98151e-25, 1.1217e-08, 3.98151e-25, 3.98151e-25, 3.98151e-25, 2.71075e-07, 3.98151e-25, 3.98151e-25, 3.98151e-25
0.497932, 0, 3.86597e-07, 1.20993e-10, 1.41421, -3.86597e-07, 1.20993e-10, 1.21046e-10, 8.63853e-10, 1.41451e-10, 1.35503e-10, 1.84811e-10, 3.68894e-10, 1.24471e-10, 1.05763e-09, 1.55442e-08, 1.24706e-10, 1.20993e-10, 1.20994e-10, 3.69119e-07, 1.20993e-10, 1.20993e-10, 1.42186e-10
0.505799, 0, 5.27547e-07, 4.11773e-10, 1.41421, -5.27547e-07, 4.11773e-10, 4.11951e-10, 2.9084e-09, 4.80528e-10, 4.60538e-10, 6.04622e-10, 1.24493e-09, 4.23461e-10, 3.55965e-09, 2.15062e-08, 4.24253e-10, 4.11773e-10, 4.11778e-10, 4.99569e-07, 4.11773e-10, 4.11773e-10, 4.82999e-10
0.513666, 0, 7.18954e-07, 1.08462e-09, 1.41421, -7.18954e-07, 1.08462e-09, 1.08508e-09, 7.60564e-09, 1.2642e-09, 1.21199e-09, 1.56967e-09, 3.26076e-09, 1.11515e-09, 9.30666e-09, 2.97855e-08, 1.11721e-09, 1.08462e-09, 1.08463e-09, 6.72292e-07, 1.08462e-09, 1.08462e-09, 1.27065e-09
0.521533, 0, 9.81431e-07, 2.5967e-09, 1.41421, -9.81431e-07, 2.5967e-09, 2.59781e-09, 1.81223e-08, 3.02426e-09, 2.89995e-09, 3.72766e-09, 7.77778e-09, 2.66938e-09, 2.21722e-08, 4.14471e-08, 2.6743e-09, 2.5967e-09, 2.59673e-09, 8.99842e-07, 2.5967e-09, 2.5967e-09, 3.03963e-09
0.5294, 0, 1.34772e-06, 5.90889e-09, 1.41421, -1.34772e-06, 5.90889e-09, 5.9114e-09, 4.11063e-08, 6.87819e-09, 6.59638e-09, 8.4339e-09, 1.76547e-08, 6.07367e-09, 5.02876e-08, 5.82329e-08, 6.08483e-09, 5.90889e-09, 5.90896e-09, 1.19855e-06, 5.90889e-09, 5.90889e-09, 6.91303e-09
0.537267, 0, 1.87276e-06, 1.29921e-08, 1.41421, -1.87276e-06, 1.29921e-08, 1.29976e-08, 9.01765e-08, 1.51177e-08, 1.44997e-08, 1.89016e-08, 3.87494e-08, 1.33535e-08, 1.1031e-07, 8.31121e-08, 1.33779e-08, 1.29921e-08, 1.29923e-08, 1.58989e-06, 1.29921e-08, 1.29921e-08, 1.51941e-08
0.545134, 0, 2.65123e-06, 2.77917e-08, 1.41421, -2.65123e-06, 2.77917e-08, 2.78034e-08, 1.92554e-07, 3.23291e-08, 3.10099e-08, 4.12537e-08, 8.27749e-08, 2.8563e-08, 2.35533e-07, 1.21298e-07, 2.86153e-08, 2.77917e-08, 2.7792e-08, 2.10271e-06, 2.77917e-08, 2.77917e-08, 3.24922e-08
0.553001, 0, 3.85916e-06, 5.80144e-08, 1.41421, -3.85916e-06, 5.80144e-08, 5.8039e-08, 4.01337e-07, 6.74693e-08, 6.47204e-08, 9.60943e-08, 1.72585e-07, 5.96217e-08, 4.90894e-07, 1.82098e-07, 5.97306e-08, 5.80144e-08, 5.80151e-08, 2.77692e-06, 5.80144e-08, 5.80144e-08, 6.7809e-08
0.560868, 0, 5.79842e-06, 1.18352e-07, 1.41421, -5.79842e-06, 1.18352e-07, 1.18402e-07, 8.1758e-07, 1.37608e-07, 1.3201e-07, 2.09343e-07, 3.51693e-07, 1.21626e-07, 9.99975e-07, 2.8222e-07, 1.21847e-07, 1.18352e-07, 1.18353e-07, 3.66969e-06, 1.18352e-07, 1.18352e-07, 1.383e-07
0.568735, 0, 9.01625e-06, 2.36132e-07, 1.41421, -9.01625e-06, 2.36132e-07, 2.36232e-07, 1.62893e-06, 2.74488e-07, 2.63337e-07, 4.38685e-07, 7.00924e-07, 2.42652e-07, 1.99224e-06, 4.51511e-07, 2.43094e-07, 2.36132e-07, 2.36135e-07, 4.86575e-06, 2.36132e-07, 2.36132e-07, 2.75867e-07
0.576602, 0, 1.44831e-05, 4.60951e-07, 1.41421, -1.44831e-05, 4.60951e-07, 4.61145e-07, 3.17531e-06, 5.35702e-07, 5.13969e-07, 8.9357e-07, 1.36676e-06, 4.73658e-07, 3.88335e-06, 7.42705e-07, 4.74519e-07, 4.60951e-07, 4.60956e-07, 6.49447e-06, 4.60951e-07, 4.60951e-07, 5.38388e-07
0.584468, 0, 2.38953e-05, 8.80629e-07, 1.41421, -2.38953e-05, 8.80629e-07, 8.80999e-07, 6.05745e-06, 1.02319e-06, 9.81746e-07, 1.77727e-06, 2.60819e-06, 9.04865e-07, 7.40783e-06, 1.24752e-06, 9.06507e-07, 8.80629e-07, 8.80639e-07, 8.75827e-06, 8.80629e-07, 8.80629e-07, 1.02832e-06
0.592335, 0, 4.01685e-05, 1.64689e-06, 1.41421, -4.01685e-05, 1.64689e-06, 1.64758e-06, 1.13109e-05, 1.91303e-06, 1.83565e-06, 3.46337e-06, 4.87189e-06, 1.69213e-06, 1.38318e-05, 2.12252e-06, 1.69519e-06, 1.64689e-06, 1.64691e-06, 1.19776e-05, 1.64689e-06, 1.64689e-06, 1.92259e-06
0.600202, 0, 6.82248e-05, 3.01539e-06, 1.41421, -6.82248e-05, 3.01539e-06, 3.01665e-06, 2.06768e-05, 3.50177e-06, 3.36036e-06, 6.63344e-06, 8.90921e-06, 3.09807e-06, 2.52838e-05, 3.62934e-06, 3.10367e-06, 3.01539e-06, 3.01542e-06, 1.66616e-05, 3.01539e-06, 3.01539e-06, 3.51925e-06
0.608069, 0, 0.000116185, 5.40637e-06, 1.41421, -0.000116185, 5.40637e-06, 5.40862e-06, 3.70097e-05, 6.27669e-06, 6.02366e-06, 1.24901e-05, 1.59527e-05, 5.55432e-06, 4.52534e-05, 6.19564e-06, 5.56434e-06, 5.40637e-06, 5.40643e-06, 2.3618e-05, 5.40637e-06, 5.40637e-06, 6.30797e-06
0.615936, 0, 0.000197154, 9.49306e-06, 1.41421, -0.000197154, 9.49306e-06, 9.49701e-06, 6.48706e-05, 1.10181e-05, 1.05747e-05, 2.31234e-05, 2.79732e-05, 9.75231e-06, 7.93159e-05, 1.05038e-05, 9.76987e-06, 9.49306e-06, 9.49316e-06, 3.41054e-05, 9.49306e-06, 9.49306e-06, 1.10729e-05
0.623803, 0, 0.000331824, 1.63277e-05, 1.41421, -0.000331824, 1.63277e-05, 1.63345e-05, 0.000111367, 1.8945e-05, 1.8184e-05, 4.20968e-05, 4.80434e-05, 1.67726e-05, 0.000136158, 1.76176e-05, 1.68028e-05, 1.63277e-05, 1.63279e-05, 5.00679e-05, 1.63277e-05, 1.63277e-05, 1.90391e-05
0.63167, 0, 0.000552126, 2.75126e-05, 1.41421, -0.000552126, 2.75126e-05, 2.7524e-05, 0.000187286, 3.19126e-05, 3.06333e-05, 7.53691e-05, 8.08309e-05, 2.82605e-05, 0.000228964, 2.91533e-05, 2.83112e-05, 2.75126e-05, 2.75129e-05, 7.44474e-05, 2.75126e-05, 2.75126e-05, 3.20707e-05
0.639537, 0, 0.000906211, 4.54256e-05, 1.41421, -0.000906211, 4.54256e-05, 4.54444e-05, 0.000308583, 5.26727e-05, 5.05657e-05, 0.00013271, 0.000133244, 4.66576e-05, 0.000377227, 4.75065e-05, 4.67411e-05, 4.54256e-05, 4.54261e-05, 0.000111607, 4.54256e-05, 4.54256e-05, 5.29332e-05
0.647404, 0, 0.00146502, 7.35035e-05, 1.41421, -0.00146502, 7.35035e-05, 7.35338e-05, 0.000498219, 8.51998e-05, 8.17992e-05, 0.000229813, 0.000215236, 7.54918e-05, 0.000609007, 7.61357e-05, 7.56266e-05, 7.35035e-05, 7.35043e-05, 0.000167871, 7.35035e-05, 7.35035e-05, 8.56202e-05
0.655271, 0, 0.00233065, 0.000116582, 1.41421, -0.00233065, 0.000116582, 0.00011663, 0.000788372, 0.000135083, 0.000129704, 0.000391371, 0.000340766, 0.000119727, 0.000963609, 0.000119904, 0.000119941, 0.000116582, 0.000116584, 0.000252204, 0.000116582, 0.000116582, 0.000135748
0.663138, 0, 0.00364666, 0.000181282, 1.41421, -0.00364666, 0.000181282, 0.000181356, 0.00122287, 0.000209966, 0.000201627, 0.000655403, 0.00052887, 0.000186158, 0.00149457, 0.000185464, 0.000186489, 0.000181282, 0.000181284, 0.000376994, 0.000181282, 0.000181282, 0.000210998
