   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_156.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ti_K, Ca_K, K_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0262387, 312, 0, 0, 17.72, 312, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.01837, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0105012, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00263248, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00523626, 0, 3.04409e-21, 0, 1.41421, -3.04409e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.96739e-23, 0, 0, 9.13045e-26, 0, 0, 3.02433e-21, 0, 0, 0
0.013105, 0, 7.03454e-21, 0, 1.41421, -7.03454e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.54639e-23, 0, 0, 2.13419e-25, 0, 0, 6.98886e-21, 0, 0, 0
0.0209738, 0, 1.59989e-20, 0, 1.41421, -1.59989e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.034e-22, 0, 0, 4.91046e-25, 0, 0, 1.5895e-20, 0, 0, 0
0.0288425, 0, 3.58438e-20, 0, 1.41421, -3.58438e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.31657e-22, 0, 0, 1.11316e-24, 0, 0, 3.5611e-20, 0, 0, 0
0.0367112, 0, 7.91669e-20, 0, 1.41421, -7.91669e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.11652e-22, 0, 0, 2.48819e-24, 0, 0, 7.86527e-20, 0, 0, 0
0.04458, 0, 1.72495e-19, 0, 1.41421, -1.72495e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.11483e-21, 0, 0, 5.48784e-24, 0, 0, 1.71375e-19, 0, 0, 0
0.0524487, 0, 3.71001e-19, 0, 1.41421, -3.71001e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.39776e-21, 0, 0, 1.19503e-23, 0, 0, 3.68591e-19, 0, 0, 0
0.0603175, 0, 7.88081e-19, 0, 1.41421, -7.88081e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.09333e-21, 0, 0, 2.57072e-23, 0, 0, 7.82962e-19, 0, 0, 0
